record_type,sequence,branch,status,selected_sweep,max_relative_gain,max_gain_player,all_six_solves_successful,local_one_percent_equilibrium,profile,audit
direct_audit,eu-us-af-row-apac-ch,,completed,40,0.10445433435368161,apac,True,False,outputs\demand_calibration\penalized_sweep30_continuation_20260920_140510\eu-us-af-row-apac-ch\results\results_20260920_140513_05f5df.xlsx,outputs\new_equilibria\new_profile_workflow_20260920_143353\direct_audits\eu-us-af-row-apac-ch\audit_one_start.json
direct_audit,af-eu-us-apac-row-ch,,completed,40,0.1108763484175924,apac,True,False,outputs\demand_calibration\penalized_sweep30_continuation_20260920_140510\af-eu-us-apac-row-ch\results\results_20260920_140513_15ee88.xlsx,outputs\new_equilibria\new_profile_workflow_20260920_143353\direct_audits\af-eu-us-apac-row-ch\audit_one_start.json
basin_grid,eu-us-af-row-apac-ch,pf120_k050_a040,accepted,9,0.008106346251951242,apac,True,True,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\eu-us-af-row-apac-ch\pf120_k050_a040\sweep_009.json,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\eu-us-af-row-apac-ch\pf120_k050_a040\audits\audit_sweep_009_one_start.json
basin_grid,eu-us-af-row-apac-ch,pf120_k050_a030,accepted,13,0.008094185634524903,apac,True,True,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\eu-us-af-row-apac-ch\pf120_k050_a030\sweep_013.json,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\eu-us-af-row-apac-ch\pf120_k050_a030\audits\audit_sweep_013_one_start.json
basin_grid,eu-us-af-row-apac-ch,pf100_k050_a030,accepted,15,0.008603590553303382,apac,True,True,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\eu-us-af-row-apac-ch\pf100_k050_a030\sweep_015.json,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\eu-us-af-row-apac-ch\pf100_k050_a030\audits\audit_sweep_015_one_start.json
basin_grid,eu-us-af-row-apac-ch,pf120_k100_a040,accepted,1,0.008948696891570719,apac,True,True,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\eu-us-af-row-apac-ch\pf120_k100_a040\sweep_001.json,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\eu-us-af-row-apac-ch\pf120_k100_a040\audits\audit_sweep_001_one_start.json
basin_grid,eu-us-af-row-apac-ch,pf100_k050_a040,no_pass_within_schedule,14,0.023114573603919986,apac,True,False,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\eu-us-af-row-apac-ch\pf100_k050_a040\sweep_014.json,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\eu-us-af-row-apac-ch\pf100_k050_a040\audits\audit_sweep_014_one_start.json
basin_grid,eu-us-af-row-apac-ch,pf100_k100_a030,no_pass_within_schedule,15,0.012979621733942215,apac,True,False,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\eu-us-af-row-apac-ch\pf100_k100_a030\sweep_015.json,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\eu-us-af-row-apac-ch\pf100_k100_a030\audits\audit_sweep_015_one_start.json
basin_grid,eu-us-af-row-apac-ch,pf100_k100_a040,no_pass_within_schedule,7,0.016420335284676558,apac,True,False,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\eu-us-af-row-apac-ch\pf100_k100_a040\sweep_007.json,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\eu-us-af-row-apac-ch\pf100_k100_a040\audits\audit_sweep_007_one_start.json
basin_grid,eu-us-af-row-apac-ch,pf120_k100_a030,no_pass_within_schedule,14,0.01012420206622798,apac,True,False,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\eu-us-af-row-apac-ch\pf120_k100_a030\sweep_014.json,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\eu-us-af-row-apac-ch\pf120_k100_a030\audits\audit_sweep_014_one_start.json
basin_grid,af-eu-us-apac-row-ch,pf100_k050_a030,no_pass_within_schedule,13,0.011410532186964367,apac,True,False,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\af-eu-us-apac-row-ch\pf100_k050_a030\sweep_013.json,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\af-eu-us-apac-row-ch\pf100_k050_a030\audits\audit_sweep_013_one_start.json
basin_grid,af-eu-us-apac-row-ch,pf100_k100_a040,accepted,12,0.008041774942935046,apac,True,True,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\af-eu-us-apac-row-ch\pf100_k100_a040\sweep_012.json,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\af-eu-us-apac-row-ch\pf100_k100_a040\audits\audit_sweep_012_one_start.json
basin_grid,af-eu-us-apac-row-ch,pf100_k050_a040,accepted,12,0.009745364141534953,ch,True,True,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\af-eu-us-apac-row-ch\pf100_k050_a040\sweep_012.json,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\af-eu-us-apac-row-ch\pf100_k050_a040\audits\audit_sweep_012_one_start.json
basin_grid,af-eu-us-apac-row-ch,pf120_k050_a030,accepted,13,0.009517448122863667,apac,True,True,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\af-eu-us-apac-row-ch\pf120_k050_a030\sweep_013.json,outputs\new_equilibria\new_profile_workflow_20260920_143353\basin_search\af-eu-us-apac-row-ch\pf120_k050_a030\audits\audit_sweep_013_one_start.json
