run_index,sequence,branch,status,price_factor,capacity_weight,alpha,selected_sweep,one_start_max_relative_gain,one_start_max_gain_player,all_six_solves_successful,local_one_percent_equilibrium,elapsed_seconds,error
1,ch-af-eu-us-row-apac,pf100_k050_a030,accepted,1.0,0.5,0.3,12,0.00942691664441377,apac,True,True,107.54783340007998,
2,ch-af-eu-us-row-apac,pf100_k050_a040,no_pass_within_schedule,1.0,0.5,0.4,12,0.014299740264270465,apac,True,False,139.5596384999808,
3,ch-af-eu-us-row-apac,pf100_k100_a030,no_pass_within_schedule,1.0,1.0,0.3,8,0.012507761461663155,apac,True,False,122.78626299998723,
4,ch-af-eu-us-row-apac,pf100_k100_a040,no_pass_within_schedule,1.0,1.0,0.4,12,0.015520220342318107,apac,True,False,125.14143760001753,
5,ch-row-apac-us-eu-af,pf100_k050_a030,no_pass_within_schedule,1.0,0.5,0.3,8,0.011296768265777659,apac,True,False,122.19662190007512,
6,ch-row-apac-us-eu-af,pf100_k050_a040,accepted,1.0,0.5,0.4,14,0.006872252477090474,apac,True,True,126.22540669993032,
7,ch-row-apac-us-eu-af,pf100_k100_a030,no_pass_within_schedule,1.0,1.0,0.3,14,0.017352551036950905,apac,True,False,126.78192570002284,
8,ch-row-apac-us-eu-af,pf100_k100_a040,no_pass_within_schedule,1.0,1.0,0.4,5,0.010710212048556857,apac,True,False,135.70817110000644,
9,af-eu-us-apac-row-ch,pf100_k050_a030,no_pass_within_schedule,1.0,0.5,0.3,8,0.014041844171306021,apac,True,False,128.95072029996663,
10,af-eu-us-apac-row-ch,pf100_k050_a040,no_pass_within_schedule,1.0,0.5,0.4,11,0.0128978647537134,apac,True,False,131.6499666000018,
11,af-eu-us-apac-row-ch,pf100_k100_a030,no_pass_within_schedule,1.0,1.0,0.3,10,0.012792180216293263,apac,True,False,110.97424939996563,
12,af-eu-us-apac-row-ch,pf100_k100_a040,no_pass_within_schedule,1.0,1.0,0.4,4,0.025071813595997035,apac,True,False,131.19498239993118,
13,eu-us-af-row-apac-ch,pf100_k050_a030,no_pass_within_schedule,1.0,0.5,0.3,15,0.013197508580983813,apac,True,False,110.49288329994306,
14,eu-us-af-row-apac-ch,pf100_k050_a040,no_pass_within_schedule,1.0,0.5,0.4,15,0.022523838831890228,apac,True,False,129.2300420999527,
15,eu-us-af-row-apac-ch,pf100_k100_a030,no_pass_within_schedule,1.0,1.0,0.3,14,0.029776746143704826,apac,True,False,119.01590720005333,
16,eu-us-af-row-apac-ch,pf100_k100_a040,no_pass_within_schedule,1.0,1.0,0.4,15,0.013735332315312005,apac,True,False,112.91740499995649,
17,us-apac-af-row-eu-ch,pf100_k050_a030,no_pass_within_schedule,1.0,0.5,0.3,8,0.011767383938141895,apac,True,False,102.67207769991364,
18,us-apac-af-row-eu-ch,pf100_k050_a040,accepted,1.0,0.5,0.4,14,0.006820759037865794,apac,True,True,110.12426140008029,
19,us-apac-af-row-eu-ch,pf100_k100_a030,no_pass_within_schedule,1.0,1.0,0.3,13,0.016102665616329188,apac,True,False,80.24447100004181,
20,us-apac-af-row-eu-ch,pf100_k100_a040,no_pass_within_schedule,1.0,1.0,0.4,15,0.01765783935963561,apac,True,False,93.18032280006446,
