metric,total_capacity_2040_gw,demand_weighted_price_2040_usd_per_kw,capacity_demand_ratio_2040,price_dispersion_2040_usd_per_kw,cross_border_trade_2040_gw,cross_border_share_2040,china_capacity_share_2040,apac_capacity_share_2040,max_gain_percent
total_capacity_2040_gw,1,-0.5057471264,1,-0.7214012042,0.6037219485,0.6037219485,0.7482211275,0.3886152162,-0.02791461412
demand_weighted_price_2040_usd_per_kw,-0.5057471264,1,-0.5057471264,0.8713738369,-0.6360153257,-0.6360153257,-0.5873015873,-0.6206896552,-0.3136288998
capacity_demand_ratio_2040,1,-0.5057471264,1,-0.7214012042,0.6037219485,0.6037219485,0.7482211275,0.3886152162,-0.02791461412
price_dispersion_2040_usd_per_kw,-0.7214012042,0.8713738369,-0.7214012042,1,-0.829228243,-0.829228243,-0.789819376,-0.6721401204,-0.2599890531
cross_border_trade_2040_gw,0.6037219485,-0.6360153257,0.6037219485,-0.829228243,1,1,0.7219485495,0.5374931582,0.2972085386
cross_border_share_2040,0.6037219485,-0.6360153257,0.6037219485,-0.829228243,1,1,0.7219485495,0.5374931582,0.2972085386
china_capacity_share_2040,0.7482211275,-0.5873015873,0.7482211275,-0.789819376,0.7219485495,0.7219485495,1,0.3847837986,0.2692939245
apac_capacity_share_2040,0.3886152162,-0.6206896552,0.3886152162,-0.6721401204,0.5374931582,0.5374931582,0.3847837986,1,-0.04761904762
max_gain_percent,-0.02791461412,-0.3136288998,-0.02791461412,-0.2599890531,0.2972085386,0.2972085386,0.2692939245,-0.04761904762,1
