metric,metric_label,formulation,n_accepted_branch_outcomes,min,p10,p25,median,mean,p75,p90,max
total_capacity_2040_gw,Total capacity 2040 (GW),previous_objective,16,782.2388376,794.06564,804.2906715,820.872456,853.0902298,864.9612018,881.0555915,1246.171862
total_capacity_2040_gw,Total capacity 2040 (GW),clean_objective,28,778.6764217,821.7413208,831.4605646,854.9690105,866.1254025,891.3128128,934.3163299,973.1675213
demand_weighted_price_2040_usd_per_kw,Demand-weighted price 2040 (USD/kW),previous_objective,16,106.8349247,127.2104996,129.3835461,130.2064775,133.8406018,136.8851868,150.6685263,160.251646
demand_weighted_price_2040_usd_per_kw,Demand-weighted price 2040 (USD/kW),clean_objective,28,124.0049991,132.6023396,137.5827473,143.1557929,151.3251726,156.5182511,179.4110019,216.9287945
cross_border_trade_2040_gw,Cross-border trade 2040 (GW),previous_objective,16,275.4159915,275.757523,278.8550287,283.3586807,283.050725,287.3767521,289.4753595,290.9999314
cross_border_trade_2040_gw,Cross-border trade 2040 (GW),clean_objective,28,62.72759207,65.95304218,70.94694137,149.3702438,140.6885623,191.1634682,224.8124961,290.9999999
average_total_capacity_2025_2040_gw,Horizon-average total capacity (GW),previous_objective,16,843.4854105,846.0670177,852.3340223,861.8244697,891.6900611,897.987229,910.1413211,1232.067327
average_total_capacity_2025_2040_gw,Horizon-average total capacity (GW),clean_objective,28,850.7306107,878.6920579,890.0361149,905.5058158,915.4027556,934.9112183,969.2743734,998.3211262
average_demand_weighted_price_2025_2040_usd_per_kw,Horizon-average demand-weighted price (USD/kW),previous_objective,16,129.3719089,147.4075868,154.5629722,155.2911819,154.7165184,160.4062102,161.862593,163.2234838
average_demand_weighted_price_2025_2040_usd_per_kw,Horizon-average demand-weighted price (USD/kW),clean_objective,28,154.9427942,160.3635865,162.0580869,169.6885689,172.1668113,176.5206898,180.6262155,214.1353021
