contrast,baseline_candidate,alternative_candidate,metric,baseline_value,alternative_value,absolute_difference,percent_difference
PF 1.20 minus PF 1.00,AF-pf100_k050_a030,AF-pf120_k050_a030,total_capacity_2040_gw,832.1695904,890.8926895,58.72309908,7.056626408
PF 1.20 minus PF 1.00,AF-pf100_k050_a030,AF-pf120_k050_a030,demand_weighted_price_2040_usd_per_kw,167.3252878,145.8769345,-21.44835328,-12.81835732
PF 1.20 minus PF 1.00,AF-pf100_k050_a030,AF-pf120_k050_a030,cross_border_trade_2040_gw,66.07032934,136.9717962,70.90146684,107.3121136
PF 1.20 minus PF 1.00,AF-pf100_k100_a030,AF-pf120_k100_a030,total_capacity_2040_gw,828.5886572,973.1675213,144.5788641,17.44881044
PF 1.20 minus PF 1.00,AF-pf100_k100_a030,AF-pf120_k100_a030,demand_weighted_price_2040_usd_per_kw,144.3814423,132.7901311,-11.59131126,-8.028255619
PF 1.20 minus PF 1.00,AF-pf100_k100_a030,AF-pf120_k100_a030,cross_border_trade_2040_gw,146.5765509,215.7185667,69.14201588,47.17126681
PF 1.20 minus PF 1.00,AF-pf100_k100_a040,AF-pf120_k100_a040,total_capacity_2040_gw,837.3162071,829.3334873,-7.982719806,-0.9533697948
PF 1.20 minus PF 1.00,AF-pf100_k100_a040,AF-pf120_k100_a040,demand_weighted_price_2040_usd_per_kw,141.1518822,135.0789431,-6.072939039,-4.302414496
PF 1.20 minus PF 1.00,AF-pf100_k100_a040,AF-pf120_k100_a040,cross_border_trade_2040_gw,96.47902195,167.5157252,71.03670323,73.62917015
PF 1.20 minus PF 1.00,CH-pf100_k050_a040,CH-pf120_k050_a040,total_capacity_2040_gw,866.0031491,885.8613799,19.85823079,2.293089905
PF 1.20 minus PF 1.00,CH-pf100_k050_a040,CH-pf120_k050_a040,demand_weighted_price_2040_usd_per_kw,171.7434767,142.3574453,-29.38603148,-17.11042075
PF 1.20 minus PF 1.00,CH-pf100_k050_a040,CH-pf120_k050_a040,cross_border_trade_2040_gw,72.22535914,190.0755054,117.8501462,163.1700384
PF 1.20 minus PF 1.00,CH-pf100_k100_a030,CH-pf120_k100_a030,total_capacity_2040_gw,932.1578578,959.4452823,27.28742453,2.927339431
PF 1.20 minus PF 1.00,CH-pf100_k100_a030,CH-pf120_k100_a030,demand_weighted_price_2040_usd_per_kw,140.0599399,139.9421969,-0.1177430025,-0.08406615239
PF 1.20 minus PF 1.00,CH-pf100_k100_a030,CH-pf120_k100_a030,cross_border_trade_2040_gw,250.8233647,229.6641647,-21.15919998,-8.435896715
PF 1.20 minus PF 1.00,CH-pf100_k100_a040,CH-pf120_k100_a040,total_capacity_2040_gw,832.9863677,889.9712969,56.98492923,6.841039834
PF 1.20 minus PF 1.00,CH-pf100_k100_a040,CH-pf120_k100_a040,demand_weighted_price_2040_usd_per_kw,197.3018939,138.2355635,-59.06633039,-29.93703163
PF 1.20 minus PF 1.00,CH-pf100_k100_a040,CH-pf120_k100_a040,cross_border_trade_2040_gw,72.25320241,152.1639367,79.91073427,110.5981903
PF 1.20 minus PF 1.00,EU-pf100_k050_a030,EU-pf120_k050_a030,total_capacity_2040_gw,847.4257121,878.736954,31.31124185,3.694865686
PF 1.20 minus PF 1.00,EU-pf100_k050_a030,EU-pf120_k050_a030,demand_weighted_price_2040_usd_per_kw,155.1307861,136.5849995,-18.54578658,-11.95493625
PF 1.20 minus PF 1.00,EU-pf100_k050_a030,EU-pf120_k050_a030,cross_border_trade_2040_gw,66.99802408,154.9039754,87.9059513,131.2067819
PF 1.20 minus PF 1.00,EU-pf100_k050_a040,EU-pf120_k050_a040,total_capacity_2040_gw,852.0669812,778.6764217,-73.39055953,-8.613238296
PF 1.20 minus PF 1.00,EU-pf100_k050_a040,EU-pf120_k050_a040,demand_weighted_price_2040_usd_per_kw,147.2243855,216.9287945,69.70440904,47.34569536
PF 1.20 minus PF 1.00,EU-pf100_k050_a040,EU-pf120_k050_a040,cross_border_trade_2040_gw,157.2396139,70.50745883,-86.73215502,-55.15922667
PF 1.20 minus PF 1.00,EU-pf100_k100_a040,EU-pf120_k100_a040,total_capacity_2040_gw,857.8710398,906.5352224,48.66418254,5.672668768
PF 1.20 minus PF 1.00,EU-pf100_k100_a040,EU-pf120_k100_a040,demand_weighted_price_2040_usd_per_kw,160.6806463,141.8321681,-18.84847811,-11.73039725
PF 1.20 minus PF 1.00,EU-pf100_k100_a040,EU-pf120_k100_a040,cross_border_trade_2040_gw,69.03540975,194.4273566,125.3919469,181.6342473
PF 0.80 minus PF 1.00,AF-pf100_k050_a030,AF-pf080_k050_a030,total_capacity_2040_gw,832.1695904,939.3527648,107.1831744,12.8799677
PF 0.80 minus PF 1.00,AF-pf100_k050_a030,AF-pf080_k050_a030,demand_weighted_price_2040_usd_per_kw,167.3252878,134.6148604,-32.71042742,-19.54900413
PF 0.80 minus PF 1.00,AF-pf100_k050_a030,AF-pf080_k050_a030,cross_border_trade_2040_gw,66.07032934,71.09343554,5.023106206,7.602665609
PF 0.80 minus PF 1.00,AF-pf100_k050_a040,AF-pf080_k050_a040,total_capacity_2040_gw,821.971799,821.2035384,-0.7682605581,-0.09346556159
PF 0.80 minus PF 1.00,AF-pf100_k050_a040,AF-pf080_k050_a040,demand_weighted_price_2040_usd_per_kw,137.9153298,143.9541405,6.038810635,4.378636256
PF 0.80 minus PF 1.00,AF-pf100_k050_a040,AF-pf080_k050_a040,cross_border_trade_2040_gw,115.231504,65.51954135,-49.71196262,-43.14094749
PF 0.80 minus PF 1.00,CH-pf100_k050_a040,CH-pf080_k050_a040,total_capacity_2040_gw,866.0031491,839.4337373,-26.56941177,-3.068050249
PF 0.80 minus PF 1.00,CH-pf100_k050_a040,CH-pf080_k050_a040,demand_weighted_price_2040_usd_per_kw,171.7434767,165.952098,-5.791378781,-3.3721099
PF 0.80 minus PF 1.00,CH-pf100_k050_a040,CH-pf080_k050_a040,cross_border_trade_2040_gw,72.22535914,65.67937215,-6.545986987,-9.063280634
PF 0.80 minus PF 1.00,CH-pf100_k100_a030,CH-pf080_k100_a030,total_capacity_2040_gw,932.1578578,886.3915959,-45.76626189,-4.909711538
PF 0.80 minus PF 1.00,CH-pf100_k100_a030,CH-pf080_k100_a030,demand_weighted_price_2040_usd_per_kw,140.0599399,124.0049991,-16.05494078,-11.46290709
PF 0.80 minus PF 1.00,CH-pf100_k100_a030,CH-pf080_k100_a030,cross_border_trade_2040_gw,250.8233647,290.9999999,40.17663526,16.01789982
PF 0.80 minus PF 1.00,CH-pf100_k100_a040,CH-pf080_k100_a040,total_capacity_2040_gw,832.9863677,792.0625495,-40.92381823,-4.912903718
PF 0.80 minus PF 1.00,CH-pf100_k100_a040,CH-pf080_k100_a040,demand_weighted_price_2040_usd_per_kw,197.3018939,214.6723386,17.37044468,8.803992872
PF 0.80 minus PF 1.00,CH-pf100_k100_a040,CH-pf080_k100_a040,cross_border_trade_2040_gw,72.25320241,62.72759207,-9.525610343,-13.18365142
PF 0.80 minus PF 1.00,EU-pf100_k050_a030,EU-pf080_k050_a030,total_capacity_2040_gw,847.4257121,892.5731827,45.14747054,5.327602159
PF 0.80 minus PF 1.00,EU-pf100_k050_a030,EU-pf080_k050_a030,demand_weighted_price_2040_usd_per_kw,155.1307861,147.5272018,-7.603584321,-4.901402559
PF 0.80 minus PF 1.00,EU-pf100_k050_a030,EU-pf080_k050_a030,cross_border_trade_2040_gw,66.99802408,169.2502168,102.2521927,152.6197139
PF 0.80 minus PF 1.00,EU-pf100_k050_a040,EU-pf080_k050_a040,total_capacity_2040_gw,852.0669812,829.2790048,-22.7879764,-2.674434863
PF 0.80 minus PF 1.00,EU-pf100_k050_a040,EU-pf080_k050_a040,demand_weighted_price_2040_usd_per_kw,147.2243855,149.7217099,2.49732445,1.696270928
PF 0.80 minus PF 1.00,EU-pf100_k050_a040,EU-pf080_k050_a040,cross_border_trade_2040_gw,157.2396139,202.0000087,44.7603948,28.46636016
Capacity weight 1.00 minus 0.50,AF-pf100_k050_a030,AF-pf100_k100_a030,total_capacity_2040_gw,832.1695904,828.5886572,-3.580933214,-0.430312914
Capacity weight 1.00 minus 0.50,AF-pf100_k050_a030,AF-pf100_k100_a030,demand_weighted_price_2040_usd_per_kw,167.3252878,144.3814423,-22.94384546,-13.71212072
Capacity weight 1.00 minus 0.50,AF-pf100_k050_a030,AF-pf100_k100_a030,cross_border_trade_2040_gw,66.07032934,146.5765509,80.50622153,121.8492814
Capacity weight 1.00 minus 0.50,AF-pf100_k050_a040,AF-pf100_k100_a040,total_capacity_2040_gw,821.971799,837.3162071,15.34440814,1.866780364
Capacity weight 1.00 minus 0.50,AF-pf100_k050_a040,AF-pf100_k100_a040,demand_weighted_price_2040_usd_per_kw,137.9153298,141.1518822,3.236552334,2.346767642
Capacity weight 1.00 minus 0.50,AF-pf100_k050_a040,AF-pf100_k100_a040,cross_border_trade_2040_gw,115.231504,96.47902195,-18.75248203,-16.27374579
Capacity weight 1.00 minus 0.50,AF-pf120_k050_a030,AF-pf120_k100_a030,total_capacity_2040_gw,890.8926895,973.1675213,82.27483179,9.235100115
Capacity weight 1.00 minus 0.50,AF-pf120_k050_a030,AF-pf120_k100_a030,demand_weighted_price_2040_usd_per_kw,145.8769345,132.7901311,-13.08680344,-8.971125888
Capacity weight 1.00 minus 0.50,AF-pf120_k050_a030,AF-pf120_k100_a030,cross_border_trade_2040_gw,136.9717962,215.7185667,78.74677057,57.49123014
Capacity weight 1.00 minus 0.50,CH-pf080_k050_a040,CH-pf080_k100_a040,total_capacity_2040_gw,839.4337373,792.0625495,-47.37118785,-5.643231353
Capacity weight 1.00 minus 0.50,CH-pf080_k050_a040,CH-pf080_k100_a040,demand_weighted_price_2040_usd_per_kw,165.952098,214.6723386,48.72024066,29.3580143
Capacity weight 1.00 minus 0.50,CH-pf080_k050_a040,CH-pf080_k100_a040,cross_border_trade_2040_gw,65.67937215,62.72759207,-2.951780081,-4.494227007
