candidate,candidate_code,sequence,order,branch,origin,price_factor,capacity_weight,damping,selected_sweep,max_gain_percent,limiting_player,multistart_status,total_capacity_2025_gw,total_capacity_2030_gw,total_capacity_2035_gw,total_capacity_2040_gw,mean_price_2025_usd_per_kw,demand_weighted_price_2025_usd_per_kw,mean_price_2030_usd_per_kw,demand_weighted_price_2030_usd_per_kw,mean_price_2035_usd_per_kw,demand_weighted_price_2035_usd_per_kw,mean_price_2040_usd_per_kw,demand_weighted_price_2040_usd_per_kw,capacity_demand_ratio_2040,price_dispersion_2040_usd_per_kw,cross_border_trade_2040_gw,cross_border_share_2040,china_capacity_share_2040,apac_capacity_share_2040,figure_code,family,pc1_score,pc2_score,average_total_capacity_2025_2040_gw,average_demand_weighted_price_2025_2040_usd_per_kw
ch-af-apac-eu-row-us/pf080_k050_a040,CH-pf080_k050_a040,ch-af-apac-eu-row-us,CH-first,pf080_k050_a040,clean_objective_stage2,0.8,0.5,0.4,12,0.6249764404,apac,one_start_only,1401.4,764.6489597,812.8382147,839.4337373,284.5137289,220.3537635,210.580439,163.2304943,183.4670344,144.7258886,220.1434754,165.952098,1.145202916,102.6253794,65.67937215,0.08960350908,0.4288763013,0.2192703773,C01,Family 3,3.307690975,-0.3272528895,899.3013477,167.0364379
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,1401.4,800.8894259,876.9333944,886.3915959,266.0408496,209.5782724,268.8272753,194.1542348,240.3379827,178.4268522,149.3243079,124.0049991,1.209265479,40.46431361,290.9999999,0.3969986356,0.4913652298,0.2571990234,C02,Family 3,1.124229872,-1.166896663,940.5728728,179.7909076
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,1401.4,862.1847395,767.4790455,792.0625495,283.1866004,217.1064083,210.4576055,159.1595161,231.6705903,167.5687973,313.3614381,214.6723386,1.080576466,172.8908099,62.72759207,0.08557652397,0.4481618996,0.1864183766,C03,Family 2,5.767004358,-6.274339363,908.7983532,180.8725623
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,ch-af-apac-eu-row-us,CH-first,pf100_k050_a040,clean_objective_stage2,1,0.5,0.4,11,0.5501195224,us,one_start_only,1401.4,831.2534733,818.194909,866.0031491,314.9980422,233.2516303,207.9883409,157.8773462,213.5527794,160.181705,233.1121332,171.7434767,1.181450408,105.3916436,72.22535914,0.09853391424,0.4260431963,0.2424643964,C04,Family 3,3.117370579,0.03373905149,927.7166523,173.5188682
ch-af-apac-eu-row-us/pf100_k100_a030,CH-pf100_k100_a030,ch-af-apac-eu-row-us,CH-first,pf100_k100_a030,clean_objective_stage2,1,1,0.3,4,0.9819254614,apac,one_start_only,1401.4,854.9626723,915.4526306,932.1578578,284.7949269,223.0480477,202.0422353,159.4419384,177.7095259,144.4976138,167.803392,140.0599399,1.271702398,38.16784568,250.8233647,0.3421874006,0.6047934912,0.2796888339,C05,Family 4,-7.273837997,-2.483974581,979.0647439,161.831182
ch-af-apac-eu-row-us/pf100_k100_a040,CH-pf100_k100_a040,ch-af-apac-eu-row-us,CH-first,pf100_k100_a040,clean_objective_stage2,1,1,0.4,10,0.7295700092,eu,one_start_only,1401.4,759.8159578,790.649596,832.9863677,331.5299063,248.6864165,212.3698403,160.1348094,339.1326613,241.8496341,273.4989941,197.3018939,1.13640705,130.7491623,72.25320241,0.09857189961,0.4123359664,0.2399929306,C06,Family 2,6.132514501,-1.075485514,889.2195792,208.3261996
ch-af-apac-eu-row-us/pf120_k050_a030,CH-pf120_k050_a030,ch-af-apac-eu-row-us,CH-first,pf120_k050_a030,clean_objective_stage2,1.2,0.5,0.3,5,0.5937755679,apac,one_start_only,1401.4,835.9363805,851.9404698,898.0501204,273.682207,216.1794355,186.0110145,152.4502983,189.2996603,148.5137465,158.9928636,131.9510774,1.225170696,37.87310635,222.7332095,0.3038652245,0.5835611596,0.2885544817,C07,Family 4,-5.873166065,-1.291849371,945.8673035,158.3431004
ch-af-apac-eu-row-us/pf120_k050_a040,CH-pf120_k050_a040,ch-af-apac-eu-row-us,CH-first,pf120_k050_a040,clean_objective_stage2,1.2,0.5,0.4,4,0.5921495258,apac,one_start_only,1401.4,805.424094,850.0172163,885.8613799,283.2365045,220.8356319,209.9944629,161.5789288,174.3016649,137.9819709,174.3823166,142.3574453,1.208542128,45.23933097,190.0755054,0.2593117399,0.5705619979,0.2749664314,C08,Family 4,-4.531097516,-0.3248086257,933.0240001,160.3858128
ch-af-apac-eu-row-us/pf120_k100_a030,CH-pf120_k100_a030,ch-af-apac-eu-row-us,CH-first,pf120_k100_a030,clean_objective_stage2,1.2,1,0.3,4,0.9065294856,us,one_start_only,1401.4,875.5885181,938.9522193,959.4452823,268.6110953,211.1363847,192.2402579,154.9058451,161.0337319,134.3832468,171.9966141,139.9421969,1.308929444,44.58976085,229.6641647,0.313320825,0.6152318852,0.2554091057,C09,Family 4,-7.030519265,-2.798313776,998.3211262,154.9427942
ch-af-apac-eu-row-us/pf120_k100_a040,CH-pf120_k100_a040,ch-af-apac-eu-row-us,CH-first,pf120_k100_a040,clean_objective_stage2,1.2,1,0.4,7,0.7732214371,apac,one_start_only,1401.4,784.9004021,841.2941655,889.9712969,291.1555197,221.5815622,201.6413845,158.4103087,181.9283792,146.6801001,165.5420917,138.2355635,1.214149109,41.21125881,152.1639367,0.2075906367,0.4882507971,0.312553829,C10,Family 4,-2.825185917,0.290020874,923.9600721,161.6663239
af-eu-us-apac-row-ch/pf080_k050_a030,AF-pf080_k050_a030,af-eu-us-apac-row-ch,AF-first,pf080_k050_a030,clean_objective_stage2,0.8,0.5,0.3,8,0.8485817696,apac,one_start_only,1401.4,849.826632,875.0324867,939.3527648,240.6453835,199.264227,232.3219723,181.6968347,178.8632833,142.4083959,168.2125721,134.6148604,1.281518097,54.45388556,71.09343554,0.09698968016,0.5049680277,0.2466624363,C11,Family 3,-1.47403948,-0.1414272779,965.0785004,163.6815915
