year,metric,n,mean,std,min,q1,median,q3,max,iqr,range,cv_percent,range_percent_of_median
2025,total_capacity_gw,28,1401.4,2.315460175e-13,1401.4,1401.4,1401.4,1401.4,1401.4,0,0,1.652247877e-14,0
2030,total_capacity_gw,28,787.3394324,52.02440252,701.403439,753.8819426,774.0379074,832.4242001,875.5885181,78.54225751,174.1850791,6.607620599,22.50343006
2035,total_capacity_gw,28,825.1061333,46.22769929,745.3861558,795.0296101,817.0549887,843.4749282,938.9522193,48.44531812,193.5660635,5.60263673,23.69070212
2040,total_capacity_gw,28,866.1254025,47.61400191,778.6764217,831.4605646,854.9690105,891.3128128,973.1675213,59.85224815,194.4910996,5.497356593,22.74832154
2025,mean_price_usd_per_kw,28,294.5777101,23.46580622,240.6453835,278.2593778,289.1843781,315.0710634,336.4223105,36.81168561,95.77692707,7.965913721,33.11967531
2030,mean_price_usd_per_kw,28,226.4476398,32.98685583,177.8091844,207.5199304,213.827583,246.2605584,338.2547281,38.740628,160.4455438,14.56710075,75.03500789
2035,mean_price_usd_per_kw,28,202.7575113,34.45997798,161.0337319,183.5986732,197.3428188,203.4525681,339.1326613,19.85389484,178.0989294,16.99566036,90.24849775
2040,mean_price_usd_per_kw,28,192.6558303,42.6317762,149.3243079,166.8384484,177.4835459,201.9309574,313.3614381,35.092509,164.0371302,22.12846407,92.42385221
2025,demand_weighted_price_usd_per_kw,28,225.5808532,11.53085366,199.264227,219.4010796,222.6450919,234.4336858,248.6864165,15.03260618,49.42218949,5.111627825,22.19774487
2030,demand_weighted_price_usd_per_kw,28,171.5410583,17.78986249,143.1857389,158.2770681,163.780113,184.7028026,223.8298495,26.42573455,80.64411063,10.37061487,49.23925691
2035,demand_weighted_price_usd_per_kw,28,156.5063626,20.44282186,134.3832468,145.5513185,154.0074249,157.2659441,241.8496341,11.71462553,107.4663873,13.06197494,69.78000401
2040,demand_weighted_price_usd_per_kw,28,151.3251726,23.61733915,124.0049991,137.5827473,143.1557929,156.5182511,216.9287945,18.93550389,92.92379537,15.60701287,64.91095715
2025,price_dispersion_usd_per_kw,28,71.7429149,15.8357991,52.70179225,60.32731943,70.1893912,79.30262617,113.6356892,18.97530674,60.93389698,22.07297978,86.81354252
2030,price_dispersion_usd_per_kw,28,70.03447732,27.97966978,43.11741651,53.41299351,62.89731788,74.74311576,190.1200369,21.33012226,147.0026204,39.95127949,233.7184245
2035,price_dispersion_usd_per_kw,28,69.12438727,32.30108,34.52964705,53.45957352,59.06197359,70.49116465,193.4258502,17.03159113,158.8962031,46.72892054,269.0330063
2040,price_dispersion_usd_per_kw,28,71.01254103,40.40099553,37.87310635,45.07693844,55.79821104,79.59669019,196.4192206,34.51975175,158.5461143,56.89276139,284.1419309
2025,capacity_demand_ratio,28,2.552641166,1.045677195e-10,2.552641166,2.552641166,2.552641166,2.552641166,2.552641166,1.406368355e-10,4.117768349e-10,4.096451978e-09,1.613140305e-08
2030,capacity_demand_ratio,28,1.168159395,0.07718754082,1.040657921,1.118519203,1.148424195,1.235050742,1.299092757,0.1165315393,0.2584348356,6.607620598,22.50343006
2035,capacity_demand_ratio,28,1.178723048,0.06603957042,1.064837365,1.135756586,1.167221412,1.204964183,1.341360313,0.06920759727,0.2765229479,5.602636731,23.69070212
2040,capacity_demand_ratio,28,1.181617193,0.06495771066,1.062314354,1.134325463,1.166397013,1.215979281,1.327650097,0.08165381738,0.2653357428,5.497356592,22.74832153
2025,cross_border_trade_gw,28,146.8357137,38.16735217,62.60000147,140.8499985,151.4999999,172.4499997,216.999999,31.60000114,154.3999975,25.99323503,101.9141898
2030,cross_border_trade_gw,28,143.3908436,58.90848571,63.13374314,90.90183934,137.0852569,183.9882354,299.6410104,93.08639603,236.5072673,41.08245982,172.5256768
2035,cross_border_trade_gw,28,145.3715055,55.6414223,58.33443435,120.2012981,144.3111666,181.3680089,255.5999957,61.16671074,197.2655614,38.27532921,136.6945927
2040,cross_border_trade_gw,28,140.6885623,67.23904858,62.72759207,70.94694137,149.3702438,191.1634682,290.9999999,120.2165268,228.2724079,47.79283225,152.8232144
2025,cross_border_share,28,0.2674603164,0.06952158865,0.1140255036,0.2565573744,0.275956284,0.314116575,0.3952641147,0.0575592006,0.2812386111,25.99323503,101.9141898
2030,cross_border_share,28,0.2127460587,0.08740131411,0.09367024204,0.1348691978,0.203390589,0.2729795777,0.4445712321,0.1381103799,0.3509009901,41.08245982,172.5256768
2035,cross_border_share,28,0.2076735793,0.07948774614,0.08333490621,0.1717161402,0.2061588094,0.2590971555,0.365142851,0.08738101535,0.2818079448,38.27532921,136.6945927
2040,cross_border_share,28,0.1919352828,0.09173130775,0.08557652397,0.09678982453,0.203779323,0.2607960002,0.3969986356,0.1640061757,0.3114221117,47.79283225,152.8232144
