candidate,formulation,year,cross_border_trade_gw,flow_weighted_offer_usd_per_kw,active_cross_border_routes
ch-af-apac-eu-row-us/pf120_k100_a040,clean_objective,2035,171.6078516,165.2280035,5
ch-af-apac-eu-row-us/pf120_k100_a040,clean_objective,2040,152.1639367,128.6370348,4
af-eu-us-apac-row-ch/pf080_k050_a030,clean_objective,2025,175.0000007,241.9632115,9
af-eu-us-apac-row-ch/pf080_k050_a030,clean_objective,2030,201.6028315,165.1209932,7
af-eu-us-apac-row-ch/pf080_k050_a030,clean_objective,2035,153.0705656,193.2830889,4
af-eu-us-apac-row-ch/pf080_k050_a030,clean_objective,2040,71.09343554,196.6335666,4
af-eu-us-apac-row-ch/pf080_k050_a040,clean_objective,2025,153.0000001,259.1396655,7
af-eu-us-apac-row-ch/pf080_k050_a040,clean_objective,2030,133.0207327,209.481355,6
af-eu-us-apac-row-ch/pf080_k050_a040,clean_objective,2035,163.3169726,185.5152856,5
af-eu-us-apac-row-ch/pf080_k050_a040,clean_objective,2040,65.51954135,215.0510041,4
af-eu-us-apac-row-ch/pf100_k050_a030,clean_objective,2025,62.60000147,248.905262,5
af-eu-us-apac-row-ch/pf100_k050_a030,clean_objective,2030,87.79097822,212.7389249,5
af-eu-us-apac-row-ch/pf100_k050_a030,clean_objective,2035,62.35542938,247.7065753,3
af-eu-us-apac-row-ch/pf100_k050_a030,clean_objective,2040,66.07032934,212.4544364,4
af-eu-us-apac-row-ch/pf100_k050_a040,clean_objective,2025,123.0000005,261.3764186,6
af-eu-us-apac-row-ch/pf100_k050_a040,clean_objective,2030,79.88489334,165.1847371,6
af-eu-us-apac-row-ch/pf100_k050_a040,clean_objective,2035,121.0456444,135.8465928,4
af-eu-us-apac-row-ch/pf100_k050_a040,clean_objective,2040,115.231504,176.4156256,5
af-eu-us-apac-row-ch/pf100_k100_a030,clean_objective,2025,104.600006,258.7576195,9
af-eu-us-apac-row-ch/pf100_k100_a030,clean_objective,2030,78.75259208,212.4493402,4
af-eu-us-apac-row-ch/pf100_k100_a030,clean_objective,2035,131.997302,180.5805517,4
af-eu-us-apac-row-ch/pf100_k100_a030,clean_objective,2040,146.5765509,186.6453776,5
af-eu-us-apac-row-ch/pf100_k100_a040,clean_objective,2025,152.9999979,286.6521876,9
af-eu-us-apac-row-ch/pf100_k100_a040,clean_objective,2030,104.9673974,187.7335131,5
af-eu-us-apac-row-ch/pf100_k100_a040,clean_objective,2035,154.8993445,198.3226855,4
af-eu-us-apac-row-ch/pf100_k100_a040,clean_objective,2040,96.47902195,167.6464556,5
af-eu-us-apac-row-ch/pf120_k050_a030,clean_objective,2025,149.5999999,276.4033412,6
af-eu-us-apac-row-ch/pf120_k050_a030,clean_objective,2030,154.9522217,200.087026,5
af-eu-us-apac-row-ch/pf120_k050_a030,clean_objective,2035,134.864309,155.6920665,4
af-eu-us-apac-row-ch/pf120_k050_a030,clean_objective,2040,136.9717962,134.164906,4
af-eu-us-apac-row-ch/pf120_k100_a030,clean_objective,2025,171.6,260.9949122,5
af-eu-us-apac-row-ch/pf120_k100_a030,clean_objective,2030,179.296345,185.8767886,7
af-eu-us-apac-row-ch/pf120_k100_a030,clean_objective,2035,131.928228,152.0051141,6
af-eu-us-apac-row-ch/pf120_k100_a030,clean_objective,2040,215.7185667,144.77975,6
af-eu-us-apac-row-ch/pf120_k100_a040,clean_objective,2025,149.5999999,298.4584479,5
af-eu-us-apac-row-ch/pf120_k100_a040,clean_objective,2030,108.7290851,190.91842,6
af-eu-us-apac-row-ch/pf120_k100_a040,clean_objective,2035,145.553496,172.6912158,5
af-eu-us-apac-row-ch/pf120_k100_a040,clean_objective,2040,167.5157252,154.4243082,5
eu-us-af-row-apac-ch/pf080_k050_a030,clean_objective,2025,175.0000001,242.4197829,8
eu-us-af-row-apac-ch/pf080_k050_a030,clean_objective,2030,251.2113028,167.4877308,8
eu-us-af-row-apac-ch/pf080_k050_a030,clean_objective,2035,184.9999428,157.8080652,8
eu-us-af-row-apac-ch/pf080_k050_a030,clean_objective,2040,169.2502168,135.7518652,6
eu-us-af-row-apac-ch/pf080_k050_a040,clean_objective,2025,182.3999962,264.3278558,9
eu-us-af-row-apac-ch/pf080_k050_a040,clean_objective,2030,132.7717684,180.4302621,6
eu-us-af-row-apac-ch/pf080_k050_a040,clean_objective,2035,117.6682591,197.3794382,4
eu-us-af-row-apac-ch/pf080_k050_a040,clean_objective,2040,202.0000087,142.0001288,9
eu-us-af-row-apac-ch/pf100_k050_a030,clean_objective,2025,76.4000001,289.6636543,5
eu-us-af-row-apac-ch/pf100_k050_a030,clean_objective,2030,98.28890902,201.0959176,4
eu-us-af-row-apac-ch/pf100_k050_a030,clean_objective,2035,63.19544163,215.8767751,5
eu-us-af-row-apac-ch/pf100_k050_a030,clean_objective,2040,66.99802408,200.0784192,6
eu-us-af-row-apac-ch/pf100_k050_a040,clean_objective,2025,150.0000019,267.7726422,5
eu-us-af-row-apac-ch/pf100_k050_a040,clean_objective,2030,73.1561833,169.7720714,5
eu-us-af-row-apac-ch/pf100_k050_a040,clean_objective,2035,131.5500323,192.6435942,4
eu-us-af-row-apac-ch/pf100_k050_a040,clean_objective,2040,157.2396139,162.3970717,6
eu-us-af-row-apac-ch/pf100_k100_a030,clean_objective,2025,149.5999994,281.7299351,6
eu-us-af-row-apac-ch/pf100_k100_a030,clean_objective,2030,91.7254715,196.3596963,4
eu-us-af-row-apac-ch/pf100_k100_a030,clean_objective,2035,62.69882259,241.6594504,3
eu-us-af-row-apac-ch/pf100_k100_a030,clean_objective,2040,164.3955027,152.7276663,4
eu-us-af-row-apac-ch/pf100_k100_a040,clean_objective,2025,144.599998,240.338506,6
eu-us-af-row-apac-ch/pf100_k100_a040,clean_objective,2030,109.3521787,204.3218435,7
eu-us-af-row-apac-ch/pf100_k100_a040,clean_objective,2035,137.214783,191.1381635,4
eu-us-af-row-apac-ch/pf100_k100_a040,clean_objective,2040,69.03540975,200.4367998,6
eu-us-af-row-apac-ch/pf120_k050_a030,clean_objective,2025,149.5999835,288.0804816,5
eu-us-af-row-apac-ch/pf120_k050_a030,clean_objective,2030,78.24512228,167.759976,4
eu-us-af-row-apac-ch/pf120_k050_a030,clean_objective,2035,143.0688372,149.4919587,9
eu-us-af-row-apac-ch/pf120_k050_a030,clean_objective,2040,154.9039754,155.7479364,5
eu-us-af-row-apac-ch/pf120_k050_a040,clean_objective,2025,69.60000061,248.836941,3
eu-us-af-row-apac-ch/pf120_k050_a040,clean_objective,2030,63.13374314,521.8336642,3
eu-us-af-row-apac-ch/pf120_k050_a040,clean_objective,2035,58.51263584,357.925296,3
eu-us-af-row-apac-ch/pf120_k050_a040,clean_objective,2040,70.50745883,293.8255974,5
eu-us-af-row-apac-ch/pf120_k100_a040,clean_objective,2025,149.6,307.152613,6
eu-us-af-row-apac-ch/pf120_k100_a040,clean_objective,2030,203.4846799,198.6094938,8
eu-us-af-row-apac-ch/pf120_k100_a040,clean_objective,2035,180.1573642,151.7750698,7
eu-us-af-row-apac-ch/pf120_k100_a040,clean_objective,2040,194.4273566,139.4746069,5
