contrast,metric,n_pairs,mean_percent_difference,median_percent_difference,min_percent_difference,max_percent_difference
PF 1.20 minus PF 1.00,total_capacity_2040_gw,9,4.040870264,3.694865686,-8.613238296,17.44881044
PF 1.20 minus PF 1.00,demand_weighted_price_2040_usd_per_kw,9,-5.402242678,-11.73039725,-29.93703163,47.34569536
PF 1.20 minus PF 1.00,cross_border_trade_2040_gw,9,83.45852055,107.3121136,-55.15922667,181.6342473
PF 0.80 minus PF 1.00,total_capacity_2040_gw,7,0.364143418,-2.674434863,-4.912903718,12.8799677
PF 0.80 minus PF 1.00,demand_weighted_price_2040_usd_per_kw,7,-3.486646232,-3.3721099,-19.54900413,8.803992872
PF 0.80 minus PF 1.00,cross_border_trade_2040_gw,7,19.90268,7.602665609,-43.14094749,152.6197139
Capacity weight 1.00 minus 0.50,total_capacity_2040_gw,10,2.615569268,0.60972249,-5.643231353,16.42001699
Capacity weight 1.00 minus 0.50,demand_weighted_price_2040_usd_per_kw,10,-1.321886592,-0.2743387408,-34.6180997,29.3580143
Capacity weight 1.00 minus 0.50,cross_border_trade_2040_gw,10,40.68098925,1.575162511,-56.09540875,175.75431
Damping 0.40 minus 0.30,total_capacity_2040_gw,12,-6.220729654,-7.16613038,-14.77998709,1.053303089
Damping 0.40 minus 0.30,demand_weighted_price_2040_usd_per_kw,12,15.52427871,4.33070454,-17.57651719,73.11587444
Damping 0.40 minus 0.30,cross_border_trade_2040_gw,12,-12.20402769,-28.04513445,-78.44412643,134.6929123
AF-first minus CH-first,total_capacity_2040_gw,7,-3.432468888,-2.171725782,-11.11069329,1.43022632
AF-first minus CH-first,demand_weighted_price_2040_usd_per_kw,7,-7.880915617,-5.110728573,-28.45893197,10.55380326
AF-first minus CH-first,cross_border_trade_2040_gw,7,2.397280262,-0.2433500756,-41.56184331,59.54438351
EU-first minus CH-first,total_capacity_2040_gw,7,-2.974431181,-1.60925141,-12.09951812,2.987404489
EU-first minus CH-first,demand_weighted_price_2040_usd_per_kw,7,1.463089093,-5.637429487,-18.56102187,52.38317471
EU-first minus CH-first,cross_border_trade_2040_gw,7,31.5381057,-4.45349487,-62.90555235,207.5547193
