figure_code,candidate_code,candidate,year,capacity_gw,production_gw,demand_gw,unused_gw,cross_border_gw
C14,AF-pf100_k100_a030,af-eu-us-apac-row-ch/pf100_k100_a030,2030,701.403438951535,673.9999999831791,673.9999999831792,27.40343896835594,78.75259207950512
C14,AF-pf100_k100_a030,af-eu-us-apac-row-ch/pf100_k100_a030,2035,760.2682810121188,699.9999999906021,699.999999990602,60.26828102151663,131.99730196421692
C14,AF-pf100_k100_a030,af-eu-us-apac-row-ch/pf100_k100_a030,2040,828.5886572082131,732.9999999095033,732.9999999095033,95.58865729870979,146.5765508623086
C15,AF-pf100_k100_a040,af-eu-us-apac-row-ch/pf100_k100_a040,2025,1401.4,548.9999999599379,548.9999999599379,852.400000040062,152.99999786106036
C15,AF-pf100_k100_a040,af-eu-us-apac-row-ch/pf100_k100_a040,2030,757.7418054111424,673.9999999694211,673.9999999694212,83.74180544172125,104.96739743465182
C15,AF-pf100_k100_a040,af-eu-us-apac-row-ch/pf100_k100_a040,2035,793.1408681466352,699.9999999937695,699.9999999937694,93.14086815286575,154.89934449839046
C15,AF-pf100_k100_a040,af-eu-us-apac-row-ch/pf100_k100_a040,2040,837.3162071275533,732.9999999660704,732.9999999660703,104.31620716148306,96.47902194578049
C16,AF-pf120_k050_a030,af-eu-us-apac-row-ch/pf120_k050_a030,2025,1401.4,548.9999999954067,548.9999999954067,852.4000000045933,149.59999990016317
C16,AF-pf120_k050_a030,af-eu-us-apac-row-ch/pf120_k050_a030,2030,814.0905679164504,673.9999999207811,673.9999999207812,140.09056799566935,154.9522216682504
C16,AF-pf120_k050_a030,af-eu-us-apac-row-ch/pf120_k050_a030,2035,837.6505563682022,699.9999999924412,699.9999999924413,137.6505563757609,134.86430904538088
C16,AF-pf120_k050_a030,af-eu-us-apac-row-ch/pf120_k050_a030,2040,890.8926894998561,732.9999999822343,732.9999999822343,157.89268951762196,136.97179617961004
C17,AF-pf120_k100_a030,af-eu-us-apac-row-ch/pf120_k100_a030,2025,1401.4,548.9999999964291,548.9999999964292,852.4000000035709,171.60000000156757
C17,AF-pf120_k100_a030,af-eu-us-apac-row-ch/pf120_k100_a030,2030,873.3946487488616,673.9999999717554,673.9999999717553,199.39464877710623,179.2963449928223
C17,AF-pf120_k100_a030,af-eu-us-apac-row-ch/pf120_k100_a030,2035,905.1554216972686,699.9999998886675,699.9999998886676,205.15542180860098,131.92822795734918
C17,AF-pf120_k100_a030,af-eu-us-apac-row-ch/pf120_k100_a030,2040,973.167521291209,732.9999999893932,732.999999989393,240.16752130181575,215.71856674509593
C18,AF-pf120_k100_a040,af-eu-us-apac-row-ch/pf120_k100_a040,2025,1401.4,548.999999996014,548.999999996014,852.400000003986,149.5999998734329
C18,AF-pf120_k100_a040,af-eu-us-apac-row-ch/pf120_k100_a040,2030,707.3493027878137,673.9999999217121,673.9999999217121,33.349302866101745,108.72908509218885
C18,AF-pf120_k100_a040,af-eu-us-apac-row-ch/pf120_k100_a040,2035,763.4993419166065,699.999999988902,699.999999988902,63.49934192770448,145.55349595305663
C18,AF-pf120_k100_a040,af-eu-us-apac-row-ch/pf120_k100_a040,2040,829.3334873216255,732.9999999844347,732.9999999844347,96.33348733719089,167.51572517153386
C19,EU-pf080_k050_a030,eu-us-af-row-apac-ch/pf080_k050_a030,2025,1401.4,548.9999999876406,548.9999999876406,852.4000000123594,175.0000000782854
C19,EU-pf080_k050_a030,eu-us-af-row-apac-ch/pf080_k050_a030,2030,860.4848830963228,673.9999999903613,673.9999999903614,186.48488310596147,251.211302849328
C19,EU-pf080_k050_a030,eu-us-af-row-apac-ch/pf080_k050_a030,2035,827.5079946417229,699.999999925778,699.9999999257778,127.50799471594493,184.9999427864565
C19,EU-pf080_k050_a030,eu-us-af-row-apac-ch/pf080_k050_a030,2040,892.573182670457,732.999999984175,732.9999999841748,159.57318268628217,169.2502167629658
C20,EU-pf080_k050_a040,eu-us-af-row-apac-ch/pf080_k050_a040,2025,1401.4,548.9999999537777,548.9999999537777,852.4000000462223,182.39999624492705
C20,EU-pf080_k050_a040,eu-us-af-row-apac-ch/pf080_k050_a040,2030,778.4700796908471,673.9999999514235,673.9999999514237,104.4700797394238,132.77176843755578
C20,EU-pf080_k050_a040,eu-us-af-row-apac-ch/pf080_k050_a040,2035,823.1209128041322,699.9999999396251,699.9999999396249,123.12091286450713,117.66825913288505
C20,EU-pf080_k050_a040,eu-us-af-row-apac-ch/pf080_k050_a040,2040,829.2790048108939,732.9999998833056,732.9999998833056,96.27900492758836,202.00000865191348
C21,EU-pf100_k050_a030,eu-us-af-row-apac-ch/pf100_k050_a030,2025,1401.4,548.9999999958727,548.9999999958726,852.4000000041274,76.40000010340225
C21,EU-pf100_k050_a030,eu-us-af-row-apac-ch/pf100_k050_a030,2030,769.6057350897374,673.9999999938974,673.9999999938973,95.60573509583998,98.28890902246178
C21,EU-pf100_k050_a030,eu-us-af-row-apac-ch/pf100_k050_a030,2035,805.3501042010131,699.9999999094123,699.9999999094123,105.35010429160079,63.19544162754175
C21,EU-pf100_k050_a030,eu-us-af-row-apac-ch/pf100_k050_a030,2040,847.4257121311043,732.9999998923624,732.9999998923624,114.42571223874187,66.99802407537886
C22,EU-pf100_k050_a040,eu-us-af-row-apac-ch/pf100_k050_a040,2025,1401.4,548.9999999099396,548.9999999099397,852.4000000900603,150.000001941965
C22,EU-pf100_k050_a040,eu-us-af-row-apac-ch/pf100_k050_a040,2030,736.9993173095249,673.9999999890662,673.9999999890662,62.9993173204589,73.15618329502938
C22,EU-pf100_k050_a040,eu-us-af-row-apac-ch/pf100_k050_a040,2035,814.3577567334052,699.9999999869418,699.9999999869418,114.35775674646347,131.55003231003175
C22,EU-pf100_k050_a040,eu-us-af-row-apac-ch/pf100_k050_a040,2040,852.0669812091662,732.9999999664777,732.9999999664778,119.06698124268857,157.23961385386195
C23,EU-pf100_k100_a030,eu-us-af-row-apac-ch/pf100_k100_a030,2025,1401.4,548.9999999780875,548.9999999780875,852.4000000219123,149.59999940163294
C23,EU-pf100_k100_a030,eu-us-af-row-apac-ch/pf100_k100_a030,2030,747.358276809332,673.9999999933558,673.9999999933558,73.35827681597621,91.72547150154952
C23,EU-pf100_k100_a030,eu-us-af-row-apac-ch/pf100_k100_a030,2035,795.6591907828328,699.9999999612776,699.9999999612776,95.65919082155523,62.69882259053057
C23,EU-pf100_k100_a030,eu-us-af-row-apac-ch/pf100_k100_a030,2040,851.9871589187684,732.9999999913659,732.9999999913659,118.98715892740256,164.3955026893931
C24,EU-pf100_k100_a040,eu-us-af-row-apac-ch/pf100_k100_a040,2025,1401.4,548.9999999585737,548.9999999585737,852.4000000414264,144.5999980105493
C24,EU-pf100_k100_a040,eu-us-af-row-apac-ch/pf100_k100_a040,2030,757.2209887900426,673.9999998806874,673.9999998806874,83.22098890935523,109.35217873681422
C24,EU-pf100_k100_a040,eu-us-af-row-apac-ch/pf100_k100_a040,2035,829.2478910344926,699.9999999926257,699.9999999926258,129.24789104186692,137.21478296311483
C24,EU-pf100_k100_a040,eu-us-af-row-apac-ch/pf100_k100_a040,2040,857.8710398449748,732.9999999694998,732.9999999694999,124.87103987547503,69.03540975057017
C25,EU-pf120_k050_a030,eu-us-af-row-apac-ch/pf120_k050_a030,2025,1401.4,548.9999999953209,548.9999999953208,852.4000000046791,149.59998353087465
C25,EU-pf120_k050_a030,eu-us-af-row-apac-ch/pf120_k050_a030,2030,737.4387576539211,673.9999999956506,673.9999999956506,63.438757658270475,78.24512227990063
C25,EU-pf120_k050_a030,eu-us-af-row-apac-ch/pf120_k050_a030,2035,815.9150683587691,699.9999999424858,699.9999999424857,115.91506841628309,143.06883718262893
C25,EU-pf120_k050_a030,eu-us-af-row-apac-ch/pf120_k050_a030,2040,878.7369539839513,732.9999999563836,732.9999999563835,145.73695402756783,154.9039753749862
C26,EU-pf120_k050_a040,eu-us-af-row-apac-ch/pf120_k050_a040,2025,1401.4,548.999999962392,548.999999962392,852.4000000376077,69.60000061284954
C26,EU-pf120_k050_a040,eu-us-af-row-apac-ch/pf120_k050_a040,2030,716.7674655428606,673.9999999973678,673.9999999973676,42.767465545492854,63.13374313596649
C26,EU-pf120_k050_a040,eu-us-af-row-apac-ch/pf120_k050_a040,2035,745.3861557797193,699.9999999897764,699.9999999897764,45.386155789943146,58.512635844617954
C26,EU-pf120_k050_a040,eu-us-af-row-apac-ch/pf120_k050_a040,2040,778.6764216796333,732.9999998890723,732.9999998890721,45.67642179056095,70.50745883478665
C27,EU-pf120_k100_a040,eu-us-af-row-apac-ch/pf120_k100_a040,2025,1401.4,548.9999999977106,548.9999999977105,852.4000000022895,149.60000001025836
C27,EU-pf120_k100_a040,eu-us-af-row-apac-ch/pf120_k100_a040,2030,801.0043912467113,673.9999999315182,673.9999999315182,127.004391315193,203.48467988073992
C27,EU-pf120_k100_a040,eu-us-af-row-apac-ch/pf120_k100_a040,2035,833.9249395893652,699.9999999922346,699.9999999922346,133.9249395971305,180.15736420464503
C27,EU-pf120_k100_a040,eu-us-af-row-apac-ch/pf120_k100_a040,2040,906.5352223888683,732.9999999743732,732.9999999743733,173.5352224144951,194.42735663306865
