figure_code,candidate_code,candidate,year,capacity_gw,production_gw,demand_gw,unused_gw,cross_border_gw
C01,CH-pf080_k050_a040,ch-af-apac-eu-row-us/pf080_k050_a040,2025,1401.4,548.9999999783681,548.9999999783681,852.400000021632,216.99999897780094
C01,CH-pf080_k050_a040,ch-af-apac-eu-row-us/pf080_k050_a040,2030,764.6489596924447,673.9999999958238,673.9999999958238,90.64895969662076,192.34749261406677
C01,CH-pf080_k050_a040,ch-af-apac-eu-row-us/pf080_k050_a040,2035,812.8382146595221,699.9999998950191,699.9999998950192,112.83821476450308,224.83860936855618
C01,CH-pf080_k050_a040,ch-af-apac-eu-row-us/pf080_k050_a040,2040,839.4337373260855,732.9999999866249,732.9999999866251,106.4337373394607,65.67937215143888
C02,CH-pf080_k100_a030,ch-af-apac-eu-row-us/pf080_k100_a030,2025,1401.4,548.9999999829129,548.999999982913,852.400000017087,193.60000005982704
C02,CH-pf080_k100_a030,ch-af-apac-eu-row-us/pf080_k100_a030,2030,800.8894259373155,673.9999999939793,673.9999999939793,126.88942594333636,173.99138739799395
C02,CH-pf080_k100_a030,ch-af-apac-eu-row-us/pf080_k100_a030,2035,876.9333944326473,699.9999999372992,699.9999999372993,176.93339449534807,185.00000024384772
C02,CH-pf080_k100_a030,ch-af-apac-eu-row-us/pf080_k100_a030,2040,886.3915959183247,732.999999985426,732.9999999854259,153.39159593289855,290.99999992234416
C03,CH-pf080_k100_a040,ch-af-apac-eu-row-us/pf080_k100_a040,2025,1401.4,548.9999999985012,548.999999998501,852.4000000014989,174.99999860006128
C03,CH-pf080_k100_a040,ch-af-apac-eu-row-us/pf080_k100_a040,2030,862.1847394981276,673.999999998604,673.9999999986042,188.18473949952357,195.40803412038917
C03,CH-pf080_k100_a040,ch-af-apac-eu-row-us/pf080_k100_a040,2035,767.479045456301,699.9999999332503,699.9999999332503,67.47904552305086,176.60000052801158
C03,CH-pf080_k100_a040,ch-af-apac-eu-row-us/pf080_k100_a040,2040,792.0625494747798,732.9999999977579,732.9999999977578,59.062549477021854,62.727592070030276
C04,CH-pf100_k050_a040,ch-af-apac-eu-row-us/pf100_k050_a040,2025,1401.4,548.9999999872663,548.9999999872664,852.4000000127337,156.19999901461972
C04,CH-pf100_k050_a040,ch-af-apac-eu-row-us/pf100_k050_a040,2030,831.2534733407713,673.9999999793959,673.9999999793959,157.2534733613754,141.14978114901874
C04,CH-pf100_k050_a040,ch-af-apac-eu-row-us/pf100_k050_a040,2035,818.1949089902375,699.9999999935568,699.9999999935567,118.19490899668075,58.33443434959242
C04,CH-pf100_k050_a040,ch-af-apac-eu-row-us/pf100_k050_a040,2040,866.003149097694,732.999999996332,732.9999999963321,133.0031491013619,72.22535913877915
C05,CH-pf100_k100_a030,ch-af-apac-eu-row-us/pf100_k100_a030,2025,1401.4,548.9999999854837,548.9999999854838,852.4000000145163,174.9999999119672
C05,CH-pf100_k100_a030,ch-af-apac-eu-row-us/pf100_k100_a030,2030,854.9626723262796,673.9999999981048,673.9999999981051,180.96267232817456,299.64101043350263
C05,CH-pf100_k100_a030,ch-af-apac-eu-row-us/pf100_k100_a030,2035,915.4526306038961,699.9999999743047,699.999999974305,215.4526306295913,236.46610251051084
C05,CH-pf100_k100_a030,ch-af-apac-eu-row-us/pf100_k100_a030,2040,932.1578578110992,732.9999999806486,732.9999999806487,199.15785783045072,250.82336465846873
C06,CH-pf120_k050_a030,ch-af-apac-eu-row-us/pf120_k050_a030,2025,1401.4,548.9999999961746,548.9999999961746,852.4000000038254,171.59999998226508
C06,CH-pf120_k050_a030,ch-af-apac-eu-row-us/pf120_k050_a030,2030,835.936380516714,673.9999999847139,673.9999999847138,161.93638053200021,181.20181629026945
C06,CH-pf120_k050_a030,ch-af-apac-eu-row-us/pf120_k050_a030,2035,851.9404698404863,699.999999970344,699.9999999703437,151.9404698701425,208.83257339438484
C06,CH-pf120_k050_a030,ch-af-apac-eu-row-us/pf120_k050_a030,2040,898.0501203554953,732.9999999079852,732.999999907985,165.0501204475102,222.73320953165936
C07,CH-pf120_k050_a040,ch-af-apac-eu-row-us/pf120_k050_a040,2025,1401.4,548.9999999907598,548.9999999907599,852.4000000092402,129.6000000165478
C07,CH-pf120_k050_a040,ch-af-apac-eu-row-us/pf120_k050_a040,2030,805.424094018778,673.9999999981469,673.999999998147,131.4240940206309,159.7572497143941
C07,CH-pf120_k050_a040,ch-af-apac-eu-row-us/pf120_k050_a040,2035,850.0172163465464,699.9999999917718,699.9999999917718,150.01721635477466,202.7000696380781
C07,CH-pf120_k050_a040,ch-af-apac-eu-row-us/pf120_k050_a040,2040,885.8613798901991,732.9999999976236,732.9999999976236,152.86137989257554,190.0755053608849
C08,CH-pf120_k100_a030,ch-af-apac-eu-row-us/pf120_k100_a030,2025,1401.4,548.999999997222,548.999999997222,852.400000002778,171.5999999963304
C08,CH-pf120_k100_a030,ch-af-apac-eu-row-us/pf120_k100_a030,2030,875.5885180530458,673.9999999375444,673.9999999375443,201.5885181155014,193.95146965523534
C08,CH-pf120_k100_a030,ch-af-apac-eu-row-us/pf120_k100_a030,2035,938.9522193010515,699.9999999833997,699.9999999833994,238.95221931765178,255.59999571467833
C08,CH-pf120_k100_a030,ch-af-apac-eu-row-us/pf120_k100_a030,2040,959.4452823409117,732.9999999697355,732.9999999697354,226.4452823711762,229.66416467999775
C09,CH-pf120_k100_a040,ch-af-apac-eu-row-us/pf120_k100_a040,2025,1401.4,548.9999999964268,548.9999999964267,852.4000000035732,156.5999999152025
C09,CH-pf120_k100_a040,ch-af-apac-eu-row-us/pf120_k100_a040,2030,784.9004021429739,673.9999999933094,673.9999999933094,110.90040214966446,158.69800006801944
C09,CH-pf120_k100_a040,ch-af-apac-eu-row-us/pf120_k100_a040,2035,841.2941655463416,699.9999999977667,699.9999999977668,141.29416554857494,171.60785160938048
C09,CH-pf120_k100_a040,ch-af-apac-eu-row-us/pf120_k100_a040,2040,889.9712969355429,732.999999998018,732.999999998018,156.97129693752504,152.1639366871511
C10,AF-pf080_k050_a030,af-eu-us-apac-row-ch/pf080_k050_a030,2025,1401.4,548.9999999671905,548.9999999671904,852.4000000328093,175.00000072204637
C10,AF-pf080_k050_a030,af-eu-us-apac-row-ch/pf080_k050_a030,2030,849.8266319740306,673.9999999984992,673.9999999984991,175.82663197553148,201.60283154638228
C10,AF-pf080_k050_a030,af-eu-us-apac-row-ch/pf080_k050_a030,2035,875.0324867449932,699.9999999983067,699.9999999983067,175.03248674668643,153.0705656155699
C10,AF-pf080_k050_a030,af-eu-us-apac-row-ch/pf080_k050_a030,2040,939.3527648402355,732.9999998856849,732.9999998856849,206.35276495455054,71.09343554358314
C11,AF-pf080_k050_a040,af-eu-us-apac-row-ch/pf080_k050_a040,2025,1401.4,548.9999999971503,548.9999999971504,852.4000000028495,153.00000010042334
C11,AF-pf080_k050_a040,af-eu-us-apac-row-ch/pf080_k050_a040,2030,756.0564978922067,673.9999999127958,673.999999912796,82.05649797941084,133.0207327466096
C11,AF-pf080_k050_a040,af-eu-us-apac-row-ch/pf080_k050_a040,2035,790.086814384201,699.9999999939287,699.9999999939286,90.08681439027232,163.31697264406418
C11,AF-pf080_k050_a040,af-eu-us-apac-row-ch/pf080_k050_a040,2040,821.2035384279981,732.9999999986111,732.9999999986112,88.20353842938692,65.51954134967123
C12,AF-pf100_k050_a030,af-eu-us-apac-row-ch/pf100_k050_a030,2025,1401.4,548.9999999606728,548.9999999606728,852.4000000393273,62.600001469830815
C12,AF-pf100_k050_a030,af-eu-us-apac-row-ch/pf100_k050_a030,2030,767.8540208029524,673.9999999979792,673.9999999979791,93.85402080497317,87.79097822276856
C12,AF-pf100_k050_a030,af-eu-us-apac-row-ch/pf100_k050_a030,2035,809.5112041534892,699.9999999982685,699.9999999982687,109.5112041552206,62.355429376451184
C12,AF-pf100_k050_a030,af-eu-us-apac-row-ch/pf100_k050_a030,2040,832.1695904219257,732.9999999738268,732.9999999738268,99.1695904480988,66.07032933727899
C13,AF-pf100_k050_a040,af-eu-us-apac-row-ch/pf100_k050_a040,2025,1401.4,548.9999999885334,548.9999999885335,852.4000000114665,123.00000053386506
C13,AF-pf100_k050_a040,af-eu-us-apac-row-ch/pf100_k050_a040,2030,736.8326732158949,673.9999999498968,673.9999999498968,62.832673265998096,79.88489333865004
C13,AF-pf100_k050_a040,af-eu-us-apac-row-ch/pf100_k050_a040,2035,814.4048831862831,699.9999999742417,699.9999999742416,114.40488321204136,121.0456444304333
C13,AF-pf100_k050_a040,af-eu-us-apac-row-ch/pf100_k050_a040,2040,821.9717989860577,732.9999999306124,732.9999999306124,88.97179905544532,115.23150397385629
C14,AF-pf100_k100_a030,af-eu-us-apac-row-ch/pf100_k100_a030,2025,1401.4,548.9999999280969,548.9999999280968,852.4000000719032,104.60000603400981
