year,region,mean_capacity_gw,median_capacity_gw,mean_unused_gw,median_unused_gw
2025,af,3.4,3.4,6.495650453733451e-09,3.6826297566960875e-09
2025,apac,110.0,110.0,3.6074083843761833,8.313932653436495e-09
2025,ch,931.0,931.0,539.8963323099853,522.0000047396395
2025,eu,22.0,22.0,3.7777777487256317,2.9840904858247086e-08
2025,row,293.0,293.0,284.8962601495916,292.99999891949
2025,us,42.0,42.0,20.222221421497377,6.024144738603354e-08
2030,af,5.826733535748514,5.874376047847393,1.2972747978726265e-08,6.538488861451697e-09
2030,apac,161.71903450869286,167.94086059560982,2.4480242857051984,3.373736490175361e-08
2030,ch,446.69443539643413,412.6153829498427,54.40765427798933,33.34930256745207
2030,eu,31.361907304679804,33.114434865229356,0.030495397192185938,1.6035848204865033e-08
2030,row,89.8960845159416,99.02313012489432,54.96582441487835,58.85402572841214
2030,us,52.86062505171193,61.37757458921459,2.5068219530276585,2.5713205786814797e-08
2035,af,8.27624162879236,8.358630899878536,1.5919622591369447e-08,5.537774683261887e-09
2035,apac,204.02047269764716,210.2360565202572,14.895846508014639,1.0027233088294452e-07
2035,ch,419.3001730268356,381.73052467258634,61.790737599277044,42.90279202621002
2035,eu,41.90456048270268,44.85107557024253,0.8020085729342681,2.022003542379025e-08
2035,row,87.08922596191938,93.87728427893312,44.923019506070496,45.73525476926716
2035,us,65.79162756181688,69.15179315995076,3.9706891894980934,6.16982607226646e-08
2040,af,10.725736861244481,10.84288757000208,1.8019445688663737e-08,1.2604166599317068e-08
2040,apac,232.2204979822396,239.56017159676122,23.586648619927363,8.997644442843011e-07
2040,ch,417.69081255642624,381.52249988908693,75.16014455996417,50.446511089370176
2040,eu,50.06241405624406,54.76342643666173,4.562233863120363e-08,2.7634165178369585e-08
2040,row,87.1749495909394,94.01194831257962,29.232385394211637,13.400037863217449
2040,us,69.4783630978182,72.36509735574687,6.373595546147126,6.999501067639358e-08
