region,planner_billion_usd,capacity_only_min_billion_usd,capacity_only_median_billion_usd,capacity_only_max_billion_usd,strategic_27_median_billion_usd
ch,3963.756740577289,4110.462701618481,4144.101168522981,4160.788747934744,4047.6633417699995
eu,2117.48848546283,2041.6213629794856,2053.2263377264267,2065.7409050736355,1925.4480943659999
us,812.6441371217962,757.5208894781682,764.3214902930828,774.5294706546349,703.245808833
apac,1080.0541599047074,1070.1984704541992,1070.325918969098,1073.8210010198552,1204.40759305
af,493.68426095110664,482.76342587394794,482.86412551708236,484.8917336077093,464.83232369
row,1647.0732678299223,1584.3802471303334,1590.55273543625,1602.5878482552093,1519.68044058
