scenario,branch,period,total_capacity_gw,demand_weighted_price_usd_per_kw,cross_border_trade_gw
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2025,1401.4,220.3537634963453,216.99999897780097
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2030,764.6489596924446,163.23049427486086,192.34749261406674
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2035,812.8382146595222,144.72588864743238,224.83860936855618
strategic_offers,ch-af-apac-eu-row-us/pf080_k050_a040,2040,839.4337373260856,165.95209795797166,65.67937215143888
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a030,2025,1401.4,209.57827240216636,193.60000005982704
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a030,2030,800.8894259373157,194.1542347754174,173.99138739799398
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a030,2035,876.9333944326473,178.42685216058695,185.00000024384772
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a030,2040,886.3915959183246,124.00499914087435,290.9999999223441
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2025,1401.4,217.106408267084,174.99999860006122
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2030,862.1847394981277,159.15951609847068,195.4080341203892
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2035,767.479045456301,167.5687973442193,176.60000052801158
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2040,792.0625494747798,214.67233861311095,62.72759207003027
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2025,1401.4,233.2516303163182,156.1999990146197
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2030,831.2534733407712,157.8773462289463,141.14978114901874
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2035,818.1949089902376,160.18170496497274,58.33443434959243
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2040,866.003149097694,171.74347673890355,72.22535913877914
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2025,1401.4,223.0480477472463,174.9999999119672
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2030,854.9626723262795,159.4419383852416,299.64101043350263
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2035,915.4526306038961,144.497613774335,236.4661025105108
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a030,2040,932.1578578110993,140.0599399257608,250.8233646584687
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2025,1401.4,248.68641649493748,76.4000000205235
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2030,759.8159577996239,160.13480938444584,88.43094284979986
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2035,790.649596034389,241.8496340769318,72.32510600095236
strategic_offers,ch-af-apac-eu-row-us/pf100_k100_a040,2040,832.9863677061383,197.30189393556006,72.2532024134374
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2025,1401.4,216.17943545540246,171.59999998226508
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2030,835.936380516714,152.450298253996,181.20181629026942
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2035,851.9404698404863,148.5137464986567,208.83257339438487
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2040,898.0501203554953,131.9510774119845,222.73320953165938
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2025,1401.4,220.83563190020064,129.6000000165478
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2030,805.4240940187779,161.57892879833724,159.75724971439408
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2035,850.0172163465464,137.98197090061325,202.7000696380781
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a040,2040,885.8613798901991,142.35744525525246,190.0755053608849
