scenario,branch,period,region,capacity_gw,clearing_price_usd_per_kw
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2025,row,293.0,330.21861105858505
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2030,ch,510.67077042468446,118.0004645941576
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2030,eu,34.737263653118,227.93469835565378
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2030,us,62.16138050014056,211.78116314506016
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2030,apac,114.946695217698,123.64206235755931
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2030,af,5.899999988612017,348.45052917119943
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2030,row,133.76862971387465,232.93671538905423
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2035,ch,360.2158387660277,95.9088331358815
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2035,eu,48.00654130596168,309.1418342682287
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2035,us,87.9404157913378,298.6300820021368
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2035,apac,129.28280621020926,110.01520804149172
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2035,af,8.39999998420365,369.04252356215886
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2035,row,133.633443398561,207.2850609488596
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2040,ch,354.97225680339693,86.65125720299432
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2040,eu,60.95245205623027,479.3122539686869
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2040,us,82.95523401226161,357.3726143765716
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2040,apac,147.65501460565486,99.41154578486878
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2040,af,10.899999979800754,542.9205286613095
strategic_offers,ch-af-apac-eu-row-us/pf080_k100_a040,2040,row,134.62759201743532,314.50042848231817
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2025,ch,931.0,163.32399999936524
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2025,eu,22.0,432.2830678681722
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2025,us,42.0,306.812855649632
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2025,apac,110.0,187.4999999806151
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2025,af,3.4,470.506125613717
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2025,row,293.0,329.5622043352002
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2030,ch,443.3162314828704,107.7909238177376
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2030,eu,35.05928864131752,231.44805808853425
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2030,us,66.15702814807368,217.6804304537107
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2030,apac,173.0316867559445,165.03144166829185
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2030,af,5.895465036778604,306.1296631986603
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2030,row,107.79377327578646,219.84952841139653
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2035,ch,381.73052467258634,95.90883302017825
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2035,eu,48.27463572266241,302.22765410762315
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2035,us,89.3529482050438,249.0648063843107
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2035,apac,183.33635276072778,110.0152079503711
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2035,af,8.39093007357032,316.81511452788226
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2035,row,107.10951755564696,207.28506054978388
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2040,ch,368.95474966507385,86.6512572036969
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2040,eu,61.00185066974589,338.6869828352339
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2040,us,108.6116097358881,279.45236778919536
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2040,apac,209.97493086423552,99.41154578021379
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2040,af,10.886395110362049,351.09032649592615
strategic_offers,ch-af-apac-eu-row-us/pf100_k050_a040,2040,row,106.5736130523885,243.38031885802897
