scenario,region,branches,min,median,max
strategic_offers,ALL,28,9727037.800313506,9864739.902470868,10050774.278182318
strategic_offers,ch,28,3976556.244819898,4053494.481819801,4155089.3535983115
strategic_offers,eu,28,1796835.4960062334,1927673.5509838606,1988182.3978040114
strategic_offers,us,28,657077.2904502861,707848.961874612,748257.9715999133
strategic_offers,apac,28,1097479.5609479672,1208736.3082621759,1268571.015563313
strategic_offers,af,28,426505.6885910075,465089.0751378961,474297.76954151894
strategic_offers,row,28,1505165.1264549235,1523080.9628206335,1683384.6212577887
fixed_cost_offers,ALL,3,10115062.228037164,10119544.160748394,10122271.649702342
fixed_cost_offers,ch,3,4120967.970615697,4154464.8040045793,4171262.2509776074
fixed_cost_offers,eu,3,2042296.6545637436,2053512.7432295675,2066011.5222276493
fixed_cost_offers,us,3,757628.776373175,764585.807141943,774576.5772369785
fixed_cost_offers,apac,3,1072156.2682550773,1072212.9265591756,1075683.0579512366
fixed_cost_offers,af,3,483296.21546748956,483364.6790462304,485401.6127296828
fixed_cost_offers,row,3,1584895.2727039119,1591459.8590709965,1603101.0403331597
