scenario,period,region,metric,branches,min,median,max
strategic_offers,2025,ALL,total_capacity_gw,28,1401.4,1401.4,1401.4
strategic_offers,2025,ALL,demand_weighted_price_usd_per_kw,28,199.26422700955646,222.64509194608786,248.68641649493748
strategic_offers,2025,ALL,cross_border_trade_gw,28,62.60000146983082,151.4999999015127,216.99999897780097
strategic_offers,2025,ch,capacity_gw,28,931.0,931.0,931.0
strategic_offers,2025,ch,clearing_price_usd_per_kw,28,163.3165999949502,163.32399999936177,163.32400000005447
strategic_offers,2025,eu,capacity_gw,28,22.0,22.0,22.0
strategic_offers,2025,eu,clearing_price_usd_per_kw,28,244.56843086174146,328.29461218059754,432.2830678681722
strategic_offers,2025,us,capacity_gw,28,42.0,42.0,42.0
strategic_offers,2025,us,clearing_price_usd_per_kw,28,256.0161952787307,318.3063351846335,459.5048279596384
strategic_offers,2025,apac,capacity_gw,28,110.0,110.0,110.0
strategic_offers,2025,apac,clearing_price_usd_per_kw,28,187.45799966764878,254.42227673252933,347.99677413029974
strategic_offers,2025,af,capacity_gw,28,3.4,3.4,3.4
strategic_offers,2025,af,clearing_price_usd_per_kw,28,269.16518977038567,357.39591094359105,486.80906837048536
strategic_offers,2025,row,capacity_gw,28,293.0,293.0,293.0
strategic_offers,2025,row,clearing_price_usd_per_kw,28,301.5760903120445,338.13419258981344,353.4249999588232
strategic_offers,2030,ALL,total_capacity_gw,28,701.4034389515351,774.0379073902923,875.5885180530458
strategic_offers,2030,ALL,demand_weighted_price_usd_per_kw,28,143.18573885440307,163.78011303413214,223.82984948406235
strategic_offers,2030,ALL,cross_border_trade_gw,28,63.13374313596649,137.08525694781417,299.64101043350263
strategic_offers,2030,ch,capacity_gw,28,355.93522776900977,407.19914643194556,594.3832766786452
strategic_offers,2030,ch,clearing_price_usd_per_kw,28,107.75311682988541,107.79092381224362,118.0004645941576
strategic_offers,2030,eu,capacity_gw,28,17.64552596135377,33.11526049379849,35.13625596610337
strategic_offers,2030,eu,clearing_price_usd_per_kw,28,190.9942148331993,256.81596687664245,537.075575958431
strategic_offers,2030,us,capacity_gw,28,4.207842712352516,61.76947754467757,68.18779123483831
strategic_offers,2030,us,clearing_price_usd_per_kw,28,191.58746474590532,262.90104857558435,462.4682502944869
strategic_offers,2030,apac,capacity_gw,28,112.77816997458937,168.06861489869067,173.34999635590873
strategic_offers,2030,apac,clearing_price_usd_per_kw,28,123.64206235755931,165.845935237549,255.33291430424848
strategic_offers,2030,af,capacity_gw,28,5.588826193081614,5.8777855273952895,5.899999994220499
strategic_offers,2030,af,clearing_price_usd_per_kw,28,199.364280626967,284.67052960492265,565.5522700600433
strategic_offers,2030,row,capacity_gw,28,32.862229950745245,99.92434800172781,139.64509858604254
strategic_offers,2030,row,clearing_price_usd_per_kw,28,211.66094660081816,232.96439511575957,295.05726437741845
strategic_offers,2035,ALL,total_capacity_gw,28,745.3861557797195,817.0549886745033,938.9522193010514
strategic_offers,2035,ALL,demand_weighted_price_usd_per_kw,28,134.38324681683687,154.0074248811508,241.8496340769318
strategic_offers,2035,ALL,cross_border_trade_gw,28,58.33443434959243,144.31116656784275,255.5999957146783
strategic_offers,2035,ch,capacity_gw,28,337.30897897531,381.719420067275,587.9342597907887
strategic_offers,2035,ch,clearing_price_usd_per_kw,28,95.90883300246304,95.908833021861,95.90883461387698
strategic_offers,2035,eu,capacity_gw,28,21.654233789891315,45.028513978782925,48.40553362102463
strategic_offers,2035,eu,clearing_price_usd_per_kw,28,174.93184536322426,243.13745303628914,641.4506068906484
strategic_offers,2035,us,capacity_gw,28,4.781431514044877,72.51722147320027,93.6567724117624
strategic_offers,2035,us,clearing_price_usd_per_kw,28,178.10065392796201,229.74154877150102,353.8253484923834
strategic_offers,2035,apac,capacity_gw,28,120.29259134337275,209.58413266789483,236.68991677022763
strategic_offers,2035,apac,clearing_price_usd_per_kw,28,110.01520792936019,121.5521927614352,190.78704507570862
strategic_offers,2035,af,capacity_gw,28,7.897637340919749,8.364622148895382,8.399999991983213
strategic_offers,2035,af,clearing_price_usd_per_kw,28,185.83852434168728,257.90450590324997,439.90544176478045
strategic_offers,2035,row,capacity_gw,28,22.813066532395116,95.07560628700051,137.64044875409928
strategic_offers,2035,row,clearing_price_usd_per_kw,28,175.87270103165332,207.22800521146843,440.3897851898544
strategic_offers,2040,ALL,total_capacity_gw,28,778.6764216796332,854.9690105270706,973.1675212912089
strategic_offers,2040,ALL,demand_weighted_price_usd_per_kw,28,124.00499914087435,143.15579286157376,216.92879450985927
strategic_offers,2040,ALL,cross_border_trade_gw,28,62.72759207003027,149.37024377472983,290.9999999223441
strategic_offers,2040,ch,capacity_gw,28,335.68340764548026,378.6985937026979,590.2813298341215
strategic_offers,2040,ch,clearing_price_usd_per_kw,28,86.65125720039293,86.65125722107051,86.65125756419116
strategic_offers,2040,eu,capacity_gw,28,27.77705879977069,54.80790760424947,61.4804586802459
strategic_offers,2040,eu,clearing_price_usd_per_kw,28,166.23306487879043,227.1885017099904,570.933794224349
strategic_offers,2040,us,capacity_gw,28,4.781156021374897,75.08878636647675,108.6116097358881
strategic_offers,2040,us,clearing_price_usd_per_kw,28,168.7670251898681,206.90274328123425,382.3116921474647
strategic_offers,2040,apac,capacity_gw,28,134.71851636792252,235.63160657473057,289.3908026030477
strategic_offers,2040,apac,clearing_price_usd_per_kw,28,99.41154578021379,102.67280555417156,159.46702958254858
strategic_offers,2040,af,capacity_gw,28,10.206457173965239,10.851459685288091,10.899999989748704
strategic_offers,2040,af,clearing_price_usd_per_kw,28,166.95449068820275,224.76122477136175,542.9205286613095
strategic_offers,2040,row,capacity_gw,28,21.161182052207764,95.14138490133008,139.16191217486696
strategic_offers,2040,row,clearing_price_usd_per_kw,28,170.58495031911806,187.261719026837,397.6682261739325
fixed_cost_offers,2025,ALL,total_capacity_gw,3,1401.4,1401.4,1401.4
fixed_cost_offers,2025,ALL,demand_weighted_price_usd_per_kw,3,168.97076029101038,168.97076029101038,168.97076029101038
fixed_cost_offers,2025,ALL,cross_border_trade_gw,3,224.99999706643393,224.99999706643393,224.99999706643393
fixed_cost_offers,2025,ch,capacity_gw,3,931.0,931.0,931.0
fixed_cost_offers,2025,ch,clearing_price_usd_per_kw,3,163.32399999663068,163.32399999663068,163.32399999663068
fixed_cost_offers,2025,eu,capacity_gw,3,22.0,22.0,22.0
fixed_cost_offers,2025,eu,clearing_price_usd_per_kw,3,179.19299992086857,179.19299992086857,179.19299992086857
fixed_cost_offers,2025,us,capacity_gw,3,42.0,42.0,42.0
fixed_cost_offers,2025,us,clearing_price_usd_per_kw,3,174.1779998508985,174.1779998508985,174.1779998508985
fixed_cost_offers,2025,apac,capacity_gw,3,110.0,110.0,110.0
fixed_cost_offers,2025,apac,clearing_price_usd_per_kw,3,176.83042144636508,176.83042144636508,176.83042144636508
fixed_cost_offers,2025,af,capacity_gw,3,3.4,3.4,3.4
fixed_cost_offers,2025,af,clearing_price_usd_per_kw,3,173.5099994210265,173.5099994210265,173.5099994210265
fixed_cost_offers,2025,row,capacity_gw,3,293.0,293.0,293.0
fixed_cost_offers,2025,row,clearing_price_usd_per_kw,3,177.64145216297473,177.64145216297473,177.64145216297473
fixed_cost_offers,2030,ALL,total_capacity_gw,3,690.1582364571645,699.903534061498,714.7861421388873
fixed_cost_offers,2030,ALL,demand_weighted_price_usd_per_kw,3,128.83285791186833,128.83449805013134,186.23266283971716
fixed_cost_offers,2030,ALL,cross_border_trade_gw,3,224.12805020919546,233.1107145151284,233.14832983585646
fixed_cost_offers,2030,ch,capacity_gw,3,558.6798611004846,575.2997881317249,576.3539675371185
fixed_cost_offers,2030,ch,clearing_price_usd_per_kw,3,124.01982458624994,124.02185764291724,181.425330054757
fixed_cost_offers,2030,eu,capacity_gw,3,5.581032763720859,6.86184067586068,11.170438681814609
fixed_cost_offers,2030,eu,clearing_price_usd_per_kw,3,139.87103021997424,139.87204670777288,197.25877700387292
fixed_cost_offers,2030,us,capacity_gw,3,0.9901701204243665,1.8278598654555225,5.303929704052663
fixed_cost_offers,2030,us,clearing_price_usd_per_kw,3,134.86782457811748,134.86985762671804,192.27333002875028
fixed_cost_offers,2030,apac,capacity_gw,3,98.8195620091177,99.91492766186701,100.44818470698029
fixed_cost_offers,2030,apac,clearing_price_usd_per_kw,3,123.64206245281491,123.64206250180608,181.02115544470007
fixed_cost_offers,2030,af,capacity_gw,3,5.767113706904878,5.851672135007841,5.889288197515302
fixed_cost_offers,2030,af,clearing_price_usd_per_kw,3,134.1779728121839,134.1799680748624,191.58356257089955
fixed_cost_offers,2030,row,capacity_gw,3,12.228327186245565,12.264778395524672,21.595170077729904
fixed_cost_offers,2030,row,clearing_price_usd_per_kw,3,138.33627688843097,138.33830993792645,195.74178234051587
fixed_cost_offers,2035,ALL,total_capacity_gw,3,716.0255016617712,717.6066912867303,725.1828251355952
fixed_cost_offers,2035,ALL,demand_weighted_price_usd_per_kw,3,166.71706980119586,166.73512550603735,184.6281075942581
