candidate,region,region_label,consumer_surplus_billion_usd_pv,producer_surplus_billion_usd_pv,capacity_cost_billion_usd_pv
ch-af-eu-us-row-apac/pf100_k050_a030,ch,China,3722.087441353903,471.2331287853012,32.531822204460774
ch-af-eu-us-row-apac/pf100_k050_a030,eu,Europe,2043.8448116996508,0.0007518111387512363,2.2242005313040005
ch-af-eu-us-row-apac/pf100_k050_a030,us,United States,759.5571605893203,-3.606160635172273e-07,2.0362707505361732
ch-af-eu-us-row-apac/pf100_k050_a030,apac,Asia-Pacific,1007.4524236715062,71.42270229456686,5.054124946217906
ch-af-eu-us-row-apac/pf100_k050_a030,af,Africa,478.343597408441,6.265596351674996,1.8457678861680848
ch-af-eu-us-row-apac/pf100_k050_a030,row,Rest of World,1594.482102806936,-4.324199089751346e-07,10.10185524418264
ch-row-apac-us-eu-af/pf100_k050_a040,ch,China,3813.1038977650455,329.49763910322673,32.1388352497902
ch-row-apac-us-eu-af/pf100_k050_a040,eu,Europe,2067.238950274148,3.530359923161086e-06,1.4980487308728077
ch-row-apac-us-eu-af/pf100_k050_a040,us,United States,776.4610717763397,-4.144396423271246e-07,1.9316007072651578
ch-row-apac-us-eu-af/pf100_k050_a040,apac,Asia-Pacific,1029.5504430253152,45.85139091612147,5.075914972338798
ch-row-apac-us-eu-af/pf100_k050_a040,af,Africa,481.98494700378143,4.691933887701248,1.7851472837733715
ch-row-apac-us-eu-af/pf100_k050_a040,row,Rest of World,1612.6867069765838,-3.9571168781549205e-07,10.098858325662842
us-apac-af-row-eu-ch/pf100_k050_a040,ch,China,3769.081702449835,406.57938941382514,31.55992334067906
us-apac-af-row-eu-ch/pf100_k050_a040,eu,Europe,2054.135090348431,0.6584030485400483,1.5671556705441088
us-apac-af-row-eu-ch/pf100_k050_a040,us,United States,766.6768531602386,4.804807297205116e-06,2.3553676719630667
us-apac-af-row-eu-ch/pf100_k050_a040,apac,Asia-Pacific,1014.1871727253331,61.27782597416429,5.266528245297994
us-apac-af-row-eu-ch/pf100_k050_a040,af,Africa,478.7825052410532,5.833378053720129,1.7517577776909357
us-apac-af-row-eu-ch/pf100_k050_a040,row,Rest of World,1601.3742851430777,-2.686906991584692e-07,10.821549438137012
