scenario,branch,region,discounted_welfare_musd
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,eu,1969378.1809149126
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,us,699293.7372228904
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,apac,1216584.9970031404
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,af,470468.96468904644
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,row,1517584.7196756378
strategic_offers,ch-af-apac-eu-row-us/pf120_k100_a040,ALL,9974265.58328923
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,ch,4060732.3655634355
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,eu,1970498.2098960595
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,us,705751.3531929797
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,apac,1182236.8304480372
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,af,471879.94414705643
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,row,1517216.3623412969
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a030,ALL,9908315.065588865
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a040,ch,4012852.280603211
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a040,eu,1924429.6915765197
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a040,us,714869.6520032019
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a040,apac,1196895.0220609664
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a040,af,467550.3379047063
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a040,row,1526254.41682826
strategic_offers,af-eu-us-apac-row-ch/pf080_k050_a040,ALL,9842851.400976865
strategic_offers,af-eu-us-apac-row-ch/pf100_k050_a030,ch,3979508.141095976
strategic_offers,af-eu-us-apac-row-ch/pf100_k050_a030,eu,1890848.4481973199
strategic_offers,af-eu-us-apac-row-ch/pf100_k050_a030,us,707441.88003416
strategic_offers,af-eu-us-apac-row-ch/pf100_k050_a030,apac,1208420.2150517972
strategic_offers,af-eu-us-apac-row-ch/pf100_k050_a030,af,457604.61762509326
strategic_offers,af-eu-us-apac-row-ch/pf100_k050_a030,row,1532549.2710380221
strategic_offers,af-eu-us-apac-row-ch/pf100_k050_a030,ALL,9776372.573042369
strategic_offers,af-eu-us-apac-row-ch/pf100_k050_a040,ch,3992301.750938449
strategic_offers,af-eu-us-apac-row-ch/pf100_k050_a040,eu,1919793.9211267396
strategic_offers,af-eu-us-apac-row-ch/pf100_k050_a040,us,711642.9258008816
strategic_offers,af-eu-us-apac-row-ch/pf100_k050_a040,apac,1217947.6941382773
strategic_offers,af-eu-us-apac-row-ch/pf100_k050_a040,af,469538.13657029823
strategic_offers,af-eu-us-apac-row-ch/pf100_k050_a040,row,1511606.4168303537
strategic_offers,af-eu-us-apac-row-ch/pf100_k050_a040,ALL,9822830.845405
strategic_offers,af-eu-us-apac-row-ch/pf100_k100_a030,ch,3978773.628397859
strategic_offers,af-eu-us-apac-row-ch/pf100_k100_a030,eu,1923808.3522467117
strategic_offers,af-eu-us-apac-row-ch/pf100_k100_a030,us,711107.0890398292
strategic_offers,af-eu-us-apac-row-ch/pf100_k100_a030,apac,1244801.5482833479
strategic_offers,af-eu-us-apac-row-ch/pf100_k100_a030,af,458615.8425578457
strategic_offers,af-eu-us-apac-row-ch/pf100_k100_a030,row,1512917.368259852
strategic_offers,af-eu-us-apac-row-ch/pf100_k100_a030,ALL,9830023.828785446
strategic_offers,af-eu-us-apac-row-ch/pf100_k100_a040,ch,4029849.519300468
strategic_offers,af-eu-us-apac-row-ch/pf100_k100_a040,eu,1909688.8667362262
strategic_offers,af-eu-us-apac-row-ch/pf100_k100_a040,us,715625.6794820774
strategic_offers,af-eu-us-apac-row-ch/pf100_k100_a040,apac,1222806.1831557225
strategic_offers,af-eu-us-apac-row-ch/pf100_k100_a040,af,469264.1203287036
strategic_offers,af-eu-us-apac-row-ch/pf100_k100_a040,row,1516131.9559563645
strategic_offers,af-eu-us-apac-row-ch/pf100_k100_a040,ALL,9863366.324959561
strategic_offers,af-eu-us-apac-row-ch/pf120_k050_a030,ch,4082761.875859593
strategic_offers,af-eu-us-apac-row-ch/pf120_k050_a030,eu,1955579.3884531353
strategic_offers,af-eu-us-apac-row-ch/pf120_k050_a030,us,699499.3989768663
strategic_offers,af-eu-us-apac-row-ch/pf120_k050_a030,apac,1227710.9350471057
strategic_offers,af-eu-us-apac-row-ch/pf120_k050_a030,af,464312.3691122992
strategic_offers,af-eu-us-apac-row-ch/pf120_k050_a030,row,1521951.2910953283
strategic_offers,af-eu-us-apac-row-ch/pf120_k050_a030,ALL,9951815.258544328
strategic_offers,af-eu-us-apac-row-ch/pf120_k100_a030,ch,4108766.753915172
strategic_offers,af-eu-us-apac-row-ch/pf120_k100_a030,eu,1954204.2042698748
strategic_offers,af-eu-us-apac-row-ch/pf120_k100_a030,us,698815.9625568439
strategic_offers,af-eu-us-apac-row-ch/pf120_k100_a030,apac,1230398.1316511428
strategic_offers,af-eu-us-apac-row-ch/pf120_k100_a030,af,474297.76954151894
strategic_offers,af-eu-us-apac-row-ch/pf120_k100_a030,row,1523366.5747225455
strategic_offers,af-eu-us-apac-row-ch/pf120_k100_a030,ALL,9989849.396657098
strategic_offers,af-eu-us-apac-row-ch/pf120_k100_a040,ch,4071225.3812288805
strategic_offers,af-eu-us-apac-row-ch/pf120_k100_a040,eu,1928149.923694331
strategic_offers,af-eu-us-apac-row-ch/pf120_k100_a040,us,698784.7249007125
strategic_offers,af-eu-us-apac-row-ch/pf120_k100_a040,apac,1268571.015563313
strategic_offers,af-eu-us-apac-row-ch/pf120_k100_a040,af,464796.08601924183
strategic_offers,af-eu-us-apac-row-ch/pf120_k100_a040,row,1505165.1264549235
strategic_offers,af-eu-us-apac-row-ch/pf120_k100_a040,ALL,9936692.257861402
strategic_offers,eu-us-af-row-apac-ch/pf080_k050_a030,ch,4054703.9620302496
strategic_offers,eu-us-af-row-apac-ch/pf080_k050_a030,eu,1983395.560831788
strategic_offers,eu-us-af-row-apac-ch/pf080_k050_a030,us,697227.3082746845
strategic_offers,eu-us-af-row-apac-ch/pf080_k050_a030,apac,1209052.4014725545
strategic_offers,eu-us-af-row-apac-ch/pf080_k050_a030,af,470049.67457212554
strategic_offers,eu-us-af-row-apac-ch/pf080_k050_a030,row,1518390.4081749122
strategic_offers,eu-us-af-row-apac-ch/pf080_k050_a030,ALL,9932819.315356314
strategic_offers,eu-us-af-row-apac-ch/pf080_k050_a040,ch,4038112.522626947
strategic_offers,eu-us-af-row-apac-ch/pf080_k050_a040,eu,1919072.5782183034
strategic_offers,eu-us-af-row-apac-ch/pf080_k050_a040,us,708811.4940066234
strategic_offers,eu-us-af-row-apac-ch/pf080_k050_a040,apac,1209873.0676240076
strategic_offers,eu-us-af-row-apac-ch/pf080_k050_a040,af,459852.19076897565
strategic_offers,eu-us-af-row-apac-ch/pf080_k050_a040,row,1515587.2675525267
strategic_offers,eu-us-af-row-apac-ch/pf080_k050_a040,ALL,9851309.120797385
strategic_offers,eu-us-af-row-apac-ch/pf100_k050_a030,ch,3985745.7873992478
strategic_offers,eu-us-af-row-apac-ch/pf100_k050_a030,eu,1933327.5226422837
strategic_offers,eu-us-af-row-apac-ch/pf100_k050_a030,us,701712.602609554
strategic_offers,eu-us-af-row-apac-ch/pf100_k050_a030,apac,1161594.1270989205
strategic_offers,eu-us-af-row-apac-ch/pf100_k050_a030,af,463724.8142593075
strategic_offers,eu-us-af-row-apac-ch/pf100_k050_a030,row,1525054.582700231
strategic_offers,eu-us-af-row-apac-ch/pf100_k050_a030,ALL,9771159.436709544
strategic_offers,eu-us-af-row-apac-ch/pf100_k050_a040,ch,4052285.001609353
