candidate,region,region_label,component,change_percent_of_planner_regional_welfare
ch-af-eu-us-row-apac/pf100_k050_a030,ch,China,Consumer surplus,-6.768498151765887
ch-af-eu-us-row-apac/pf100_k050_a030,ch,China,Producer surplus,11.721419617720965
ch-af-eu-us-row-apac/pf100_k050_a030,eu,Europe,Consumer surplus,-3.523333150357
ch-af-eu-us-row-apac/pf100_k050_a030,eu,Europe,Producer surplus,3.5504851332734544e-05
ch-af-eu-us-row-apac/pf100_k050_a030,us,United States,Consumer surplus,-6.758736576520358
ch-af-eu-us-row-apac/pf100_k050_a030,us,United States,Producer surplus,-4.437564329134875e-08
ch-af-eu-us-row-apac/pf100_k050_a030,apac,Asia-Pacific,Consumer surplus,-6.944262407859977
ch-af-eu-us-row-apac/pf100_k050_a030,apac,Asia-Pacific,Producer surplus,6.580247298756518
ch-af-eu-us-row-apac/pf100_k050_a030,af,Africa,Consumer surplus,-3.1332097793950937
ch-af-eu-us-row-apac/pf100_k050_a030,af,Africa,Producer surplus,1.2691505172970314
ch-af-eu-us-row-apac/pf100_k050_a030,row,Rest of World,Consumer surplus,-3.7489173207551323
ch-af-eu-us-row-apac/pf100_k050_a030,row,Rest of World,Producer surplus,-2.625383566238454e-08
ch-row-apac-us-eu-af/pf100_k050_a040,ch,China,Consumer surplus,-4.47228114431435
ch-row-apac-us-eu-af/pf100_k050_a040,ch,China,Producer surplus,8.145632833655306
ch-row-apac-us-eu-af/pf100_k050_a040,eu,Europe,Consumer surplus,-2.4185272099656
ch-row-apac-us-eu-af/pf100_k050_a040,eu,Europe,Producer surplus,1.667239254197467e-07
ch-row-apac-us-eu-af/pf100_k050_a040,us,United States,Consumer surplus,-4.678624210621891
ch-row-apac-us-eu-af/pf100_k050_a040,us,United States,Producer surplus,-5.0998908796041666e-08
ch-row-apac-us-eu-af/pf100_k050_a040,apac,Asia-Pacific,Consumer surplus,-4.898252108176605
ch-row-apac-us-eu-af/pf100_k050_a040,apac,Asia-Pacific,Producer surplus,4.212652012544063
ch-row-apac-us-eu-af/pf100_k050_a040,af,Africa,Consumer surplus,-2.395623049705715
ch-row-apac-us-eu-af/pf100_k050_a040,af,Africa,Producer surplus,0.9503916285809904
ch-row-apac-us-eu-af/pf100_k050_a040,row,Rest of World,Consumer surplus,-2.6436474748281777
ch-row-apac-us-eu-af/pf100_k050_a040,row,Rest of World,Producer surplus,-2.4025141779931643e-08
us-apac-af-row-eu-ch/pf100_k050_a040,ch,China,Consumer surplus,-5.582899131148703
us-apac-af-row-eu-ch/pf100_k050_a040,ch,China,Producer surplus,10.090296831864542
us-apac-af-row-eu-ch/pf100_k050_a040,eu,Europe,Consumer surplus,-3.037366935219313
us-apac-af-row-eu-ch/pf100_k050_a040,eu,Europe,Producer surplus,0.03109358341545541
us-apac-af-row-eu-ch/pf100_k050_a040,us,United States,Consumer surplus,-5.882622143930641
us-apac-af-row-eu-ch/pf100_k050_a040,us,United States,Producer surplus,5.912560095766726e-07
us-apac-af-row-eu-ch/pf100_k050_a040,apac,Asia-Pacific,Consumer surplus,-6.32070580265963
us-apac-af-row-eu-ch/pf100_k050_a040,apac,Asia-Pacific,Producer surplus,5.640954002455743
us-apac-af-row-eu-ch/pf100_k050_a040,af,Africa,Consumer surplus,-3.044305216837922
us-apac-af-row-eu-ch/pf100_k050_a040,af,Africa,Producer surplus,1.1816009776130687
us-apac-af-row-eu-ch/pf100_k050_a040,row,Rest of World,Consumer surplus,-3.33046706290944
us-apac-af-row-eu-ch/pf100_k050_a040,row,Rest of World,Producer surplus,-1.6313220814546933e-08
