candidate,candidate_code,sequence,order,branch,origin,price_factor,capacity_weight,damping,selected_sweep,max_gain_percent,limiting_player,multistart_status,year,total_capacity_gw,total_demand_gw,capacity_demand_ratio,mean_price_usd_per_kw,demand_weighted_price_usd_per_kw,price_dispersion_usd_per_kw,cross_border_trade_gw,cross_border_share,china_capacity_share,apac_capacity_share
ch-af-apac-eu-row-us/pf080_k050_a040,CH-pf080_k050_a040,ch-af-apac-eu-row-us,CH-first,pf080_k050_a040,clean_objective_stage2,0.8,0.5,0.4,12,0.6249764404,apac,one_start_only,2025,1401.4,549,2.552641166,284.5137289,220.3537635,84.12245034,216.999999,0.3952641147,0.6643356643,0.07849293564
ch-af-apac-eu-row-us/pf080_k050_a040,CH-pf080_k050_a040,ch-af-apac-eu-row-us,CH-first,pf080_k050_a040,clean_objective_stage2,0.8,0.5,0.4,12,0.6249764404,apac,one_start_only,2030,764.6489597,674,1.134494005,210.580439,163.2304943,62.73510221,192.3474926,0.2853820365,0.4715227696,0.2257324064
ch-af-apac-eu-row-us/pf080_k050_a040,CH-pf080_k050_a040,ch-af-apac-eu-row-us,CH-first,pf080_k050_a040,clean_objective_stage2,0.8,0.5,0.4,12,0.6249764404,apac,one_start_only,2035,812.8382147,699.9999999,1.16119745,183.4670344,144.7258886,57.9545944,224.8386094,0.3211980134,0.4433121614,0.2210156704
ch-af-apac-eu-row-us/pf080_k050_a040,CH-pf080_k050_a040,ch-af-apac-eu-row-us,CH-first,pf080_k050_a040,clean_objective_stage2,0.8,0.5,0.4,12,0.6249764404,apac,one_start_only,2040,839.4337373,733,1.145202916,220.1434754,165.952098,102.6253794,65.67937215,0.08960350908,0.4288763013,0.2192703773
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,2025,1401.4,549,2.552641166,266.0408496,209.5782724,63.94176411,193.6000001,0.3526411659,0.6643356643,0.07849293564
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,2030,800.8894259,674,1.188263243,268.8272753,194.1542348,109.9138303,173.9913874,0.258147459,0.5482435556,0.1913877821
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,2035,876.9333944,699.9999999,1.252761992,240.3379827,178.4268522,97.67302523,185.0000002,0.2642857147,0.4984123054,0.2224359247
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,clean_objective_stage2,0.8,1,0.3,11,0.9051136202,apac,one_start_only,2040,886.3915959,733,1.209265479,149.3243079,124.0049991,40.46431361,290.9999999,0.3969986356,0.4913652298,0.2571990234
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,2025,1401.4,549,2.552641166,283.1866004,217.1064083,61.4072687,174.9999986,0.3187613818,0.6643356643,0.07849293564
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,2030,862.1847395,674,1.279205845,210.4576055,159.1595161,77.3948958,195.4080341,0.2899228993,0.5922985493,0.1333202618
