year,region,region_label,metric,n,mean,std,min,q1,median,q3,max,iqr,range,cv_percent,range_percent_of_median
2025,ch,China,capacity_gw,27,931,0,931,931,931,931,931,0,0,0,0
2025,af,Africa,capacity_gw,27,3.4,4.525488121e-16,3.4,3.4,3.4,3.4,3.4,0,0,1.331025918e-14,0
2025,eu,EU,capacity_gw,27,22,0,22,22,22,22,22,0,0,0,0
2025,us,US,capacity_gw,27,42,0,42,42,42,42,42,0,0,0,0
2025,apac,APAC,capacity_gw,27,110,0,110,110,110,110,110,0,0,0,0
2025,row,ROW,capacity_gw,27,293,0,293,293,293,293,293,0,0,0,0
2030,ch,China,capacity_gw,27,446.6944354,81.66206414,355.9352278,376.8286221,412.6153829,518.9960487,594.3832767,142.1674267,238.4480489,18.28141514,57.78942297
2030,af,Africa,capacity_gw,27,5.826733536,0.09369034157,5.588826193,5.804999859,5.874376048,5.899980482,5.899999994,0.094980623,0.3111738011,1.607939354,5.297137919
2030,eu,EU,capacity_gw,27,31.3619073,4.916423441,17.64552596,30.83285399,33.11443487,34.59573966,35.13625597,3.762885667,17.49073,15.67641723,52.81905029
2030,us,US,capacity_gw,27,52.86062505,17.74289144,4.207842712,43.74644521,61.37757459,65.28974867,68.18779123,21.54330346,63.97994852,33.56542119,104.2399426
2030,apac,APAC,capacity_gw,27,161.7190345,15.6264176,112.77817,158.5740249,167.9408606,171.2323604,173.3499964,12.65833547,60.57182638,9.662695334,36.067355
2030,row,ROW,capacity_gw,27,89.89608452,34.18646047,32.86222995,62.7832681,99.02313012,116.7101859,139.6450986,53.92691776,106.7828686,38.02886483,107.8362889
2035,ch,China,capacity_gw,27,419.300173,74.71199937,337.308979,364.1265896,381.7305247,462.0748524,587.9342598,97.94826279,250.6252808,17.81826104,65.65502746
2035,af,Africa,capacity_gw,27,8.276241629,0.1584334427,7.897637341,8.224996637,8.3586309,8.39996732,8.399999992,0.174970683,0.5023626511,1.914316302,6.010106883
2035,eu,EU,capacity_gw,27,41.90456048,7.657290575,21.65423379,41.06960243,44.85107557,47.59017906,48.40553362,6.520576622,26.75129983,18.27316761,59.6447231
2035,us,US,capacity_gw,27,65.79162756,24.68530972,4.781431514,46.98334233,69.15179316,85.30325903,93.65677241,38.31991669,88.8753409,37.5204424,128.522106
2035,apac,APAC,capacity_gw,27,204.0204727,28.49166404,120.2925913,193.1740009,210.2360565,222.6845297,236.6899168,29.51052882,116.3973254,13.96510049,55.36506314
2035,row,ROW,capacity_gw,27,87.08922596,35.30245634,22.81306653,61.35721812,93.87728428,116.0727449,137.6404488,54.71552674,114.8273822,40.53596291,122.3164721
2040,ch,China,capacity_gw,27,417.6908126,74.63054496,335.6834076,362.9433879,381.5224999,460.5327532,590.2813298,97.58936535,254.5979222,17.86741358,66.73208586
2040,af,Africa,capacity_gw,27,10.72573686,0.2244172769,10.20645717,10.63749455,10.84288757,10.89996011,10.89999999,0.2624655661,0.6935428158,2.092325029,6.396292605
2040,eu,EU,capacity_gw,27,50.06241406,11.32657748,27.7770588,44.69793561,54.76342644,59.2851128,61.48045868,14.58717719,33.70339988,22.6249127,61.54362879
2040,us,US,capacity_gw,27,69.4783631,27.7837039,4.781156021,48.96756684,72.36509736,89.41358103,108.6116097,40.44601419,103.8304537,39.98900184,143.4813985
2040,apac,APAC,capacity_gw,27,232.220498,39.96695681,134.7185164,209.8881105,239.5601716,261.8429698,289.3908026,51.95485927,154.6722862,17.21077905,64.56510913
2040,row,ROW,capacity_gw,27,87.17494959,35.67207162,21.16118205,61.34882474,94.01194831,115.182966,139.1619122,53.83414131,118.0007301,40.92009435,125.5167372
