candidate,candidate_code,figure_code,order,branch,family,pc1_score,pc2_score
ch-af-apac-eu-row-us/pf080_k050_a040,CH-pf080_k050_a040,C01,CH-first,pf080_k050_a040,Family 3,3.360664504,0.06612525379
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,C02,CH-first,pf080_k100_a030,Family 3,1.67222029,1.684706849
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,C03,CH-first,pf080_k100_a040,Family 2,6.179441058,6.214766951
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,C04,CH-first,pf100_k050_a040,Family 3,3.314480682,-0.358336078
ch-af-apac-eu-row-us/pf100_k100_a030,CH-pf100_k100_a030,C05,CH-first,pf100_k100_a030,Family 4,-7.148160621,2.421465232
ch-af-apac-eu-row-us/pf120_k050_a030,CH-pf120_k050_a030,C06,CH-first,pf120_k050_a030,Family 4,-5.635656576,1.528675078
ch-af-apac-eu-row-us/pf120_k050_a040,CH-pf120_k050_a040,C07,CH-first,pf120_k050_a040,Family 4,-4.392025372,0.4287282936
ch-af-apac-eu-row-us/pf120_k100_a030,CH-pf120_k100_a030,C08,CH-first,pf120_k100_a030,Family 4,-7.011347546,2.666516706
ch-af-apac-eu-row-us/pf120_k100_a040,CH-pf120_k100_a040,C09,CH-first,pf120_k100_a040,Family 4,-2.76499088,-0.4124600145
af-eu-us-apac-row-ch/pf080_k050_a030,AF-pf080_k050_a030,C10,AF-first,pf080_k050_a030,Family 3,-1.300364033,0.4559411396
af-eu-us-apac-row-ch/pf080_k050_a040,AF-pf080_k050_a040,C11,AF-first,pf080_k050_a040,Family 3,1.550780219,-1.200576002
af-eu-us-apac-row-ch/pf100_k050_a030,AF-pf100_k050_a030,C12,AF-first,pf100_k050_a030,Family 3,4.389182749,-0.7789477828
af-eu-us-apac-row-ch/pf100_k050_a040,AF-pf100_k050_a040,C13,AF-first,pf100_k050_a040,Family 3,1.331921118,-2.547074574
af-eu-us-apac-row-ch/pf100_k100_a030,AF-pf100_k100_a030,C14,AF-first,pf100_k100_a030,Family 3,1.243633967,-2.631386278
af-eu-us-apac-row-ch/pf100_k100_a040,AF-pf100_k100_a040,C15,AF-first,pf100_k100_a040,Family 3,1.199301748,-2.377708582
af-eu-us-apac-row-ch/pf120_k050_a030,AF-pf120_k050_a030,C16,AF-first,pf120_k050_a030,Family 4,-2.571905399,-0.439219291
af-eu-us-apac-row-ch/pf120_k100_a030,AF-pf120_k100_a030,C17,AF-first,pf120_k100_a030,Family 4,-4.90707708,1.049527055
af-eu-us-apac-row-ch/pf120_k100_a040,AF-pf120_k100_a040,C18,AF-first,pf120_k100_a040,Family 4,-1.08462012,-2.859600409
eu-us-af-row-apac-ch/pf080_k050_a030,EU-pf080_k050_a030,C19,EU-first,pf080_k050_a030,Family 4,-2.888201257,3.021038809
eu-us-af-row-apac-ch/pf080_k050_a040,EU-pf080_k050_a040,C20,EU-first,pf080_k050_a040,Family 3,2.240057797,-1.165729933
eu-us-af-row-apac-ch/pf100_k050_a030,EU-pf100_k050_a030,C21,EU-first,pf100_k050_a030,Family 3,2.707422546,-0.7813414157
eu-us-af-row-apac-ch/pf100_k050_a040,EU-pf100_k050_a040,C22,EU-first,pf100_k050_a040,Family 3,0.8878867266,-1.632666313
eu-us-af-row-apac-ch/pf100_k100_a030,EU-pf100_k100_a030,C23,EU-first,pf100_k100_a030,Family 3,0.8484188304,-2.182316626
eu-us-af-row-apac-ch/pf100_k100_a040,EU-pf100_k100_a040,C24,EU-first,pf100_k100_a040,Family 3,2.444084788,-2.258733916
eu-us-af-row-apac-ch/pf120_k050_a030,EU-pf120_k050_a030,C25,EU-first,pf120_k050_a030,Family 4,-0.6554582719,-1.554066119
eu-us-af-row-apac-ch/pf120_k050_a040,EU-pf120_k050_a040,C26,EU-first,pf120_k050_a040,Family 1,11.40986953,3.712723741
eu-us-af-row-apac-ch/pf120_k100_a040,EU-pf120_k100_a040,C27,EU-first,pf120_k100_a040,Family 4,-4.419559951,-0.07005154015
