metric,total_capacity_2040_gw,demand_weighted_price_2040_usd_per_kw,capacity_demand_ratio_2040,price_dispersion_2040_usd_per_kw,cross_border_trade_2040_gw,cross_border_share_2040,china_capacity_share_2040,apac_capacity_share_2040,max_gain_percent
total_capacity_2040_gw,1,-0.4896214896,1,-0.7185592186,0.6135531136,0.6135531136,0.7612942613,0.362026862,-0.03174603175
demand_weighted_price_2040_usd_per_kw,-0.4896214896,1,-0.4896214896,0.8565323565,-0.6257631258,-0.6257631258,-0.5525030525,-0.57997558,-0.311965812
capacity_demand_ratio_2040,1,-0.4896214896,1,-0.7185592186,0.6135531136,0.6135531136,0.7612942613,0.362026862,-0.03174603175
price_dispersion_2040_usd_per_kw,-0.7185592186,0.8565323565,-0.7185592186,1,-0.8339438339,-0.8339438339,-0.7783882784,-0.6367521368,-0.2557997558
cross_border_trade_2040_gw,0.6135531136,-0.6257631258,0.6135531136,-0.8339438339,1,1,0.7332112332,0.5042735043,0.2936507937
cross_border_share_2040,0.6135531136,-0.6257631258,0.6135531136,-0.8339438339,1,1,0.7332112332,0.5042735043,0.2936507937
china_capacity_share_2040,0.7612942613,-0.5525030525,0.7612942613,-0.7783882784,0.7332112332,0.7332112332,1,0.3321123321,0.2692307692
apac_capacity_share_2040,0.362026862,-0.57997558,0.362026862,-0.6367521368,0.5042735043,0.5042735043,0.3321123321,1,-0.07692307692
max_gain_percent,-0.03174603175,-0.311965812,-0.03174603175,-0.2557997558,0.2936507937,0.2936507937,0.2692307692,-0.07692307692,1
