year,metric,n,mean,std,min,q1,median,q3,max,iqr,range,cv_percent,range_percent_of_median
2025,total_capacity_gw,27,1401.4,2.317049918e-13,1401.4,1401.4,1401.4,1401.4,1401.4,0,0,1.653382273e-14,0
2030,total_capacity_gw,27,788.3588203,52.72969518,701.403439,751.7073874,778.4700797,833.5949269,875.5885181,81.88753958,174.1850791,6.688540017,22.37530814
2035,total_capacity_gw,27,826.3823014,46.60297927,745.3861558,800.5046475,818.194909,845.6556909,938.9522193,45.15104345,193.5660635,5.639397068,23.65769591
2040,total_capacity_gw,27,867.3527741,48.06751913,778.6764217,830.7515389,857.8710398,891.7329361,973.1675213,60.98139721,194.4910996,5.541864921,22.67136791
2025,mean_price_usd_per_kw,27,293.2091102,22.74554232,240.6453835,277.713147,288.5999938,312.5974684,336.4223105,34.88432136,95.77692707,7.757447342,33.18673912
2030,mean_price_usd_per_kw,27,226.9690398,33.49744947,177.8091844,207.0515198,215.2853256,246.7273556,338.2547281,39.67583581,160.4455438,14.75859858,74.52692991
2035,mean_price_usd_per_kw,27,197.7065799,22.16652809,161.0337319,183.5547936,195.7526335,201.8840266,270.2844716,18.32923293,109.2507397,11.21183124,55.81061044
2040,mean_price_usd_per_kw,27,189.6616391,40.33225862,149.3243079,166.5185042,174.8235193,195.8790854,313.3614381,29.36058118,164.0371302,21.26537491,93.830127
2025,demand_weighted_price_usd_per_kw,27,224.7250916,10.80650786,199.264227,218.6361891,222.2421361,234.2455269,242.0776208,15.60933773,42.81339379,4.808767807,19.26430088
2030,demand_weighted_price_usd_per_kw,27,171.963512,17.9850552,143.1857389,158.1438275,164.3297318,184.9663243,223.8298495,26.82249685,80.64411063,10.45864614,49.07457083
2035,demand_weighted_price_usd_per_kw,27,153.3455007,11.97804047,134.3832468,145.3927329,153.7621774,156.930087,192.0587613,11.53735406,57.67551445,7.81114569,37.50955887
2040,demand_weighted_price_usd_per_kw,27,149.6223311,22.24675876,124.0049991,137.2501647,142.3574453,152.426248,216.9287945,15.17608333,92.92379537,14.86860859,65.27498102
2025,price_dispersion_usd_per_kw,27,70.84122371,15.38755098,52.70179225,59.4160764,69.71369993,77.49995772,113.6356892,18.08388132,60.93389698,21.72118179,87.40591452
2030,price_dispersion_usd_per_kw,27,70.42972995,28.43289403,43.11741651,53.38193826,63.05953356,75.32221837,190.1200369,21.94028011,147.0026204,40.37058505,233.1172023
2035,price_dispersion_usd_per_kw,27,64.52062939,21.61517117,34.52964705,52.66626923,58.24725276,68.60683194,139.4334062,15.94056271,104.9037592,33.50117843,180.1007845
2040,price_dispersion_usd_per_kw,27,68.80007358,39.40414983,37.87310635,44.91454591,54.45388556,78.57322936,196.4192206,33.65868345,158.5461143,57.27341234,291.1566597
2025,capacity_demand_ratio,27,2.552641166,1.053993632e-10,2.552641166,2.552641166,2.552641166,2.552641166,2.552641166,1.455480181e-10,4.117768349e-10,4.129031712e-09,1.613140305e-08
2030,capacity_demand_ratio,27,1.16967184,0.0782339691,1.040657921,1.11529286,1.155000118,1.236787725,1.299092757,0.1214948658,0.2584348356,6.688540017,22.37530815
2035,capacity_demand_ratio,27,1.180546145,0.06657568469,1.064837365,1.143578068,1.16884987,1.208079559,1.341360313,0.06450149055,0.2765229479,5.639397069,23.65769591
2040,capacity_demand_ratio,27,1.183291643,0.06557642445,1.062314354,1.13335817,1.170356125,1.216552437,1.327650097,0.08319426632,0.2653357428,5.54186492,22.67136789
2025,cross_border_trade_gw,27,149.4444438,36.26145723,62.60000147,147.0999908,152.9999979,173.2999993,216.999999,26.20000853,154.3999975,24.26417223,100.9150325
2030,cross_border_trade_gw,27,145.4263955,59.0186402,63.13374314,95.00719026,141.1497811,186.7746545,299.6410104,91.76746419,236.5072673,40.58316925,167.5576578
2035,cross_border_trade_gw,27,148.0769277,54.79252293,58.33443435,126.2978384,145.553496,182.5786535,255.5999957,56.28081513,197.2655614,37.00274161,135.5278759
2040,cross_border_trade_gw,27,143.2232053,67.14294824,62.72759207,70.80044719,152.1639367,192.251431,290.9999999,121.4509838,228.2724079,46.87993689,150.0174173
2025,cross_border_share,27,0.2722121017,0.06605001318,0.1140255036,0.2679416954,0.2786885207,0.3156648439,0.3952641147,0.0477231485,0.2812386111,24.26417223,100.9150325
2030,cross_border_share,27,0.2157661654,0.08756474807,0.09367024204,0.1409602229,0.2094210403,0.2771137306,0.4445712321,0.1361535077,0.3509009901,40.58316924,167.5576578
2035,cross_border_share,27,0.2115384681,0.07827503276,0.08333490621,0.1804254834,0.2079335657,0.2608266479,0.365142851,0.08040116448,0.2818079448,37.00274161,135.5278759
2040,cross_border_share,27,0.1953931859,0.09160020224,0.08557652397,0.0965899689,0.2075906367,0.2622802606,0.3969986356,0.1656902917,0.3114221117,46.87993689,150.0174173
