candidate,region,region_label,component,change_percent_of_planner_regional_welfare
ch-af-apac-eu-row-us/pf080_k050_a040,ch,China,Consumer surplus,0.02817535904
ch-af-apac-eu-row-us/pf080_k050_a040,ch,China,Producer surplus,1.341862292
ch-af-apac-eu-row-us/pf080_k050_a040,eu,Europe,Consumer surplus,-11.01840275
ch-af-apac-eu-row-us/pf080_k050_a040,eu,Europe,Producer surplus,3.044553279
ch-af-apac-eu-row-us/pf080_k050_a040,us,United States,Consumer surplus,-21.73959141
ch-af-apac-eu-row-us/pf080_k050_a040,us,United States,Producer surplus,4.095506935
ch-af-apac-eu-row-us/pf080_k050_a040,apac,Asia-Pacific,Consumer surplus,-0.8105040036
ch-af-apac-eu-row-us/pf080_k050_a040,apac,Asia-Pacific,Producer surplus,12.5500205
ch-af-apac-eu-row-us/pf080_k050_a040,af,Africa,Consumer surplus,-9.936810022
ch-af-apac-eu-row-us/pf080_k050_a040,af,Africa,Producer surplus,4.453802017
ch-af-apac-eu-row-us/pf080_k050_a040,row,Rest of World,Consumer surplus,-8.109407042
ch-af-apac-eu-row-us/pf080_k050_a040,row,Rest of World,Producer surplus,0.953250925
ch-af-apac-eu-row-us/pf080_k100_a030,ch,China,Consumer surplus,0.02968723961
ch-af-apac-eu-row-us/pf080_k100_a030,ch,China,Producer surplus,1.212428087
ch-af-apac-eu-row-us/pf080_k100_a030,eu,Europe,Consumer surplus,-11.76230049
ch-af-apac-eu-row-us/pf080_k100_a030,eu,Europe,Producer surplus,1.910593384
ch-af-apac-eu-row-us/pf080_k100_a030,us,United States,Consumer surplus,-20.39496147
ch-af-apac-eu-row-us/pf080_k100_a030,us,United States,Producer surplus,8.109298091
ch-af-apac-eu-row-us/pf080_k100_a030,apac,Asia-Pacific,Consumer surplus,-0.9185331617
ch-af-apac-eu-row-us/pf080_k100_a030,apac,Asia-Pacific,Producer surplus,8.739572151
ch-af-apac-eu-row-us/pf080_k100_a030,af,Africa,Consumer surplus,-10.03819494
ch-af-apac-eu-row-us/pf080_k100_a030,af,Africa,Producer surplus,4.14736849
ch-af-apac-eu-row-us/pf080_k100_a030,row,Rest of World,Consumer surplus,-10.59336427
ch-af-apac-eu-row-us/pf080_k100_a030,row,Rest of World,Producer surplus,5.223921721
ch-af-apac-eu-row-us/pf080_k100_a040,ch,China,Consumer surplus,-0.3800841875
ch-af-apac-eu-row-us/pf080_k100_a040,ch,China,Producer surplus,3.927620192
ch-af-apac-eu-row-us/pf080_k100_a040,eu,Europe,Consumer surplus,-13.90968366
ch-af-apac-eu-row-us/pf080_k100_a040,eu,Europe,Producer surplus,4.487233998
ch-af-apac-eu-row-us/pf080_k100_a040,us,United States,Consumer surplus,-22.36692524
ch-af-apac-eu-row-us/pf080_k100_a040,us,United States,Producer surplus,13.26119744
ch-af-apac-eu-row-us/pf080_k100_a040,apac,Asia-Pacific,Consumer surplus,-2.169784611
ch-af-apac-eu-row-us/pf080_k100_a040,apac,Asia-Pacific,Producer surplus,4.011923675
ch-af-apac-eu-row-us/pf080_k100_a040,af,Africa,Consumer surplus,-18.55538321
ch-af-apac-eu-row-us/pf080_k100_a040,af,Africa,Producer surplus,7.23107311
ch-af-apac-eu-row-us/pf080_k100_a040,row,Rest of World,Consumer surplus,-10.36717703
ch-af-apac-eu-row-us/pf080_k100_a040,row,Rest of World,Producer surplus,6.283962024
ch-af-apac-eu-row-us/pf100_k050_a040,ch,China,Consumer surplus,0.02817541535
ch-af-apac-eu-row-us/pf100_k050_a040,ch,China,Producer surplus,3.088568592
ch-af-apac-eu-row-us/pf100_k050_a040,eu,Europe,Consumer surplus,-14.12570536
ch-af-apac-eu-row-us/pf100_k050_a040,eu,Europe,Producer surplus,4.225892411
ch-af-apac-eu-row-us/pf100_k050_a040,us,United States,Consumer surplus,-18.4466492
ch-af-apac-eu-row-us/pf100_k050_a040,us,United States,Producer surplus,12.2056017
ch-af-apac-eu-row-us/pf100_k050_a040,apac,Asia-Pacific,Consumer surplus,-1.698365304
ch-af-apac-eu-row-us/pf100_k050_a040,apac,Asia-Pacific,Producer surplus,4.982622268
ch-af-apac-eu-row-us/pf100_k050_a040,af,Africa,Consumer surplus,-14.23333603
ch-af-apac-eu-row-us/pf100_k050_a040,af,Africa,Producer surplus,5.567971412
ch-af-apac-eu-row-us/pf100_k050_a040,row,Rest of World,Consumer surplus,-8.678626209
ch-af-apac-eu-row-us/pf100_k050_a040,row,Rest of World,Producer surplus,1.979015219
ch-af-apac-eu-row-us/pf100_k100_a030,ch,China,Consumer surplus,0.02817541679
ch-af-apac-eu-row-us/pf100_k100_a030,ch,China,Producer surplus,4.124249779
ch-af-apac-eu-row-us/pf100_k100_a030,eu,Europe,Consumer surplus,-7.485911034
ch-af-apac-eu-row-us/pf100_k100_a030,eu,Europe,Producer surplus,0.5183658517
ch-af-apac-eu-row-us/pf100_k100_a030,us,United States,Consumer surplus,-12.26136511
ch-af-apac-eu-row-us/pf100_k100_a030,us,United States,Producer surplus,0.127447761
ch-af-apac-eu-row-us/pf100_k100_a030,apac,Asia-Pacific,Consumer surplus,-10.3043749
ch-af-apac-eu-row-us/pf100_k100_a030,apac,Asia-Pacific,Producer surplus,23.14840202
ch-af-apac-eu-row-us/pf100_k100_a030,af,Africa,Consumer surplus,-6.974305499
ch-af-apac-eu-row-us/pf100_k100_a030,af,Africa,Producer surplus,2.778931228
ch-af-apac-eu-row-us/pf100_k100_a030,row,Rest of World,Consumer surplus,-7.41600439
ch-af-apac-eu-row-us/pf100_k100_a030,row,Rest of World,Producer surplus,0.004345256363
ch-af-apac-eu-row-us/pf120_k050_a030,ch,China,Consumer surplus,0.02817541463
ch-af-apac-eu-row-us/pf120_k050_a030,ch,China,Producer surplus,4.114400791
ch-af-apac-eu-row-us/pf120_k050_a030,eu,Europe,Consumer surplus,-7.258568266
ch-af-apac-eu-row-us/pf120_k050_a030,eu,Europe,Producer surplus,0.5347864984
