candidate,region,region_label,component,change_percent_of_planner_regional_welfare
ch-af-apac-eu-row-us/pf120_k050_a030,us,United States,Consumer surplus,-13.45188272
ch-af-apac-eu-row-us/pf120_k050_a030,us,United States,Producer surplus,0.8583814943
ch-af-apac-eu-row-us/pf120_k050_a030,apac,Asia-Pacific,Consumer surplus,-5.153773009
ch-af-apac-eu-row-us/pf120_k050_a030,apac,Asia-Pacific,Producer surplus,17.80139795
ch-af-apac-eu-row-us/pf120_k050_a030,af,Africa,Consumer surplus,-7.007316953
ch-af-apac-eu-row-us/pf120_k050_a030,af,Africa,Producer surplus,2.844687829
ch-af-apac-eu-row-us/pf120_k050_a030,row,Rest of World,Consumer surplus,-7.4075133
ch-af-apac-eu-row-us/pf120_k050_a030,row,Rest of World,Producer surplus,-7.750948535e-09
ch-af-apac-eu-row-us/pf120_k050_a040,ch,China,Consumer surplus,0.02817541731
ch-af-apac-eu-row-us/pf120_k050_a040,ch,China,Producer surplus,3.112654453
ch-af-apac-eu-row-us/pf120_k050_a040,eu,Europe,Consumer surplus,-6.724779941
ch-af-apac-eu-row-us/pf120_k050_a040,eu,Europe,Producer surplus,0.5909641633
ch-af-apac-eu-row-us/pf120_k050_a040,us,United States,Consumer surplus,-17.14609709
ch-af-apac-eu-row-us/pf120_k050_a040,us,United States,Producer surplus,3.662864837
ch-af-apac-eu-row-us/pf120_k050_a040,apac,Asia-Pacific,Consumer surplus,-7.148452409
ch-af-apac-eu-row-us/pf120_k050_a040,apac,Asia-Pacific,Producer surplus,18.09583035
ch-af-apac-eu-row-us/pf120_k050_a040,af,Africa,Consumer surplus,-8.152386494
ch-af-apac-eu-row-us/pf120_k050_a040,af,Africa,Producer surplus,3.134838096
ch-af-apac-eu-row-us/pf120_k050_a040,row,Rest of World,Consumer surplus,-6.97214678
ch-af-apac-eu-row-us/pf120_k050_a040,row,Rest of World,Producer surplus,-6.25904633e-10
ch-af-apac-eu-row-us/pf120_k100_a030,ch,China,Consumer surplus,0.02817541447
ch-af-apac-eu-row-us/pf120_k100_a030,ch,China,Producer surplus,4.465902032
ch-af-apac-eu-row-us/pf120_k100_a030,eu,Europe,Consumer surplus,-6.226115135
ch-af-apac-eu-row-us/pf120_k100_a030,eu,Europe,Producer surplus,0.2299725663
ch-af-apac-eu-row-us/pf120_k100_a030,us,United States,Consumer surplus,-13.15397737
ch-af-apac-eu-row-us/pf120_k100_a030,us,United States,Producer surplus,0.4453524995
ch-af-apac-eu-row-us/pf120_k100_a030,apac,Asia-Pacific,Consumer surplus,-5.966854696
ch-af-apac-eu-row-us/pf120_k100_a030,apac,Asia-Pacific,Producer surplus,17.51279994
ch-af-apac-eu-row-us/pf120_k100_a030,af,Africa,Consumer surplus,-6.888879112
ch-af-apac-eu-row-us/pf120_k100_a030,af,Africa,Producer surplus,2.675668028
ch-af-apac-eu-row-us/pf120_k100_a030,row,Rest of World,Consumer surplus,-6.856666197
ch-af-apac-eu-row-us/pf120_k100_a030,row,Rest of World,Producer surplus,-3.77502937e-08
ch-af-apac-eu-row-us/pf120_k100_a040,ch,China,Consumer surplus,0.02817541695
ch-af-apac-eu-row-us/pf120_k100_a040,ch,China,Producer surplus,3.047511633
ch-af-apac-eu-row-us/pf120_k100_a040,eu,Europe,Consumer surplus,-7.549454383
ch-af-apac-eu-row-us/pf120_k100_a040,eu,Europe,Producer surplus,0.8264926041
ch-af-apac-eu-row-us/pf120_k100_a040,us,United States,Consumer surplus,-15.35034985
ch-af-apac-eu-row-us/pf120_k100_a040,us,United States,Producer surplus,1.651873207
ch-af-apac-eu-row-us/pf120_k100_a040,apac,Asia-Pacific,Consumer surplus,-6.28182275
ch-af-apac-eu-row-us/pf120_k100_a040,apac,Asia-Pacific,Producer surplus,19.88308113
ch-af-apac-eu-row-us/pf120_k100_a040,af,Africa,Consumer surplus,-7.29939421
ch-af-apac-eu-row-us/pf120_k100_a040,af,Africa,Producer surplus,2.847022023
ch-af-apac-eu-row-us/pf120_k100_a040,row,Rest of World,Consumer surplus,-7.993807572
ch-af-apac-eu-row-us/pf120_k100_a040,row,Rest of World,Producer surplus,0.2974379709
af-eu-us-apac-row-ch/pf080_k050_a030,ch,China,Consumer surplus,0.02817541538
af-eu-us-apac-row-ch/pf080_k050_a030,ch,China,Producer surplus,2.048919041
af-eu-us-apac-row-ch/pf080_k050_a030,eu,Europe,Consumer surplus,-7.691363381
af-eu-us-apac-row-ch/pf080_k050_a030,eu,Europe,Producer surplus,1.053403337
af-eu-us-apac-row-ch/pf080_k050_a030,us,United States,Consumer surplus,-15.92515273
af-eu-us-apac-row-ch/pf080_k050_a030,us,United States,Producer surplus,3.659721287
af-eu-us-apac-row-ch/pf080_k050_a030,apac,Asia-Pacific,Consumer surplus,-4.919707622
af-eu-us-apac-row-ch/pf080_k050_a030,apac,Asia-Pacific,Producer surplus,15.0521805
af-eu-us-apac-row-ch/pf080_k050_a030,af,Africa,Consumer surplus,-7.17788706
af-eu-us-apac-row-ch/pf080_k050_a030,af,Africa,Producer surplus,2.996217875
af-eu-us-apac-row-ch/pf080_k050_a030,row,Rest of World,Consumer surplus,-7.710116423
af-eu-us-apac-row-ch/pf080_k050_a030,row,Rest of World,Producer surplus,0.04426924795
af-eu-us-apac-row-ch/pf080_k050_a040,ch,China,Consumer surplus,0.02817536017
af-eu-us-apac-row-ch/pf080_k050_a040,ch,China,Producer surplus,0.7923734699
af-eu-us-apac-row-ch/pf080_k050_a040,eu,Europe,Consumer surplus,-10.70866868
af-eu-us-apac-row-ch/pf080_k050_a040,eu,Europe,Producer surplus,1.958764302
af-eu-us-apac-row-ch/pf080_k050_a040,us,United States,Consumer surplus,-14.46424049
af-eu-us-apac-row-ch/pf080_k050_a040,us,United States,Producer surplus,3.826298245
af-eu-us-apac-row-ch/pf080_k050_a040,apac,Asia-Pacific,Consumer surplus,-1.306354674
af-eu-us-apac-row-ch/pf080_k050_a040,apac,Asia-Pacific,Producer surplus,12.80270468
af-eu-us-apac-row-ch/pf080_k050_a040,af,Africa,Consumer surplus,-9.12843188
af-eu-us-apac-row-ch/pf080_k050_a040,af,Africa,Producer surplus,4.083611497
af-eu-us-apac-row-ch/pf080_k050_a040,row,Rest of World,Consumer surplus,-7.649094534
af-eu-us-apac-row-ch/pf080_k050_a040,row,Rest of World,Producer surplus,0.5519502688
af-eu-us-apac-row-ch/pf100_k050_a030,ch,China,Consumer surplus,0.0281754148
af-eu-us-apac-row-ch/pf100_k050_a030,ch,China,Producer surplus,-0.04948760044
af-eu-us-apac-row-ch/pf100_k050_a030,eu,Europe,Consumer surplus,-14.78362696
af-eu-us-apac-row-ch/pf100_k050_a030,eu,Europe,Producer surplus,4.442724393
af-eu-us-apac-row-ch/pf100_k050_a030,us,United States,Consumer surplus,-19.05274746
af-eu-us-apac-row-ch/pf100_k050_a030,us,United States,Producer surplus,7.473085897
af-eu-us-apac-row-ch/pf100_k050_a030,apac,Asia-Pacific,Consumer surplus,-5.136847238
af-eu-us-apac-row-ch/pf100_k050_a030,apac,Asia-Pacific,Producer surplus,17.55934712
af-eu-us-apac-row-ch/pf100_k050_a030,af,Africa,Consumer surplus,-12.14239476
af-eu-us-apac-row-ch/pf100_k050_a030,af,Africa,Producer surplus,5.08246192
af-eu-us-apac-row-ch/pf100_k050_a030,row,Rest of World,Consumer surplus,-10.18468447
af-eu-us-apac-row-ch/pf100_k050_a030,row,Rest of World,Producer surplus,3.525478157
af-eu-us-apac-row-ch/pf100_k050_a040,ch,China,Consumer surplus,0.02817540531
af-eu-us-apac-row-ch/pf100_k050_a040,ch,China,Producer surplus,0.280871318
af-eu-us-apac-row-ch/pf100_k050_a040,eu,Europe,Consumer surplus,-11.60678507
af-eu-us-apac-row-ch/pf100_k050_a040,eu,Europe,Producer surplus,2.601208242
af-eu-us-apac-row-ch/pf100_k050_a040,us,United States,Consumer surplus,-20.31388086
af-eu-us-apac-row-ch/pf100_k050_a040,us,United States,Producer surplus,9.259567337
af-eu-us-apac-row-ch/pf100_k050_a040,apac,Asia-Pacific,Consumer surplus,-10.69984387
af-eu-us-apac-row-ch/pf100_k050_a040,apac,Asia-Pacific,Producer surplus,24.11335006
af-eu-us-apac-row-ch/pf100_k050_a040,af,Africa,Consumer surplus,-8.539935526
af-eu-us-apac-row-ch/pf100_k050_a040,af,Africa,Producer surplus,3.882868394
af-eu-us-apac-row-ch/pf100_k050_a040,row,Rest of World,Consumer surplus,-8.129498349
af-eu-us-apac-row-ch/pf100_k050_a040,row,Rest of World,Producer surplus,0.1155749341
af-eu-us-apac-row-ch/pf100_k100_a030,ch,China,Consumer surplus,0.02817540484
af-eu-us-apac-row-ch/pf100_k100_a030,ch,China,Producer surplus,-0.06582670937
af-eu-us-apac-row-ch/pf100_k100_a030,eu,Europe,Consumer surplus,-11.35435119
af-eu-us-apac-row-ch/pf100_k100_a030,eu,Europe,Producer surplus,2.552357188
af-eu-us-apac-row-ch/pf100_k100_a030,us,United States,Consumer surplus,-17.40822494
af-eu-us-apac-row-ch/pf100_k100_a030,us,United States,Producer surplus,6.453263609
af-eu-us-apac-row-ch/pf100_k100_a030,apac,Asia-Pacific,Consumer surplus,-4.98137956
af-eu-us-apac-row-ch/pf100_k100_a030,apac,Asia-Pacific,Producer surplus,21.09098704
af-eu-us-apac-row-ch/pf100_k100_a030,af,Africa,Consumer surplus,-11.26049289
af-eu-us-apac-row-ch/pf100_k100_a030,af,Africa,Producer surplus,4.40417418
af-eu-us-apac-row-ch/pf100_k100_a030,row,Rest of World,Consumer surplus,-8.006782815
af-eu-us-apac-row-ch/pf100_k100_a030,row,Rest of World,Producer surplus,0.001472841772
af-eu-us-apac-row-ch/pf100_k100_a040,ch,China,Consumer surplus,0.02817541008
af-eu-us-apac-row-ch/pf100_k100_a040,ch,China,Producer surplus,1.234804603
af-eu-us-apac-row-ch/pf100_k100_a040,eu,Europe,Consumer surplus,-12.30412794
af-eu-us-apac-row-ch/pf100_k100_a040,eu,Europe,Producer surplus,2.843617812
af-eu-us-apac-row-ch/pf100_k100_a040,us,United States,Consumer surplus,-18.95811446
af-eu-us-apac-row-ch/pf100_k100_a040,us,United States,Producer surplus,8.308520375
af-eu-us-apac-row-ch/pf100_k100_a040,apac,Asia-Pacific,Consumer surplus,-5.469576799
af-eu-us-apac-row-ch/pf100_k100_a040,apac,Asia-Pacific,Producer surplus,19.47009378
af-eu-us-apac-row-ch/pf100_k100_a040,af,Africa,Consumer surplus,-8.555678311
af-eu-us-apac-row-ch/pf100_k100_a040,af,Africa,Producer surplus,3.855298101
af-eu-us-apac-row-ch/pf100_k100_a040,row,Rest of World,Consumer surplus,-8.472976985
af-eu-us-apac-row-ch/pf100_k100_a040,row,Rest of World,Producer surplus,0.6880531004
af-eu-us-apac-row-ch/pf120_k050_a030,ch,China,Consumer surplus,0.02817541446
af-eu-us-apac-row-ch/pf120_k050_a030,ch,China,Producer surplus,2.609048939
af-eu-us-apac-row-ch/pf120_k050_a030,eu,Europe,Consumer surplus,-8.714865079
af-eu-us-apac-row-ch/pf120_k050_a030,eu,Europe,Producer surplus,1.380472903
af-eu-us-apac-row-ch/pf120_k050_a030,us,United States,Consumer surplus,-16.98037456
af-eu-us-apac-row-ch/pf120_k050_a030,us,United States,Producer surplus,3.943217659
af-eu-us-apac-row-ch/pf120_k050_a030,apac,Asia-Pacific,Consumer surplus,-7.475329782
af-eu-us-apac-row-ch/pf120_k050_a030,apac,Asia-Pacific,Producer surplus,22.02423631
af-eu-us-apac-row-ch/pf120_k050_a030,af,Africa,Consumer surplus,-9.296292257
af-eu-us-apac-row-ch/pf120_k050_a030,af,Africa,Producer surplus,3.587745432
af-eu-us-apac-row-ch/pf120_k050_a030,row,Rest of World,Consumer surplus,-7.504151186
af-eu-us-apac-row-ch/pf120_k050_a030,row,Rest of World,Producer surplus,7.940812104e-05
af-eu-us-apac-row-ch/pf120_k100_a030,ch,China,Consumer surplus,0.02817541528
af-eu-us-apac-row-ch/pf120_k100_a030,ch,China,Producer surplus,3.28845211
af-eu-us-apac-row-ch/pf120_k100_a030,eu,Europe,Consumer surplus,-8.518807532
af-eu-us-apac-row-ch/pf120_k100_a030,eu,Europe,Producer surplus,0.9788753264
af-eu-us-apac-row-ch/pf120_k100_a030,us,United States,Consumer surplus,-15.48854719
af-eu-us-apac-row-ch/pf120_k100_a030,us,United States,Producer surplus,1.701991194
af-eu-us-apac-row-ch/pf120_k100_a030,apac,Asia-Pacific,Consumer surplus,-8.827099096
af-eu-us-apac-row-ch/pf120_k100_a030,apac,Asia-Pacific,Producer surplus,23.69318811
af-eu-us-apac-row-ch/pf120_k100_a030,af,Africa,Consumer surplus,-6.700737735
af-eu-us-apac-row-ch/pf120_k100_a030,af,Africa,Producer surplus,3.023921873
af-eu-us-apac-row-ch/pf120_k100_a030,row,Rest of World,Consumer surplus,-7.38347996
af-eu-us-apac-row-ch/pf120_k100_a030,row,Rest of World,Producer surplus,0.0007587552607
af-eu-us-apac-row-ch/pf120_k100_a040,ch,China,Consumer surplus,0.02817540959
af-eu-us-apac-row-ch/pf120_k100_a040,ch,China,Producer surplus,2.279400774
af-eu-us-apac-row-ch/pf120_k100_a040,eu,Europe,Consumer surplus,-10.6548611
af-eu-us-apac-row-ch/pf120_k100_a040,eu,Europe,Producer surplus,1.982981654
af-eu-us-apac-row-ch/pf120_k100_a040,us,United States,Consumer surplus,-18.53528869
af-eu-us-apac-row-ch/pf120_k100_a040,us,United States,Producer surplus,5.408738978
af-eu-us-apac-row-ch/pf120_k100_a040,apac,Asia-Pacific,Consumer surplus,-8.123170148
af-eu-us-apac-row-ch/pf120_k100_a040,apac,Asia-Pacific,Producer surplus,26.55193572
af-eu-us-apac-row-ch/pf120_k100_a040,af,Africa,Consumer surplus,-9.242358085
af-eu-us-apac-row-ch/pf120_k100_a040,af,Africa,Producer surplus,3.640894372
af-eu-us-apac-row-ch/pf120_k100_a040,row,Rest of World,Consumer surplus,-9.161595036
af-eu-us-apac-row-ch/pf120_k100_a040,row,Rest of World,Producer surplus,0.6249834184
eu-us-af-row-apac-ch/pf080_k050_a030,ch,China,Consumer surplus,0.02817541424
eu-us-af-row-apac-ch/pf080_k050_a030,ch,China,Producer surplus,1.901033134
eu-us-af-row-apac-ch/pf080_k050_a030,eu,Europe,Consumer surplus,-7.26623683
eu-us-af-row-apac-ch/pf080_k050_a030,eu,Europe,Producer surplus,1.150298194
eu-us-af-row-apac-ch/pf080_k050_a030,us,United States,Consumer surplus,-14.53493269
eu-us-af-row-apac-ch/pf080_k050_a030,us,United States,Producer surplus,0.9559670406
eu-us-af-row-apac-ch/pf080_k050_a030,apac,Asia-Pacific,Consumer surplus,-6.448436475
eu-us-af-row-apac-ch/pf080_k050_a030,apac,Asia-Pacific,Producer surplus,19.11611621
eu-us-af-row-apac-ch/pf080_k050_a030,af,Africa,Consumer surplus,-7.533929821
eu-us-af-row-apac-ch/pf080_k050_a030,af,Africa,Producer surplus,2.975050874
eu-us-af-row-apac-ch/pf080_k050_a030,row,Rest of World,Consumer surplus,-7.625952044
eu-us-af-row-apac-ch/pf080_k050_a030,row,Rest of World,Producer surplus,0.1058736683
eu-us-af-row-apac-ch/pf080_k050_a040,ch,China,Consumer surplus,0.02847784354
eu-us-af-row-apac-ch/pf080_k050_a040,ch,China,Producer surplus,1.442306221
eu-us-af-row-apac-ch/pf080_k050_a040,eu,Europe,Consumer surplus,-10.84013904
eu-us-af-row-apac-ch/pf080_k050_a040,eu,Europe,Producer surplus,1.751402263
eu-us-af-row-apac-ch/pf080_k050_a040,us,United States,Consumer surplus,-22.43008723
eu-us-af-row-apac-ch/pf080_k050_a040,us,United States,Producer surplus,10.79328361
eu-us-af-row-apac-ch/pf080_k050_a040,apac,Asia-Pacific,Consumer surplus,-4.081927416
eu-us-af-row-apac-ch/pf080_k050_a040,apac,Asia-Pacific,Producer surplus,16.77052259
eu-us-af-row-apac-ch/pf080_k050_a040,af,Africa,Consumer surplus,-11.15152822
eu-us-af-row-apac-ch/pf080_k050_a040,af,Africa,Producer surplus,4.542823857
eu-us-af-row-apac-ch/pf080_k050_a040,row,Rest of World,Consumer surplus,-8.95529956
eu-us-af-row-apac-ch/pf080_k050_a040,row,Rest of World,Producer surplus,1.200457419
eu-us-af-row-apac-ch/pf100_k050_a030,ch,China,Consumer surplus,0.02817540023
eu-us-af-row-apac-ch/pf100_k050_a030,ch,China,Producer surplus,0.11275273
eu-us-af-row-apac-ch/pf100_k050_a030,eu,Europe,Consumer surplus,-10.58599217
eu-us-af-row-apac-ch/pf100_k050_a030,eu,Europe,Producer surplus,2.201042323
eu-us-af-row-apac-ch/pf100_k050_a030,us,United States,Consumer surplus,-20.5727833
eu-us-af-row-apac-ch/pf100_k050_a030,us,United States,Producer surplus,8.204070277
eu-us-af-row-apac-ch/pf100_k050_a030,apac,Asia-Pacific,Consumer surplus,-2.267743564
eu-us-af-row-apac-ch/pf100_k050_a030,apac,Asia-Pacific,Producer surplus,10.45324488
eu-us-af-row-apac-ch/pf100_k050_a030,af,Africa,Consumer surplus,-9.635232889
eu-us-af-row-apac-ch/pf100_k050_a030,af,Africa,Producer surplus,3.811594744
eu-us-af-row-apac-ch/pf100_k050_a030,row,Rest of World,Consumer surplus,-9.608200131
eu-us-af-row-apac-ch/pf100_k050_a030,row,Rest of World,Producer surplus,2.487559378
eu-us-af-row-apac-ch/pf100_k050_a040,ch,China,Consumer surplus,0.02817541201
eu-us-af-row-apac-ch/pf100_k050_a040,ch,China,Producer surplus,1.794825372
eu-us-af-row-apac-ch/pf100_k050_a040,eu,Europe,Consumer surplus,-11.17741775
eu-us-af-row-apac-ch/pf100_k050_a040,eu,Europe,Producer surplus,2.521468015
eu-us-af-row-apac-ch/pf100_k050_a040,us,United States,Consumer surplus,-18.23182372
eu-us-af-row-apac-ch/pf100_k050_a040,us,United States,Producer surplus,7.11762607
eu-us-af-row-apac-ch/pf100_k050_a040,apac,Asia-Pacific,Consumer surplus,-7.896815782
eu-us-af-row-apac-ch/pf100_k050_a040,apac,Asia-Pacific,Producer surplus,20.51684525
eu-us-af-row-apac-ch/pf100_k050_a040,af,Africa,Consumer surplus,-8.817832402
eu-us-af-row-apac-ch/pf100_k050_a040,af,Africa,Producer surplus,3.923608128
eu-us-af-row-apac-ch/pf100_k050_a040,row,Rest of World,Consumer surplus,-7.764659853
eu-us-af-row-apac-ch/pf100_k050_a040,row,Rest of World,Producer surplus,0.3419511734
eu-us-af-row-apac-ch/pf100_k100_a030,ch,China,Consumer surplus,0.02817541294
eu-us-af-row-apac-ch/pf100_k100_a030,ch,China,Producer surplus,1.096182149
eu-us-af-row-apac-ch/pf100_k100_a030,eu,Europe,Consumer surplus,-11.2258044
eu-us-af-row-apac-ch/pf100_k100_a030,eu,Europe,Producer surplus,2.160339247
eu-us-af-row-apac-ch/pf100_k100_a030,us,United States,Consumer surplus,-20.52298597
eu-us-af-row-apac-ch/pf100_k100_a030,us,United States,Producer surplus,7.582849507
eu-us-af-row-apac-ch/pf100_k100_a030,apac,Asia-Pacific,Consumer surplus,-7.57364483
eu-us-af-row-apac-ch/pf100_k100_a030,apac,Asia-Pacific,Producer surplus,23.24764597
eu-us-af-row-apac-ch/pf100_k100_a030,af,Africa,Consumer surplus,-9.548194655
eu-us-af-row-apac-ch/pf100_k100_a030,af,Africa,Producer surplus,3.763564529
eu-us-af-row-apac-ch/pf100_k100_a030,row,Rest of World,Consumer surplus,-8.120899913
eu-us-af-row-apac-ch/pf100_k100_a030,row,Rest of World,Producer surplus,0.1713427692
eu-us-af-row-apac-ch/pf100_k100_a040,ch,China,Consumer surplus,0.02817534844
eu-us-af-row-apac-ch/pf100_k100_a040,ch,China,Producer surplus,1.650210702
eu-us-af-row-apac-ch/pf100_k100_a040,eu,Europe,Consumer surplus,-12.58321716
eu-us-af-row-apac-ch/pf100_k100_a040,eu,Europe,Producer surplus,3.305522495
eu-us-af-row-apac-ch/pf100_k100_a040,us,United States,Consumer surplus,-20.50383218
eu-us-af-row-apac-ch/pf100_k100_a040,us,United States,Producer surplus,9.984017008
eu-us-af-row-apac-ch/pf100_k100_a040,apac,Asia-Pacific,Consumer surplus,-6.398638225
eu-us-af-row-apac-ch/pf100_k100_a040,apac,Asia-Pacific,Producer surplus,17.97994978
eu-us-af-row-apac-ch/pf100_k100_a040,af,Africa,Consumer surplus,-10.00166354
eu-us-af-row-apac-ch/pf100_k100_a040,af,Africa,Producer surplus,4.268466145
eu-us-af-row-apac-ch/pf100_k100_a040,row,Rest of World,Consumer surplus,-8.940451152
eu-us-af-row-apac-ch/pf100_k100_a040,row,Rest of World,Producer surplus,1.501216654
eu-us-af-row-apac-ch/pf120_k050_a030,ch,China,Consumer surplus,0.0281754126
eu-us-af-row-apac-ch/pf120_k050_a030,ch,China,Producer surplus,2.030780123
eu-us-af-row-apac-ch/pf120_k050_a030,eu,Europe,Consumer surplus,-8.131262145
eu-us-af-row-apac-ch/pf120_k050_a030,eu,Europe,Producer surplus,1.132298568
eu-us-af-row-apac-ch/pf120_k050_a030,us,United States,Consumer surplus,-16.40395282
eu-us-af-row-apac-ch/pf120_k050_a030,us,United States,Producer surplus,3.47779522
eu-us-af-row-apac-ch/pf120_k050_a030,apac,Asia-Pacific,Consumer surplus,-7.00734579
eu-us-af-row-apac-ch/pf120_k050_a030,apac,Asia-Pacific,Producer surplus,20.25289884
eu-us-af-row-apac-ch/pf120_k050_a030,af,Africa,Consumer surplus,-9.82618647
eu-us-af-row-apac-ch/pf120_k050_a030,af,Africa,Producer surplus,3.781886596
eu-us-af-row-apac-ch/pf120_k050_a030,row,Rest of World,Consumer surplus,-8.733598755
eu-us-af-row-apac-ch/pf120_k050_a030,row,Rest of World,Producer surplus,0.7366126835
eu-us-af-row-apac-ch/pf120_k050_a040,ch,China,Consumer surplus,0.0281753928
