year,region,region_label,metric,n,mean,std,min,q1,median,q3,max,iqr,range,cv_percent,range_percent_of_median
2025,ch,China,price_usd_per_kw,27,163.3237259,0.001424131363,163.3166,163.324,163.324,163.324,163.324,2.150528644e-09,0.007400005104,0.000871968451,0.004530874277
2025,af,Africa,price_usd_per_kw,27,354.3528457,52.0705914,269.1651898,317.9684754,357.2671875,371.4536974,486.8090684,53.48522195,217.6438786,14.69455997,60.91907856
2025,eu,EU,price_usd_per_kw,27,325.5726209,44.41278572,244.5684309,289.3394216,318.3266496,360.7944574,432.2830679,71.4550358,187.714637,13.64143754,58.96918692
2025,us,US,price_usd_per_kw,27,326.6489922,43.7657159,256.0161953,295.3686165,317.9923608,352.5434145,459.504828,57.174798,203.4886327,13.39839306,63.99167332
2025,apac,APAC,price_usd_per_kw,27,255.0933906,44.27396909,187.4579997,229.595219,256.2059669,278.2322857,347.9967741,48.63706677,160.5387745,17.3559844,62.66004512
2025,row,ROW,price_usd_per_kw,27,334.2630859,18.02970098,301.5760903,321.5749197,330.2186111,352.1407674,353.425,30.56584771,51.84890965,5.393865412,15.70138929
2030,ch,China,price_usd_per_kw,27,108.1676548,1.96512031,107.7531168,107.7909238,107.7909238,107.7909239,118.0004646,8.084039393e-08,10.24734776,1.816735616,9.506688877
2030,af,Africa,price_usd_per_kw,27,294.0919504,69.73781217,199.3642806,248.2071595,283.4940944,315.0008283,565.5522701,66.79366877,366.1879894,23.7129279,129.16953
2030,eu,EU,price_usd_per_kw,27,274.7584175,72.35208548,190.9942148,228.6053719,261.6210509,315.6631147,537.075576,87.05774282,346.0813611,26.33298231,132.2834535
2030,us,US,price_usd_per_kw,27,274.6709194,59.58558872,191.5874647,229.3373661,262.9969682,300.9442782,462.4682503,71.60691206,270.8807855,21.69344641,102.9976837
2030,apac,APAC,price_usd_per_kw,27,175.7868329,40.62597842,123.6420624,142.4384879,165.0314417,210.1391564,255.3329143,67.70066852,131.6908519,23.11093371,79.7974317
2030,row,ROW,price_usd_per_kw,27,234.3384635,18.44088843,211.6609466,225.3552472,232.9639583,232.9837307,295.0572644,7.628483488,83.39631778,7.869339142,35.79794848
2035,ch,China,price_usd_per_kw,27,95.90883311,3.111959924e-07,95.908833,95.90883301,95.90883302,95.90883307,95.90883461,5.744344378e-08,1.611413936e-06,3.244706272e-07,1.680151749e-06
2035,af,Africa,price_usd_per_kw,27,268.5388797,47.1902488,185.8385243,241.4713478,257.7995376,279.7621769,415.5366034,38.29082916,229.6980791,17.57296704,89.09949227
2035,eu,EU,price_usd_per_kw,27,247.8130602,51.44817048,174.9318454,212.5850037,242.4267459,260.3713148,439.1357758,47.78631102,264.2039304,20.76087937,108.9829959
2035,us,US,price_usd_per_kw,27,231.8799431,41.71090716,178.1006539,204.0766512,228.2403969,245.3782841,353.8253485,41.30163298,175.7246946,17.98814792,76.99105723
2035,apac,APAC,price_usd_per_kw,27,134.7413524,26.22093117,110.0152079,110.0152081,123.5239246,160.0754212,190.7870451,50.06021311,80.77183715,19.46019593,65.38962992
2035,row,ROW,price_usd_per_kw,27,207.3574108,19.57232728,175.872701,204.4938553,207.2255664,207.2850605,297.7389419,2.791205206,121.8662409,9.438933099,58.80849693
2040,ch,China,price_usd_per_kw,27,86.65125727,9.164500867e-08,86.6512572,86.65125721,86.65125722,86.6512573,86.65125756,9.685082603e-08,3.637982218e-07,1.057630455e-07,4.198418274e-07
2040,af,Africa,price_usd_per_kw,27,250.1033546,93.02158532,166.9544907,195.1689584,224.698886,258.5754347,542.9205287,63.40647633,375.966038,37.19325776,167.3199386
2040,eu,EU,price_usd_per_kw,27,256.8098689,94.26208633,166.2330649,197.9688254,222.3841292,274.952208,570.9337942,76.98338255,404.7007293,36.70500933,181.9827389
2040,us,US,price_usd_per_kw,27,211.9597597,43.89521839,168.7670252,176.3283827,202.7992771,224.8614001,357.3726144,48.53301747,188.6055892,20.70922257,93.00111511
2040,apac,APAC,price_usd_per_kw,27,118.3692044,22.32225028,99.41154578,99.4115458,105.9340644,136.9046446,159.4670296,37.49309882,60.0554838,18.85815689,56.69138075
2040,row,ROW,price_usd_per_kw,27,214.0763898,51.93429649,170.5849503,186.8551508,187.261719,230.476057,397.6682262,43.6209061,227.0832759,24.25970306,121.2651882
