candidate,region,region_label,component,delta_billion_usd_pv,delta_percent_of_planner_regional_welfare
ch-af-apac-eu-row-us/pf080_k100_a040,apac,Asia-Pacific,Consumer surplus,-23.43484895,-2.169784611
ch-af-apac-eu-row-us/pf080_k100_a040,apac,Asia-Pacific,Producer surplus less capacity costs,38.00631489,3.518926763
ch-af-apac-eu-row-us/pf080_k100_a040,af,Africa,Consumer surplus,-91.60500649,-18.55538321
ch-af-apac-eu-row-us/pf080_k100_a040,af,Africa,Producer surplus less capacity costs,33.91388025,6.869548604
ch-af-apac-eu-row-us/pf080_k100_a040,row,Rest of World,Consumer surplus,-170.7550015,-10.36717703
ch-af-apac-eu-row-us/pf080_k100_a040,row,Rest of World,Producer surplus less capacity costs,93.04448558,5.64907994
ch-af-apac-eu-row-us/pf100_k050_a040,ch,China,Consumer surplus,1.116804925,0.02817541535
ch-af-apac-eu-row-us/pf100_k050_a040,ch,China,Producer surplus less capacity costs,131.6573138,3.321528602
ch-af-apac-eu-row-us/pf100_k050_a040,eu,Europe,Consumer surplus,-299.1101845,-14.12570536
ch-af-apac-eu-row-us/pf100_k050_a040,eu,Europe,Producer surplus less capacity costs,78.17078932,3.691674824
ch-af-apac-eu-row-us/pf100_k050_a040,us,United States,Consumer surplus,-149.9056133,-18.4466492
ch-af-apac-eu-row-us/pf100_k050_a040,us,United States,Producer surplus less capacity costs,79.16016971,9.741062059
ch-af-apac-eu-row-us/pf100_k050_a040,apac,Asia-Pacific,Consumer surplus,-18.34326511,-1.698365304
ch-af-apac-eu-row-us/pf100_k050_a040,apac,Asia-Pacific,Producer surplus less capacity costs,42.86672836,3.96894248
ch-af-apac-eu-row-us/pf100_k050_a040,af,Africa,Consumer surplus,-70.2677398,-14.23333603
ch-af-apac-eu-row-us/pf100_k050_a040,af,Africa,Producer surplus less capacity costs,25.7060506,5.206982
ch-af-apac-eu-row-us/pf100_k050_a040,row,Rest of World,Consumer surplus,-142.9433323,-8.678626209
ch-af-apac-eu-row-us/pf100_k050_a040,row,Rest of World,Producer surplus less capacity costs,24.32442387,1.476827069
ch-af-apac-eu-row-us/pf100_k100_a030,ch,China,Consumer surplus,1.116804982,0.02817541679
ch-af-apac-eu-row-us/pf100_k100_a030,ch,China,Producer surplus less capacity costs,167.1315763,4.216494282
ch-af-apac-eu-row-us/pf100_k100_a030,eu,Europe,Consumer surplus,-158.5133042,-7.485911034
ch-af-apac-eu-row-us/pf100_k100_a030,eu,Europe,Producer surplus less capacity costs,6.73161459,0.3179056054
ch-af-apac-eu-row-us/pf100_k100_a030,us,United States,Consumer surplus,-99.6412647,-12.26136511
ch-af-apac-eu-row-us/pf100_k100_a030,us,United States,Producer surplus less capacity costs,0.4510152152,0.05549971933
ch-af-apac-eu-row-us/pf100_k100_a030,apac,Asia-Pacific,Consumer surplus,-111.2928298,-10.3043749
ch-af-apac-eu-row-us/pf100_k100_a030,apac,Asia-Pacific,Producer surplus less capacity costs,235.3063215,21.78652981
ch-af-apac-eu-row-us/pf100_k100_a030,af,Africa,Consumer surplus,-34.43104856,-6.974305499
ch-af-apac-eu-row-us/pf100_k100_a030,af,Africa,Producer surplus less capacity costs,11.93435651,2.417406722
ch-af-apac-eu-row-us/pf100_k100_a030,row,Rest of World,Consumer surplus,-122.1470258,-7.41600439
ch-af-apac-eu-row-us/pf100_k100_a030,row,Rest of World,Producer surplus less capacity costs,-4.769162547,-0.2895537582
ch-af-apac-eu-row-us/pf120_k050_a030,ch,China,Consumer surplus,1.116804897,0.02817541463
ch-af-apac-eu-row-us/pf120_k050_a030,ch,China,Producer surplus less capacity costs,167.8953034,4.23576204
ch-af-apac-eu-row-us/pf120_k050_a030,eu,Europe,Consumer surplus,-153.6993472,-7.258568266
ch-af-apac-eu-row-us/pf120_k050_a030,eu,Europe,Producer surplus less capacity costs,7.332255845,0.3462713444
ch-af-apac-eu-row-us/pf120_k050_a030,us,United States,Consumer surplus,-109.3159363,-13.45188272
ch-af-apac-eu-row-us/pf120_k050_a030,us,United States,Producer surplus less capacity costs,3.701766799,0.4555212583
ch-af-apac-eu-row-us/pf120_k050_a030,apac,Asia-Pacific,Consumer surplus,-55.66353978,-5.153773009
ch-af-apac-eu-row-us/pf120_k050_a030,apac,Asia-Pacific,Producer surplus less capacity costs,178.0512681,16.48540182
ch-af-apac-eu-row-us/pf120_k050_a030,af,Africa,Consumer surplus,-34.59402091,-7.007316953
ch-af-apac-eu-row-us/pf120_k050_a030,af,Africa,Producer surplus less capacity costs,12.38251627,2.508185342
ch-af-apac-eu-row-us/pf120_k050_a030,row,Rest of World,Consumer surplus,-122.0071714,-7.4075133
ch-af-apac-eu-row-us/pf120_k050_a030,row,Rest of World,Producer surplus less capacity costs,-3.595266736,-0.2182821376
ch-af-apac-eu-row-us/pf120_k050_a040,ch,China,Consumer surplus,1.116805003,0.02817541731
ch-af-apac-eu-row-us/pf120_k050_a040,ch,China,Producer surplus less capacity costs,129.2116872,3.259828887
ch-af-apac-eu-row-us/pf120_k050_a040,eu,Europe,Consumer surplus,-142.3964409,-6.724779941
ch-af-apac-eu-row-us/pf120_k050_a040,eu,Europe,Producer surplus less capacity costs,7.462622827,0.352428024
ch-af-apac-eu-row-us/pf120_k050_a040,us,United States,Consumer surplus,-139.3367528,-17.14609709
ch-af-apac-eu-row-us/pf120_k050_a040,us,United States,Producer surplus less capacity costs,21.18494785,2.606915731
ch-af-apac-eu-row-us/pf120_k050_a040,apac,Asia-Pacific,Consumer surplus,-77.20715761,-7.148452409
ch-af-apac-eu-row-us/pf120_k050_a040,apac,Asia-Pacific,Producer surplus less capacity costs,182.2674303,16.87576763
ch-af-apac-eu-row-us/pf120_k050_a040,af,Africa,Consumer surplus,-40.24704901,-8.152386494
ch-af-apac-eu-row-us/pf120_k050_a040,af,Africa,Producer surplus less capacity costs,13.78666741,2.792608251
ch-af-apac-eu-row-us/pf120_k050_a040,row,Rest of World,Consumer surplus,-114.8363658,-6.97214678
ch-af-apac-eu-row-us/pf120_k050_a040,row,Rest of World,Producer surplus less capacity costs,-2.772072281,-0.1683029125
ch-af-apac-eu-row-us/pf120_k100_a030,ch,China,Consumer surplus,1.11680489,0.02817541447
ch-af-apac-eu-row-us/pf120_k100_a030,ch,China,Producer surplus less capacity costs,180.2851702,4.548340929
ch-af-apac-eu-row-us/pf120_k100_a030,eu,Europe,Consumer surplus,-131.8372711,-6.226115135
ch-af-apac-eu-row-us/pf120_k100_a030,eu,Europe,Producer surplus less capacity costs,0.855128192,0.04038407754
ch-af-apac-eu-row-us/pf120_k100_a030,us,United States,Consumer surplus,-106.8950259,-13.15397737
ch-af-apac-eu-row-us/pf120_k100_a030,us,United States,Producer surplus less capacity costs,1.213081277,0.1492758295
ch-af-apac-eu-row-us/pf120_k100_a030,apac,Asia-Pacific,Consumer surplus,-64.44526236,-5.966854696
ch-af-apac-eu-row-us/pf120_k100_a030,apac,Asia-Pacific,Producer surplus less capacity costs,175.3085288,16.23145721
ch-af-apac-eu-row-us/pf120_k100_a030,af,Africa,Consumer surplus,-34.00931193,-6.888879112
ch-af-apac-eu-row-us/pf120_k100_a030,af,Africa,Producer surplus less capacity costs,11.42456234,2.314143522
ch-af-apac-eu-row-us/pf120_k100_a030,row,Rest of World,Consumer surplus,-112.934316,-6.856666197
ch-af-apac-eu-row-us/pf120_k100_a030,row,Rest of World,Producer surplus less capacity costs,-4.845590474,-0.2941939845
ch-af-apac-eu-row-us/pf120_k100_a040,ch,China,Consumer surplus,1.116804989,0.02817541695
ch-af-apac-eu-row-us/pf120_k100_a040,ch,China,Producer surplus less capacity costs,128.771671,3.248727896
ch-af-apac-eu-row-us/pf120_k100_a040,eu,Europe,Consumer surplus,-159.8588273,-7.549454383
ch-af-apac-eu-row-us/pf120_k100_a040,eu,Europe,Producer surplus less capacity costs,8.946920426,0.422525104
ch-af-apac-eu-row-us/pf120_k100_a040,us,United States,Consumer surplus,-124.7437181,-15.35034985
ch-af-apac-eu-row-us/pf120_k100_a040,us,United States,Producer surplus less capacity costs,8.962193931,1.102843609
ch-af-apac-eu-row-us/pf120_k100_a040,apac,Asia-Pacific,Consumer surplus,-67.84708792,-6.28182275
ch-af-apac-eu-row-us/pf120_k100_a040,apac,Asia-Pacific,Producer surplus less capacity costs,198.9907028,18.42414113
ch-af-apac-eu-row-us/pf120_k100_a040,af,Africa,Consumer surplus,-36.03596036,-7.29939421
ch-af-apac-eu-row-us/pf120_k100_a040,af,Africa,Producer surplus less capacity costs,12.27051005,2.485497517
ch-af-apac-eu-row-us/pf120_k100_a040,row,Rest of World,Consumer surplus,-131.6638676,-7.993807572
ch-af-apac-eu-row-us/pf120_k100_a040,row,Rest of World,Producer surplus less capacity costs,-1.086786019,-0.06598285822
af-eu-us-apac-row-ch/pf080_k050_a030,ch,China,Consumer surplus,1.116804926,0.02817541538
af-eu-us-apac-row-ch/pf080_k050_a030,ch,China,Producer surplus less capacity costs,87.90301637,2.2176693
af-eu-us-apac-row-ch/pf080_k050_a030,eu,Europe,Consumer surplus,-162.863734,-7.691363381
af-eu-us-apac-row-ch/pf080_k050_a030,eu,Europe,Producer surplus less capacity costs,12.71121812,0.600296918
af-eu-us-apac-row-ch/pf080_k050_a030,us,United States,Consumer surplus,-129.41482,-15.92515273
af-eu-us-apac-row-ch/pf080_k050_a030,us,United States,Producer surplus less capacity costs,18.5889537,2.28746543
af-eu-us-apac-row-ch/pf080_k050_a030,apac,Asia-Pacific,Consumer surplus,-53.13550683,-4.919707622
af-eu-us-apac-row-ch/pf080_k050_a030,apac,Asia-Pacific,Producer surplus less capacity costs,150.8142873,13.96358562
af-eu-us-apac-row-ch/pf080_k050_a030,af,Africa,Consumer surplus,-35.43609868,-7.17788706
af-eu-us-apac-row-ch/pf080_k050_a030,af,Africa,Producer surplus less capacity costs,13.10613312,2.654760168
af-eu-us-apac-row-ch/pf080_k050_a030,row,Rest of World,Consumer surplus,-126.9912665,-7.710116423
af-eu-us-apac-row-ch/pf080_k050_a030,row,Rest of World,Producer surplus less capacity costs,-7.17244085,-0.4354658041
af-eu-us-apac-row-ch/pf080_k050_a040,ch,China,Consumer surplus,1.116802738,0.02817536017
af-eu-us-apac-row-ch/pf080_k050_a040,ch,China,Producer surplus less capacity costs,42.22526179,1.065283885
af-eu-us-apac-row-ch/pf080_k050_a040,eu,Europe,Consumer surplus,-226.7548263,-10.70866868
af-eu-us-apac-row-ch/pf080_k050_a040,eu,Europe,Producer surplus less capacity costs,30.07554061,1.42034022
af-eu-us-apac-row-ch/pf080_k050_a040,us,United States,Consumer surplus,-117.5428023,-14.46424049
af-eu-us-apac-row-ch/pf080_k050_a040,us,United States,Producer surplus less capacity costs,14.54898749,1.79032701
af-eu-us-apac-row-ch/pf080_k050_a040,apac,Asia-Pacific,Consumer surplus,-14.109338,-1.306354674
af-eu-us-apac-row-ch/pf080_k050_a040,apac,Asia-Pacific,Producer surplus less capacity costs,126.9985587,11.75853614
af-eu-us-apac-row-ch/pf080_k050_a040,af,Africa,Consumer surplus,-45.06563146,-9.12843188
af-eu-us-apac-row-ch/pf080_k050_a040,af,Africa,Producer surplus less capacity costs,18.38357446,3.723751377
af-eu-us-apac-row-ch/pf080_k050_a040,row,Rest of World,Consumer surplus,-125.9861913,-7.649094534
af-eu-us-apac-row-ch/pf080_k050_a040,row,Rest of World,Producer surplus less capacity costs,0.7389647676,0.04486532458
af-eu-us-apac-row-ch/pf100_k050_a030,ch,China,Consumer surplus,1.116804903,0.0281754148
af-eu-us-apac-row-ch/pf100_k050_a030,ch,China,Producer surplus less capacity costs,8.785824446,0.2216539768
af-eu-us-apac-row-ch/pf100_k050_a030,eu,Europe,Consumer surplus,-313.0415986,-14.78362696
af-eu-us-apac-row-ch/pf100_k050_a030,eu,Europe,Producer surplus less capacity costs,82.81372563,3.910941013
af-eu-us-apac-row-ch/pf100_k050_a030,us,United States,Consumer surplus,-154.8310352,-19.05274746
af-eu-us-apac-row-ch/pf100_k050_a030,us,United States,Producer surplus less capacity costs,44.43428881,5.467865548
af-eu-us-apac-row-ch/pf100_k050_a030,apac,Asia-Pacific,Consumer surplus,-55.48073228,-5.136847238
af-eu-us-apac-row-ch/pf100_k050_a030,apac,Asia-Pacific,Producer surplus less capacity costs,180.2412368,16.68816653
af-eu-us-apac-row-ch/pf100_k050_a030,af,Africa,Consumer surplus,-59.94509183,-12.14239476
af-eu-us-apac-row-ch/pf100_k050_a030,af,Africa,Producer surplus less capacity costs,23.31817923,4.723298083
af-eu-us-apac-row-ch/pf100_k050_a030,row,Rest of World,Consumer surplus,-167.7492154,-10.18468447
af-eu-us-apac-row-ch/pf100_k050_a030,row,Rest of World,Producer surplus less capacity costs,47.44850044,2.880776549
af-eu-us-apac-row-ch/pf100_k050_a040,ch,China,Consumer surplus,1.116804527,0.02817540531
af-eu-us-apac-row-ch/pf100_k050_a040,ch,China,Producer surplus less capacity costs,21.26719627,0.5365414091
af-eu-us-apac-row-ch/pf100_k050_a040,eu,Europe,Consumer surplus,-245.7723375,-11.60678507
af-eu-us-apac-row-ch/pf100_k050_a040,eu,Europe,Producer surplus less capacity costs,44.71869756,2.111874415
af-eu-us-apac-row-ch/pf100_k050_a040,us,United States,Consumer surplus,-165.0795619,-20.31388086
af-eu-us-apac-row-ch/pf100_k050_a040,us,United States,Producer surplus less capacity costs,58.76824838,7.231732279
af-eu-us-apac-row-ch/pf100_k050_a040,apac,Asia-Pacific,Consumer surplus,-115.5641088,-10.69984387
af-eu-us-apac-row-ch/pf100_k050_a040,apac,Asia-Pacific,Producer surplus less capacity costs,249.6052669,23.11043985
af-eu-us-apac-row-ch/pf100_k050_a040,af,Africa,Consumer surplus,-42.16031759,-8.539935526
af-eu-us-apac-row-ch/pf100_k050_a040,af,Africa,Producer surplus less capacity costs,17.48998059,3.54274624
af-eu-us-apac-row-ch/pf100_k050_a040,row,Rest of World,Consumer surplus,-133.8987941,-8.129498349
af-eu-us-apac-row-ch/pf100_k050_a040,row,Rest of World,Producer surplus less capacity costs,-5.716079116,-0.3470446171
af-eu-us-apac-row-ch/pf100_k100_a030,ch,China,Consumer surplus,1.116804509,0.02817540484
af-eu-us-apac-row-ch/pf100_k100_a030,ch,China,Producer surplus less capacity costs,8.104597219,0.2044675733
af-eu-us-apac-row-ch/pf100_k100_a030,eu,Europe,Consumer surplus,-240.4270791,-11.35435119
af-eu-us-apac-row-ch/pf100_k100_a030,eu,Europe,Producer surplus less capacity costs,43.29599466,2.044686191
af-eu-us-apac-row-ch/pf100_k100_a030,us,United States,Consumer surplus,-141.4669193,-17.40822494
af-eu-us-apac-row-ch/pf100_k100_a030,us,United States,Producer surplus less capacity costs,33.92125099,4.174182701
af-eu-us-apac-row-ch/pf100_k100_a030,apac,Asia-Pacific,Consumer surplus,-53.80159716,-4.98137956
af-eu-us-apac-row-ch/pf100_k100_a030,apac,Asia-Pacific,Producer surplus less capacity costs,213.5314541,19.77043949
af-eu-us-apac-row-ch/pf100_k100_a030,af,Africa,Consumer surplus,-55.59128113,-11.26049289
af-eu-us-apac-row-ch/pf100_k100_a030,af,Africa,Producer surplus less capacity costs,19.97737176,4.046588748
af-eu-us-apac-row-ch/pf100_k100_a030,row,Rest of World,Consumer surplus,-131.8775794,-8.006782815
af-eu-us-apac-row-ch/pf100_k100_a030,row,Rest of World,Producer surplus less capacity costs,-4.480573879,-0.272032457
af-eu-us-apac-row-ch/pf100_k100_a040,ch,China,Consumer surplus,1.116804716,0.02817541008
af-eu-us-apac-row-ch/pf100_k100_a040,ch,China,Producer surplus less capacity costs,58.69097901,1.48069074
af-eu-us-apac-row-ch/pf100_k100_a040,eu,Europe,Consumer surplus,-260.5384923,-12.30412794
af-eu-us-apac-row-ch/pf100_k100_a040,eu,Europe,Producer surplus less capacity costs,49.22650896,2.324759227
af-eu-us-apac-row-ch/pf100_k100_a040,us,United States,Consumer surplus,-154.0620057,-18.95811446
af-eu-us-apac-row-ch/pf100_k100_a040,us,United States,Producer surplus less capacity costs,52.09878459,6.411020791
af-eu-us-apac-row-ch/pf100_k100_a040,apac,Asia-Pacific,Consumer surplus,-59.07439174,-5.469576799
af-eu-us-apac-row-ch/pf100_k100_a040,apac,Asia-Pacific,Producer surplus less capacity costs,197.2763864,18.2654161
af-eu-us-apac-row-ch/pf100_k100_a040,af,Africa,Consumer surplus,-42.23803724,-8.555678311
af-eu-us-apac-row-ch/pf100_k100_a040,af,Africa,Producer surplus less capacity costs,17.273906,3.49897847
af-eu-us-apac-row-ch/pf100_k100_a040,row,Rest of World,Consumer surplus,-139.5561389,-8.472976985
af-eu-us-apac-row-ch/pf100_k100_a040,row,Rest of World,Producer surplus less capacity costs,5.673626335,0.3444671494
af-eu-us-apac-row-ch/pf120_k050_a030,ch,China,Consumer surplus,1.11680489,0.02817541446
af-eu-us-apac-row-ch/pf120_k050_a030,ch,China,Producer surplus less capacity costs,110.3568485,2.784147862
af-eu-us-apac-row-ch/pf120_k050_a030,eu,Europe,Consumer surplus,-184.5362646,-8.714865079
af-eu-us-apac-row-ch/pf120_k050_a030,eu,Europe,Producer surplus less capacity costs,19.38748998,0.9155889212
af-eu-us-apac-row-ch/pf120_k050_a030,us,United States,Consumer surplus,-137.9900184,-16.98037456
af-eu-us-apac-row-ch/pf120_k050_a030,us,United States,Producer surplus less capacity costs,20.58482183,2.533067168
af-eu-us-apac-row-ch/pf120_k050_a030,apac,Asia-Pacific,Consumer surplus,-80.73761028,-7.475329782
af-eu-us-apac-row-ch/pf120_k050_a030,apac,Asia-Pacific,Producer surplus less capacity costs,223.3061256,20.67545628
af-eu-us-apac-row-ch/pf120_k050_a030,af,Africa,Consumer surplus,-45.89433172,-9.296292257
af-eu-us-apac-row-ch/pf120_k050_a030,af,Africa,Producer surplus less capacity costs,15.9878747,3.238481751
af-eu-us-apac-row-ch/pf120_k050_a030,row,Rest of World,Consumer surplus,-123.5988682,-7.504151186
af-eu-us-apac-row-ch/pf120_k050_a030,row,Rest of World,Producer surplus less capacity costs,-3.347824575,-0.2032589952
af-eu-us-apac-row-ch/pf120_k100_a030,ch,China,Consumer surplus,1.116804922,0.02817541528
af-eu-us-apac-row-ch/pf120_k100_a030,ch,China,Producer surplus less capacity costs,134.7421545,3.399354786
af-eu-us-apac-row-ch/pf120_k100_a030,eu,Europe,Consumer surplus,-180.3847686,-8.518807532
af-eu-us-apac-row-ch/pf120_k100_a030,eu,Europe,Producer surplus less capacity costs,14.81549458,0.6996729703
af-eu-us-apac-row-ch/pf120_k100_a030,us,United States,Consumer surplus,-125.8667707,-15.48854719
af-eu-us-apac-row-ch/pf120_k100_a030,us,United States,Producer surplus less capacity costs,9.890673094,1.217097699
af-eu-us-apac-row-ch/pf120_k100_a030,apac,Asia-Pacific,Consumer surplus,-95.33745099,-8.827099096
af-eu-us-apac-row-ch/pf120_k100_a030,apac,Asia-Pacific,Producer surplus less capacity costs,240.218546,22.2413426
af-eu-us-apac-row-ch/pf120_k100_a030,af,Africa,Consumer surplus,-33.08048756,-6.700737735
af-eu-us-apac-row-ch/pf120_k100_a030,af,Africa,Producer surplus less capacity costs,13.14384371,2.662398773
af-eu-us-apac-row-ch/pf120_k100_a030,row,Rest of World,Consumer surplus,-121.6113247,-7.38347996
af-eu-us-apac-row-ch/pf120_k100_a030,row,Rest of World,Producer surplus less capacity costs,-4.617539038,-0.2803481259
af-eu-us-apac-row-ch/pf120_k100_a040,ch,China,Consumer surplus,1.116804697,0.02817540959
af-eu-us-apac-row-ch/pf120_k100_a040,ch,China,Producer surplus less capacity costs,99.69289218,2.515111262
af-eu-us-apac-row-ch/pf120_k100_a040,eu,Europe,Consumer surplus,-225.6154568,-10.6548611
af-eu-us-apac-row-ch/pf120_k100_a040,eu,Europe,Producer surplus less capacity costs,33.57506536,1.585607931
af-eu-us-apac-row-ch/pf120_k100_a040,us,United States,Consumer surplus,-150.6259368,-18.53528869
af-eu-us-apac-row-ch/pf120_k100_a040,us,United States,Producer surplus less capacity costs,32.83868259,4.040967146
af-eu-us-apac-row-ch/pf120_k100_a040,apac,Asia-Pacific,Consumer surplus,-87.7346371,-8.123170148
af-eu-us-apac-row-ch/pf120_k100_a040,apac,Asia-Pacific,Producer surplus less capacity costs,270.6781137,25.06153152
af-eu-us-apac-row-ch/pf120_k100_a040,af,Africa,Consumer surplus,-45.6280672,-9.242358085
af-eu-us-apac-row-ch/pf120_k100_a040,af,Africa,Producer surplus less capacity costs,16.18973984,3.279371274
af-eu-us-apac-row-ch/pf120_k100_a040,row,Rest of World,Consumer surplus,-150.8981827,-9.161595036
af-eu-us-apac-row-ch/pf120_k100_a040,row,Rest of World,Producer surplus less capacity costs,8.109135751,0.4923360672
eu-us-af-row-apac-ch/pf080_k050_a030,ch,China,Consumer surplus,1.116804881,0.02817541424
eu-us-af-row-apac-ch/pf080_k050_a030,ch,China,Producer surplus less capacity costs,82.78979628,2.088669959
eu-us-af-row-apac-ch/pf080_k050_a030,eu,Europe,Consumer surplus,-153.8617282,-7.26623683
eu-us-af-row-apac-ch/pf080_k050_a030,eu,Europe,Producer surplus less capacity costs,17.13629382,0.8092744748
eu-us-af-row-apac-ch/pf080_k050_a030,us,United States,Consumer surplus,-118.1172783,-14.53493269
eu-us-af-row-apac-ch/pf080_k050_a030,us,United States,Producer surplus less capacity costs,0.04300084595,0.005291473105
eu-us-af-row-apac-ch/pf080_k050_a030,apac,Asia-Pacific,Consumer surplus,-69.6466064,-6.448436475
eu-us-af-row-apac-ch/pf080_k050_a030,apac,Asia-Pacific,Producer surplus less capacity costs,194.0000399,17.96206589
eu-us-af-row-apac-ch/pf080_k050_a030,af,Africa,Consumer surplus,-37.19382576,-7.533929821
eu-us-af-row-apac-ch/pf080_k050_a030,af,Africa,Producer surplus less capacity costs,13.04409181,2.642193168
eu-us-af-row-apac-ch/pf080_k050_a030,row,Rest of World,Consumer surplus,-125.6050175,-7.625952044
eu-us-af-row-apac-ch/pf080_k050_a030,row,Rest of World,Producer surplus less capacity costs,-8.721418862,-0.5295100729
eu-us-af-row-apac-ch/pf080_k050_a040,ch,China,Consumer surplus,1.128792443,0.02847784354
eu-us-af-row-apac-ch/pf080_k050_a040,ch,China,Producer surplus less capacity costs,66.79533076,1.68515212
eu-us-af-row-apac-ch/pf080_k050_a040,eu,Europe,Consumer surplus,-229.5386959,-10.84013904
eu-us-af-row-apac-ch/pf080_k050_a040,eu,Europe,Producer surplus less capacity costs,28.27962358,1.335526676
eu-us-af-row-apac-ch/pf080_k050_a040,us,United States,Consumer surplus,-182.2767888,-22.43008723
eu-us-af-row-apac-ch/pf080_k050_a040,us,United States,Producer surplus less capacity costs,73.86277116,9.089190186
eu-us-af-row-apac-ch/pf080_k050_a040,apac,Asia-Pacific,Consumer surplus,-44.08702686,-4.081927416
eu-us-af-row-apac-ch/pf080_k050_a040,apac,Asia-Pacific,Producer surplus less capacity costs,169.8731305,15.72820483
eu-us-af-row-apac-ch/pf080_k050_a040,af,Africa,Consumer surplus,-55.05333968,-11.15152822
eu-us-af-row-apac-ch/pf080_k050_a040,af,Africa,Producer surplus less capacity costs,20.68045752,4.189004826
eu-us-af-row-apac-ch/pf080_k050_a040,row,Rest of World,Consumer surplus,-147.5003451,-8.95529956
eu-us-af-row-apac-ch/pf080_k050_a040,row,Rest of World,Producer surplus less capacity costs,11.61314977,0.70507791
eu-us-af-row-apac-ch/pf100_k050_a030,ch,China,Consumer surplus,1.116804326,0.02817540023
eu-us-af-row-apac-ch/pf100_k050_a030,ch,China,Producer surplus less capacity costs,14.86880829,0.3751190919
eu-us-af-row-apac-ch/pf100_k050_a030,eu,Europe,Consumer surplus,-224.1571653,-10.58599217
eu-us-af-row-apac-ch/pf100_k050_a030,eu,Europe,Producer surplus less capacity costs,36.77172674,1.736572689
eu-us-af-row-apac-ch/pf100_k050_a030,us,United States,Consumer surplus,-167.1835173,-20.5727833
eu-us-af-row-apac-ch/pf100_k050_a030,us,United States,Producer surplus less capacity costs,51.09225565,6.287162279
eu-us-af-row-apac-ch/pf100_k050_a030,apac,Asia-Pacific,Consumer surplus,-24.4928587,-2.267743564
eu-us-af-row-apac-ch/pf100_k050_a030,apac,Asia-Pacific,Producer surplus less capacity costs,101.9707858,9.441265961
eu-us-af-row-apac-ch/pf100_k050_a030,af,Africa,Consumer surplus,-47.56762828,-9.635232889
