candidate,region,region_label,component,delta_billion_usd_pv,delta_percent_of_planner_regional_welfare
ch-af-apac-eu-row-us/pf080_k050_a040,ch,China,Consumer surplus,1.116802693,0.02817535904
ch-af-apac-eu-row-us/pf080_k050_a040,ch,China,Producer surplus less capacity costs,63.67047954,1.606316525
ch-af-apac-eu-row-us/pf080_k050_a040,eu,Europe,Consumer surplus,-233.3134096,-11.01840275
ch-af-apac-eu-row-us/pf080_k050_a040,eu,Europe,Producer surplus less capacity costs,53.10438522,2.507894876
ch-af-apac-eu-row-us/pf080_k050_a040,us,United States,Consumer surplus,-176.665515,-21.73959141
ch-af-apac-eu-row-us/pf080_k050_a040,us,United States,Producer surplus less capacity costs,15.38862857,1.893649122
ch-af-apac-eu-row-us/pf080_k050_a040,apac,Asia-Pacific,Consumer surplus,-8.753882207,-0.8105040036
ch-af-apac-eu-row-us/pf080_k050_a040,apac,Asia-Pacific,Producer surplus less capacity costs,126.2116624,11.68567902
ch-af-apac-eu-row-us/pf080_k050_a040,af,Africa,Consumer surplus,-49.05646712,-9.936810022
ch-af-apac-eu-row-us/pf080_k050_a040,af,Africa,Producer surplus less capacity costs,20.20452989,4.092601585
ch-af-apac-eu-row-us/pf080_k050_a040,row,Rest of World,Consumer surplus,-133.5678756,-8.109407042
ch-af-apac-eu-row-us/pf080_k050_a040,row,Rest of World,Producer surplus less capacity costs,5.94271104,0.3608042918
ch-af-apac-eu-row-us/pf080_k100_a030,ch,China,Consumer surplus,1.176729961,0.02968723961
ch-af-apac-eu-row-us/pf080_k100_a030,ch,China,Producer surplus less capacity costs,56.16317713,1.416917859
ch-af-apac-eu-row-us/pf080_k100_a030,eu,Europe,Consumer surplus,-249.0653585,-11.76230049
ch-af-apac-eu-row-us/pf080_k100_a030,eu,Europe,Producer surplus less capacity costs,32.82372119,1.550125132
ch-af-apac-eu-row-us/pf080_k100_a030,us,United States,Consumer surplus,-165.7384586,-20.39496147
ch-af-apac-eu-row-us/pf080_k100_a030,us,United States,Producer surplus less capacity costs,55.75912818,6.861444713
ch-af-apac-eu-row-us/pf080_k100_a030,apac,Asia-Pacific,Consumer surplus,-9.920655623,-0.9185331617
ch-af-apac-eu-row-us/pf080_k100_a030,apac,Asia-Pacific,Producer surplus less capacity costs,82.59452111,7.647257348
ch-af-apac-eu-row-us/pf080_k100_a030,af,Africa,Consumer surplus,-49.5569885,-10.03819494
ch-af-apac-eu-row-us/pf080_k100_a030,af,Africa,Producer surplus less capacity costs,18.69011589,3.785843983
ch-af-apac-eu-row-us/pf080_k100_a030,row,Rest of World,Consumer surplus,-174.4804711,-10.59336427
ch-af-apac-eu-row-us/pf080_k100_a030,row,Rest of World,Producer surplus less capacity costs,75.96287116,4.611991017
ch-af-apac-eu-row-us/pf080_k100_a040,ch,China,Consumer surplus,-15.0656126,-0.3800841875
ch-af-apac-eu-row-us/pf080_k100_a040,ch,China,Producer surplus less capacity costs,164.5114918,4.15039324
ch-af-apac-eu-row-us/pf080_k100_a040,eu,Europe,Consumer surplus,-294.5359499,-13.90968366
ch-af-apac-eu-row-us/pf080_k100_a040,eu,Europe,Producer surplus less capacity costs,83.74506562,3.954924251
ch-af-apac-eu-row-us/pf080_k100_a040,us,United States,Consumer surplus,-181.7635066,-22.36692524
ch-af-apac-eu-row-us/pf080_k100_a040,us,United States,Producer surplus less capacity costs,91.83604112,11.3008926
