component,feature,loading,absolute_loading
PC1,capacity_China_2030,-0.1838262922,0.1838262922
PC1,capacity_Africa_2030,0.04729240141,0.04729240141
PC1,capacity_EU_2030,0.1879265191,0.1879265191
PC1,capacity_US_2030,0.1893384534,0.1893384534
PC1,capacity_APAC_2030,-0.1365909999,0.1365909999
PC1,capacity_ROW_2030,0.1827313664,0.1827313664
PC1,capacity_China_2035,-0.2084314835,0.2084314835
PC1,capacity_Africa_2035,0.05779270621,0.05779270621
PC1,capacity_EU_2035,0.1976013962,0.1976013962
PC1,capacity_US_2035,0.2126817261,0.2126817261
PC1,capacity_APAC_2035,-0.1979211667,0.1979211667
PC1,capacity_ROW_2035,0.1711980773,0.1711980773
PC1,capacity_China_2040,-0.2095636042,0.2095636042
PC1,capacity_Africa_2040,0.06185296658,0.06185296658
PC1,capacity_EU_2040,0.1836904129,0.1836904129
PC1,capacity_US_2040,0.1982255168,0.1982255168
PC1,capacity_APAC_2040,-0.195681384,0.195681384
PC1,capacity_ROW_2040,0.1707230803,0.1707230803
PC1,price_China_2025,-0.02575657326,0.02575657326
PC1,price_Africa_2025,0.1197445457,0.1197445457
PC1,price_EU_2025,0.0685328493,0.0685328493
PC1,price_US_2025,0.1453061047,0.1453061047
PC1,price_APAC_2025,-0.0004449450156,0.0004449450156
PC1,price_ROW_2025,0.1116665097,0.1116665097
PC1,price_China_2030,0.07097022861,0.07097022861
PC1,price_Africa_2030,0.1944264678,0.1944264678
PC1,price_EU_2030,0.1484425746,0.1484425746
PC1,price_US_2030,0.1541764462,0.1541764462
PC1,price_APAC_2030,-0.04383316817,0.04383316817
PC1,price_ROW_2030,0.03730641442,0.03730641442
PC1,price_China_2035,0.07900644837,0.07900644837
PC1,price_Africa_2035,0.1904009077,0.1904009077
PC1,price_EU_2035,0.2078085603,0.2078085603
PC1,price_US_2035,0.1586249071,0.1586249071
PC1,price_APAC_2035,-0.1424602319,0.1424602319
PC1,price_ROW_2035,0.04844444948,0.04844444948
PC1,price_China_2040,0.1503172167,0.1503172167
PC1,price_Africa_2040,0.1755105423,0.1755105423
PC1,price_EU_2040,0.199310426,0.199310426
PC1,price_US_2040,0.07445637751,0.07445637751
PC1,price_APAC_2040,-0.1952314839,0.1952314839
PC1,price_ROW_2040,0.1936289402,0.1936289402
PC2,capacity_China_2030,0.2689554331,0.2689554331
PC2,capacity_Africa_2030,0.03397898581,0.03397898581
PC2,capacity_EU_2030,-0.1966697736,0.1966697736
PC2,capacity_US_2030,-0.2223579828,0.2223579828
PC2,capacity_APAC_2030,-0.2792660505,0.2792660505
PC2,capacity_ROW_2030,0.1098323796,0.1098323796
PC2,capacity_China_2035,0.1662865962,0.1662865962
PC2,capacity_Africa_2035,0.02020239906,0.02020239906
PC2,capacity_EU_2035,-0.1882654893,0.1882654893
PC2,capacity_US_2035,-0.1582020761,0.1582020761
PC2,capacity_APAC_2035,-0.2265210547,0.2265210547
PC2,capacity_ROW_2035,0.1445332691,0.1445332691
PC2,capacity_China_2040,0.1625116694,0.1625116694
PC2,capacity_Africa_2040,0.01436012889,0.01436012889
PC2,capacity_EU_2040,-0.1425161664,0.1425161664
PC2,capacity_US_2040,-0.1852185879,0.1852185879
PC2,capacity_APAC_2040,-0.1676044446,0.1676044446
PC2,capacity_ROW_2040,0.1469580219,0.1469580219
PC2,price_China_2025,0.04826872962,0.04826872962
PC2,price_Africa_2025,-0.03766139782,0.03766139782
PC2,price_EU_2025,-0.2976544537,0.2976544537
PC2,price_US_2025,-0.05503578842,0.05503578842
PC2,price_APAC_2025,-0.1014249518,0.1014249518
PC2,price_ROW_2025,-0.08879401542,0.08879401542
PC2,price_China_2030,0.2570337416,0.2570337416
PC2,price_Africa_2030,0.05737973336,0.05737973336
PC2,price_EU_2030,-0.01094284689,0.01094284689
PC2,price_US_2030,-0.101499717,0.101499717
PC2,price_APAC_2030,-0.2379677762,0.2379677762
PC2,price_ROW_2030,-0.07985149105,0.07985149105
PC2,price_China_2035,0.03759847019,0.03759847019
PC2,price_Africa_2035,0.1332384893,0.1332384893
PC2,price_EU_2035,0.1088856046,0.1088856046
PC2,price_US_2035,0.1587060637,0.1587060637
PC2,price_APAC_2035,-0.02746126244,0.02746126244
PC2,price_ROW_2035,0.05537188467,0.05537188467
PC2,price_China_2040,-0.05952923084,0.05952923084
PC2,price_Africa_2040,0.2361285628,0.2361285628
PC2,price_EU_2040,0.1822029383,0.1822029383
PC2,price_US_2040,0.1090240269,0.1090240269
PC2,price_APAC_2040,0.1159554621,0.1159554621
PC2,price_ROW_2040,0.1499574823,0.1499574823
