region,region_label,component,n,minimum_billion_usd_pv,p10_billion_usd_pv,p25_billion_usd_pv,median_billion_usd_pv,p75_billion_usd_pv,p90_billion_usd_pv,maximum_billion_usd_pv
af,Africa,Consumer surplus,27,-112.6757461,-64.07415102,-49.4668136,-45.6280672,-38.72043738,-34.52883197,-33.08048756
af,Africa,Producer surplus less capacity costs,27,11.42456234,12.33771378,13.46525556,17.06643295,19.63543882,24.27332778,44.94770348
apac,Asia-Pacific,Consumer surplus,27,-115.5641088,-90.77576265,-78.97238395,-63.37750109,-34.28994278,-16.64969427,-8.753882207
apac,Asia-Pacific,Producer surplus less capacity costs,27,38.00631489,71.62111148,138.906423,182.2674303,211.9580995,237.973438,270.6781137
ch,China,Consumer surplus,27,-15.0656126,1.11680272,1.116804518,1.11680483,1.116804924,1.116804994,1.176729961
ch,China,Producer surplus less capacity costs,27,6.27907903,12.43561475,54.89495319,82.78979628,130.4345005,165.5595256,180.2851702
eu,Europe,Consumer surplus,27,-512.5626764,-296.3656437,-247.418848,-226.7548263,-167.5211368,-153.7967758,-131.8372711
eu,Europe,Producer surplus less capacity costs,27,0.855128192,7.410476035,14.19126926,32.82372119,46.97260326,80.02796385,188.3046124
row,Rest of World,Consumer surplus,27,-203.4950042,-168.9515298,-147.378063,-133.5678756,-124.6019428,-119.3505784,-112.934316
row,Rest of World,Producer surplus less capacity costs,27,-8.721418862,-5.193785931,-4.549056459,-1.086786019,14.58537992,58.85424873,233.9651308
us,United States,Consumer surplus,27,-255.9639172,-178.7047117,-166.1808244,-148.1598465,-125.3052444,-110.1097819,-99.6412647
us,United States,Producer surplus less capacity costs,27,0.04300084595,1.229642931,12.21983029,32.83868259,53.92895639,75.98173058,163.157826
