profile,calibration,sequence,one_start_gain_pct,region,time,price_usd_per_kw
Corrected ch-af-apac-eu-row-us,corrected_demand_slopes,ch-af-apac-eu-row-us,0.8769550454759457,eu,2040,240.68404596261087
Corrected ch-af-apac-eu-row-us,corrected_demand_slopes,ch-af-apac-eu-row-us,0.8769550454759457,af,2040,185.08638633865402
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,ch,2025,163.27999999823666
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,row,2025,283.19436217389074
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,apac,2025,265.63715408909894
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,us,2025,279.32642637639754
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,eu,2025,281.91767416922227
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,af,2025,221.28744434717535
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,ch,2030,107.79092416536292
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,row,2030,221.14406278882467
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,apac,2030,184.12005204258003
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,us,2030,217.26255269981468
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,eu,2030,219.9904593902029
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,af,2030,209.87701511910288
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,ch,2035,95.90883346271369
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,row,2035,196.8789116373816
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,apac,2035,161.84427411362915
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,us,2035,191.5688702699524
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,eu,2035,194.65790096277064
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,af,2035,191.37138449776756
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,ch,2040,86.65125775176884
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,row,2040,187.05195773285303
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,apac,2040,195.39000452756142
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,us,2040,200.83277715530383
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,eu,2040,195.23514867670735
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,af,2040,148.6234437515063
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,ch,2025,163.27999999824976
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,row,2025,284.8251287736482
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,apac,2025,265.6864392363602
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,us,2025,277.1483619120708
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,eu,2025,282.2625838291234
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,af,2025,221.9118486711618
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,ch,2030,107.79092380558978
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,row,2030,207.77711987866707
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,apac,2030,178.17687563874432
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,us,2030,203.0107227164407
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,eu,2030,206.89586592257803
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,af,2030,200.78502946482254
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,ch,2035,95.90883301967739
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,row,2035,207.17997475578872
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,apac,2035,164.21012948372382
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,us,2035,205.63640799598667
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,eu,2035,207.8679597320251
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,af,2035,201.36804132060004
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,ch,2040,86.75343500316194
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,row,2040,187.2029520646321
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,apac,2040,207.04436734586852
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,us,2040,201.1334233156559
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,eu,2040,195.45541291848915
Corrected ch-row-apac-us-eu-af,corrected_demand_slopes,ch-row-apac-us-eu-af,0.9927393506884905,af,2040,199.75259691443384
