profile,calibration,sequence,one_start_gain_pct,region,time,capacity_gw
Corrected ch-af-apac-eu-row-us,corrected_demand_slopes,ch-af-apac-eu-row-us,0.8769550454759457,ch,2040,616.3273099051216
Corrected ch-af-apac-eu-row-us,corrected_demand_slopes,ch-af-apac-eu-row-us,0.8769550454759457,row,2040,173.55764146877252
Corrected ch-af-apac-eu-row-us,corrected_demand_slopes,ch-af-apac-eu-row-us,0.8769550454759457,apac,2040,53.15189172271414
Corrected ch-af-apac-eu-row-us,corrected_demand_slopes,ch-af-apac-eu-row-us,0.8769550454759457,us,2040,4.1232997619300213e-07
Corrected ch-af-apac-eu-row-us,corrected_demand_slopes,ch-af-apac-eu-row-us,0.8769550454759457,eu,2040,1.7285613655622023e-08
Corrected ch-af-apac-eu-row-us,corrected_demand_slopes,ch-af-apac-eu-row-us,0.8769550454759457,af,2040,10.89999998117354
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,ch,2025,931.0
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,row,2025,293.0
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,apac,2025,110.0
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,us,2025,42.0
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,eu,2025,22.0
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,af,2025,3.4
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,ch,2030,761.9249369185795
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,row,2030,134.13394386282235
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,apac,2030,166.53745740499917
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,us,2030,7.567477815939583e-06
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,eu,2030,3.0684779872558465e-07
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,af,2030,5.899999823918562
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,ch,2035,760.7866734665937
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,row,2035,132.73067397604723
Corrected ch-af-eu-us-row-apac,corrected_demand_slopes,ch-af-eu-us-row-apac,0.7641337316175635,apac,2035,178.94047992763524
