importer,year,candidate,exporter,x_left_gw,x_right_gw,flow_gw,demand_gw,offer_usd_per_kw,shipping_usd_per_kw,delivered_offer_usd_per_kw,market_price_usd_per_kw
ch,2025,ch-af-apac-eu-row-us/pf100_k050_a040,ch,0.0,323.9999999751501,323.9999999751501,323.9999999974166,163.0,0.0,163.0,163.32399999936524
ch,2030,ch-af-apac-eu-row-us/pf120_k050_a030,ch,0.0,349.9999999444384,349.9999999444384,349.9999999967301,107.44092378697312,0.0,107.44092378697312,107.79092379883556
ch,2035,eu-us-af-row-apac-ch/pf100_k050_a040,ch,0.0,332.99999996370485,332.99999996370485,332.99999999724145,95.5758330004046,0.0,95.5758330004046,95.90883302502486
ch,2040,eu-us-af-row-apac-ch/pf100_k100_a040,ch,0.0,315.9999999176909,315.9999999176909,315.9999999940387,86.33525719941149,0.0,86.33525719941149,86.65125730273166
eu,2025,eu-us-af-row-apac-ch/pf100_k050_a040,apac,0.0,53.40000055778473,53.40000055778473,74.99999999108935,205.4619030940845,16.30717351263244,221.7690766067169,318.3266495727938
eu,2025,eu-us-af-row-apac-ch/pf100_k050_a040,eu,53.40000055778473,74.99999890349942,21.59999834571469,74.99999999108935,299.25,0.0,299.25,318.3266495727938
eu,2030,ch-af-apac-eu-row-us/pf080_k050_a040,af,0.0,5.897278927416021,5.897278927416021,89.99999999951089,95.37383434119944,6.2,101.57383434119946,261.6210509230561
eu,2030,ch-af-apac-eu-row-us/pf080_k050_a040,us,5.897278927416021,69.72374473360163,63.82646580618561,89.99999999951089,163.61132674464386,9.397,173.00832674464385,261.6210509230561
eu,2030,ch-af-apac-eu-row-us/pf080_k050_a040,apac,69.72374473360163,89.99999998304465,20.27625524944301,89.99999999951089,228.7886007862043,16.30717351263244,245.0957742988368,261.6210509230561
eu,2035,eu-us-af-row-apac-ch/pf080_k050_a030,af,0.0,7.897578470323313,7.897578470323313,94.999999991526,84.87492627898388,6.2,91.07492627898388,242.42674585299835
