importer,year,candidate,demand_gw,import_share,market_price_usd_per_kw,offer_contribution_ch,supplier_share_ch,offer_contribution_eu,supplier_share_eu,offer_contribution_us,supplier_share_us,offer_contribution_apac,supplier_share_apac,offer_contribution_af,supplier_share_af,offer_contribution_row,supplier_share_row,weighted_offer_usd_per_kw,weighted_shipping_usd_per_kw,weighted_mu_offer_usd_per_kw
ch,2025,ch-af-apac-eu-row-us/pf100_k050_a040,323.9999999974166,0.0,163.32399999936524,162.99999998879804,0.9999999999312763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.99999998879804,0.0,-6.099082904967259e-10
ch,2030,ch-af-apac-eu-row-us/pf120_k050_a030,349.9999999967301,0.0,107.79092379883556,107.44092377092092,0.9999999998505952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.44092377092092,0.0,1.1918010021534553e-08
ch,2035,eu-us-af-row-apac-ch/pf100_k050_a040,332.99999999724145,0.0,95.90883302502486,95.57583299077912,0.9999999998992896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.57583299077912,0.0,2.4656556682782057e-08
ch,2040,eu-us-af-row-apac-ch/pf100_k100_a040,315.9999999940387,0.0,86.65125730273166,86.33525717855228,0.9999999997583929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.33525717855228,0.0,1.0340248710327406e-07
eu,2025,eu-us-af-row-apac-ch/pf100_k050_a040,74.99999999108935,0.7120000075217214,318.3266495727938,0.0,0.0,86.183993409641,0.2879999779770794,0.0,0.0,146.28887654841537,0.7120000075217214,0.0,0.0,0.0,0.0,232.47286995805638,11.610707663652313,74.19882573512034
eu,2030,ch-af-apac-eu-row-us/pf080_k050_a040,89.99999999951089,0.9999999998170418,261.6210509230561,0.0,0.0,0.0,0.0,116.03036391142693,0.7091829534059164,51.54417853032454,0.22529172499503564,6.249401149891985,0.06552532141608967,0.0,0.0,173.82394359164346,10.744320456389469,77.00256769201275
eu,2035,eu-us-af-row-apac-ch/pf080_k050_a030,94.999999991526,0.9999999902361814,242.42674585299835,0.0,0.0,0.0,0.0,56.65124599710769,0.3876229338179393,86.64649603422804,0.529244651460055,7.055856742220767,0.08313240495818713,0.0,0.0,150.35359877355648,12.788397981819731,79.24320679913095
eu,2040,af-eu-us-apac-row-ch/pf100_k100_a040,98.99999999591007,0.498845751866128,222.38412924055797,0.0,0.0,79.43394803974638,0.5011542372341203,0.0,0.0,80.35033910843556,0.3899775934636242,6.259644658394705,0.10886815840250381,0.0,0.0,166.04393180657664,7.034414864745678,49.264686198792845
us,2025,ch-af-apac-eu-row-us/pf120_k100_a040,44.99999999903018,0.9999999976870027,317.9923607561448,306.814360052287,0.9999999976870027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.814360052287,11.1329999742494,-5.697903469191967e-09
us,2030,af-eu-us-apac-row-ch/pf120_k100_a030,64.99999999265533,0.4387892352901086,262.99696822525607,0.0,0.0,0.0,0.0,118.8368746085736,0.5612107168346827,67.80723631190486,0.4387892352901086,0.0,0.0,0.0,0.0,186.64411092047845,6.015835873001538,70.3040217657348
us,2035,ch-af-apac-eu-row-us/pf120_k100_a040,69.99999999946051,0.4101182849055788,228.2403968500441,89.02793944591541,0.4101182849055788,0.0,0.0,111.1139424904244,0.5898817140255033,0.0,0.0,0.0,0.0,0.0,0.0,200.14188193633981,4.565846865853808,23.49653678278962
us,2040,eu-us-af-row-apac-ch/pf120_k100_a040,74.99999999374126,0.521591985376305,202.79927714720503,0.0,0.0,0.0,0.0,81.40332668344122,0.478408001075931,73.08299283535722,0.521591985376305,0.0,0.0,0.0,0.0,154.48631951879844,7.151068267712363,41.12431668211795
apac,2025,eu-us-af-row-apac-ch/pf120_k050_a040,49.99999999352503,0.0,256.20596689081776,0.0,0.0,0.0,0.0,0.0,0.0,187.44999971987883,0.999999998505622,0.0,0.0,0.0,0.0,187.44999971987883,0.0,68.70596678822628
apac,2030,ch-af-apac-eu-row-us/pf100_k050_a040,84.99999999535102,0.0,165.03144166829185,0.0,0.0,0.0,0.0,0.0,0.0,123.55706219108491,0.9999999986732108,0.0,0.0,0.0,0.0,123.55706219108491,0.0,41.3893792584752
apac,2035,ch-af-apac-eu-row-us/pf120_k050_a040,102.99999999833408,0.0,123.52392457972468,0.0,0.0,0.0,0.0,0.0,0.0,109.91220792245524,0.9999999997451596,0.0,0.0,0.0,0.0,109.91220792245524,0.0,13.508716625844723
apac,2040,af-eu-us-apac-row-ch/pf100_k050_a040,125.99999998548115,0.0,105.93406441907103,0.0,0.0,0.0,0.0,0.0,0.0,99.28554558146982,0.9999999980072287,0.0,0.0,0.0,0.0,99.28554558146982,0.0,6.522518627015554
af,2025,eu-us-af-row-apac-ch/pf100_k050_a030,9.999999999661012,0.9999999969574251,357.2671874880048,346.75718647142486,0.9999999969574251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.75718647142486,10.499999968052965,-3.8423987631595894e-08
