year,importer,ch_active,apac_active,both_active,ch_only,apac_only,neither,apac_larger_when_both,apac_cheaper_delivered_when_both,delivered_apac_minus_ch_median_when_both,median_ch_flow_when_both,median_apac_flow_when_both,apac_capacity_binding_when_both,ch_capacity_binding_when_both
2025,af,19,5,0,19,5,3,0,0,,,,0,0
2025,eu,15,18,6,9,12,0,3,6,-80.080788941554,29.799999505373876,34.20000046164119,6,0
2025,row,17,13,6,11,7,3,1,6,-59.67063814824394,33.29999966192244,11.700000297489384,6,0
2025,us,16,15,6,10,9,2,2,6,-64.80391534243986,17.300012552181173,11.00000053895332,6,0
2030,af,11,10,2,9,8,8,2,2,-32.47273459796135,1.051926729145605,7.09954411772806,2,0
2030,eu,7,21,3,4,18,2,2,3,-78.34614197570596,6.455502685160923,54.41956042830733,3,0
2030,row,9,16,3,6,13,5,1,3,-41.37166620253166,34.29472739881666,26.14346900782321,3,0
2030,us,5,12,2,3,10,12,1,2,-47.132949912731846,27.18159528903374,11.494392358043012,2,0
2035,af,7,7,1,6,6,14,0,1,-34.934960543568934,9.209654737297118,2.390345283659253,1,0
2035,eu,6,21,3,3,18,3,2,3,-48.44037212070259,28.91753061361373,47.44052109475382,3,0
2035,row,5,12,1,4,11,11,1,1,-41.79991143625864,22.528265063281747,56.47173234486356,1,0
2035,us,5,10,1,4,9,13,1,1,-53.85114068319071,10.786831634993602,59.213168165116905,1,0
2040,af,10,15,1,9,14,3,1,1,-18.77770468934594,5.6481828480807446,11.451848935596889,1,0
2040,eu,3,17,2,1,15,9,1,2,-39.68210513658127,26.353555403425652,33.562897512048046,2,0
2040,row,6,13,4,2,9,12,2,4,-41.10296647204241,29.061552711257484,37.23501838411727,4,0
2040,us,3,14,1,2,13,11,1,1,-60.12002772502801,5.2280660986051615,69.77193359193397,1,0
