year,profile,importer,exporter,cleared_flow_gw,delivered_offer_usd_per_kw,market_price_usd_per_kw,demand_gw,exporter_capacity_gw,importer_capacity_gw
2040,eu-us-af-row-apac-ch/pf080_k050_a040,ch,ch,315.9999993817084,86.33525719941149,86.65125740685889,315.99999997667805,381.5224998890869,381.5224998890869
2040,eu-us-af-row-apac-ch/pf080_k050_a040,eu,us,77.8124746087924,118.82492915798235,239.8596317723113,98.99999998629708,77.81247537720664,48.28755312360084
2040,eu-us-af-row-apac-ch/pf080_k050_a040,eu,apac,21.187522705442596,239.83844441201697,239.8596317723113,98.99999998629708,206.2908299484932,48.28755312360084
2040,eu-us-af-row-apac-ch/pf080_k050_a040,us,af,10.714960218007734,85.16633559725335,251.90918270681885,74.99999996783836,10.71496190200816,77.81247537720664
2040,eu-us-af-row-apac-ch/pf080_k050_a040,us,eu,48.28755263298614,123.44050867243054,251.90918270681885,74.99999996783836,48.28755312360084,77.81247537720664
2040,eu-us-af-row-apac-ch/pf080_k050_a040,us,row,15.650692525612133,208.9862923286978,251.90918270681885,74.99999996783836,104.65068457049816,77.81247537720664
2040,eu-us-af-row-apac-ch/pf080_k050_a040,us,apac,0.3467942222661858,251.90887418037343,251.90918270681885,74.99999996783836,206.2908299484932,77.81247537720664
2040,eu-us-af-row-apac-ch/pf080_k050_a040,apac,apac,125.999999715254,99.2855457793232,99.41154588936062,125.9999999774114,206.2908299484932,206.2908299484932
2040,eu-us-af-row-apac-ch/pf080_k050_a040,af,ch,27.99999923738457,239.7588443205247,239.78684410296347,27.99999998860226,381.5224998890869,10.71496190200816
2040,eu-us-af-row-apac-ch/pf080_k050_a040,row,row,88.99999141701124,187.1727189517057,230.1689591682015,88.99999998647844,104.65068457049816,104.65068457049816
