year,region,median_capacity_gw,median_output_gw,median_domestic_gw,median_exports_gw,mean_exports_gw,median_unused_capacity_gw,capacity_binding_profiles,median_utilization
2025,apac,110.0,109.99999999168607,49.999999908832095,60.00000005714053,59.31851759684181,8.313932653436495e-09,25,0.9999999999244188
2025,ch,931.0,408.99999526036055,323.9999999751501,84.99999532386931,67.37774169984381,522.0000047396395,0,0.4393125620412036
2030,apac,167.94086059560982,167.94086057295124,84.99999994156303,83.19636937065485,78.42880194188021,3.373736490175361e-08,24,0.9999999997881432
2030,ch,412.6153829498427,363.99999601239386,349.9999999444384,13.999996304121737,43.687038951147215,33.34930256745207,1,0.915876365527867
2035,apac,210.2360565202572,208.9322086143273,102.99999991105777,105.9322088137246,86.35179638037658,1.0027233088294452e-07,16,0.9999999995069171
2035,ch,381.73052467258634,333.0000006489469,332.99999995529845,9.75808177372528e-07,24.50943554223689,42.90279202621002,0,0.8858673227957563
2040,apac,239.56017159676122,218.92178583107398,125.99999985986359,92.92178590305825,82.63384952388306,8.997644442843011e-07,14,0.9999999954848703
2040,ch,381.52249988908693,321.64818327057037,315.99999991444815,5.6481833301344295,26.53066815364634,50.446511089370176,0,0.8623359493626455
