candidate,year,exporter,importer,flow_gw,demand_gw,market_price_usd_per_kw,offer_usd_per_kw,delivered_offer_usd_per_kw,manufacturing_cost_usd_per_kw,shipping_usd_per_kw,operating_margin_usd_per_kw,share_of_market,active,offer_minus_cost_usd_per_kw,gw_per_1gw_demand,offer_capacity_dual
ch-af-apac-eu-row-us/pf080_k050_a040,2030,us,eu,63.82646580618561,89.99999999951089,261.6210509230561,163.61132674464386,173.00832674464385,211.75090040837492,9.397,40.47315051468114,0.7091829534059164,True,-48.139573663731085,0.7091829534059164,88.54889771260605
ch-af-apac-eu-row-us/pf080_k050_a040,2030,apac,eu,20.276255249443015,89.99999999951089,261.6210509230561,228.7886007862043,245.09577429883677,123.55706235501908,16.30717351263244,121.7568150554046,0.2252917249950356,True,105.23153843118524,0.22529172499503564,16.505000368969874
ch-af-apac-eu-row-us/pf080_k050_a040,2030,af,eu,5.897278927416021,89.99999999951089,261.6210509230561,95.37383434119944,101.57383434119946,119.25942540354018,6.2,136.16162551951592,0.0655253214160896,True,-23.885591062340723,0.06552532141608967,160.0413193029292
ch-af-apac-eu-row-us/pf080_k100_a040,2025,ch,row,19.60000138790654,44.9999999998401,330.21861105858505,315.6025587529882,330.1990110625941,163.0,14.59645230960589,152.62215874897916,0.4355555863994708,True,152.60255875298822,0.43555558639947084,-5.3969338130455125e-09
ch-af-apac-eu-row-us/pf080_k100_a040,2025,eu,row,21.999999992848,44.9999999998401,330.21861105858505,239.4006859942638,247.83697415992648,299.25,8.436288165662685,22.53232289292237,0.4888888887316927,True,-59.84931400573621,0.48888888873169273,82.35963689866573
ch-af-apac-eu-row-us/pf080_k100_a040,2025,af,row,3.3999984056260413,44.9999999998401,330.21861105858505,144.74400001449962,152.24400001449962,180.93,7.5,141.78861105858505,0.0755555201252916,True,-36.18599998550039,0.07555552012529161,177.9712110456798
ch-af-apac-eu-row-us/pf100_k050_a040,2025,ch,ch,323.9999999751501,323.9999999974166,163.32399999936524,163.0,163.0,163.0,0.0,0.3239999993652418,0.9999999999312764,True,0.0,0.9999999999312763,-6.09908290538641e-10
ch-af-apac-eu-row-us/pf100_k050_a040,2030,apac,apac,84.99999988257393,84.99999999535102,165.03144166829185,123.55706235501908,123.55706235501908,123.55706235501908,0.0,41.47437931327276,0.9999999986732108,True,0.0,0.9999999986732108,41.38937931339019
ch-af-apac-eu-row-us/pf120_k050_a030,2030,ch,ch,349.9999999444384,349.9999999967301,107.79092379883556,107.44092378697312,107.44092378697312,107.44092378697312,0.0,0.35000001186242,0.9999999998505952,True,0.0,0.9999999998505952,1.1918010023315162e-08
ch-af-apac-eu-row-us/pf120_k050_a040,2035,apac,apac,102.99999997208552,102.99999999833408,123.52392457972468,109.9122079504653,109.9122079504653,109.9122079504653,0.0,13.611716629259377,0.9999999997451596,True,0.0,0.9999999997451596,13.50871662928729
ch-af-apac-eu-row-us/pf120_k100_a040,2025,ch,us,44.9999998949453,44.99999999903018,317.9923607561448,306.8143607619478,317.9473607619478,163.0,11.133,143.85936075614475,0.9999999976870028,True,143.8143607619478,0.9999999976870027,-5.697903482371203e-09
ch-af-apac-eu-row-us/pf120_k100_a040,2035,ch,us,28.70827994316926,69.99999999946051,228.2403968500441,217.0786885700847,228.2116885700847,95.5758330004046,11.133,121.53156384963954,0.4101182849055788,True,121.50285556968008,0.4101182849055788,1.6233910049567868e-11
ch-af-apac-eu-row-us/pf120_k100_a040,2035,us,us,41.291719981467,69.99999999946051,228.2403968500441,188.3664806833128,188.3664806833128,188.3664806833128,0.0,39.87391616673133,0.5898817140255033,True,0.0,0.5898817140255033,39.83262444674984
af-eu-us-apac-row-ch/pf080_k050_a030,2040,row,row,88.99999868872966,88.99999998695316,187.26171945050572,187.1727189517057,187.1727189517057,187.1727189517057,0.0,0.0890004988000328,0.9999999854132192,True,0.0,0.9999999854132191,5.001113031338766e-07
af-eu-us-apac-row-ch/pf100_k050_a040,2035,apac,row,59.494081981639525,78.99999999720674,207.2255663914782,107.51182048336705,126.394235199925,109.9122079504653,18.88241471655794,78.43094372445495,0.7530896453638367,True,-2.4003874670982555,0.7530896453638367,80.77183710957155
af-eu-us-apac-row-ch/pf100_k050_a040,2035,row,row,19.505917887567293,78.99999999720674,207.2255663914782,207.20606052566248,207.20606052566248,207.20606052566248,0.0,0.0195058658157165,0.2469103530159111,True,0.0,0.2469103530159111,-5.207185073061171e-08
af-eu-us-apac-row-ch/pf100_k050_a040,2040,apac,apac,125.99999973439198,125.99999998548115,105.93406441907103,99.2855457793232,99.2855457793232,99.2855457793232,0.0,6.64851863974782,0.9999999980072288,True,0.0,0.9999999980072287,6.522518640013442
af-eu-us-apac-row-ch/pf100_k100_a040,2030,apac,row,35.3278238596159,69.99999999674662,232.96395831340485,119.2018398673246,138.08425458388254,123.55706235501908,18.88241471655794,90.52448124182784,0.5046831980179689,True,-4.355222487694476,0.5046831980179689,94.84437590566269
af-eu-us-apac-row-ch/pf100_k100_a040,2030,row,row,34.67217602000657,69.99999999674662,232.96395831340485,232.92928618307093,232.92928618307093,232.92928618307093,0.0,0.0346721303339165,0.4953168003088288,True,0.0,0.49531680030882885,-4.568608998056778e-08
