candidate,year,exporter,importer,flow_gw,demand_gw,market_price_usd_per_kw,offer_usd_per_kw,delivered_offer_usd_per_kw,manufacturing_cost_usd_per_kw,shipping_usd_per_kw,operating_margin_usd_per_kw,share_of_market,active,offer_minus_cost_usd_per_kw,gw_per_1gw_demand,offer_capacity_dual
af-eu-us-apac-row-ch/pf100_k100_a040,2040,eu,eu,49.61426948412823,98.99999999591007,222.38412924055797,158.50199826333673,158.50199826333673,158.50199826333673,0.0,63.88213097722121,0.5011542372341203,True,0.0,0.5011542372341203,63.832516707737106
af-eu-us-apac-row-ch/pf100_k100_a040,2040,apac,eu,38.60778175130382,98.99999999591007,222.38412924055797,206.0383479850628,222.34552149769524,99.2855457793232,16.30717351263244,106.79140994860228,0.3899775934636242,True,106.7528022057396,0.3899775934636242,-3.888858064737821e-08
af-eu-us-apac-row-ch/pf100_k100_a040,2040,af,eu,10.777947681402615,98.99999999591007,222.38412924055797,57.49747906317796,63.69747906317796,95.83213549134676,6.2,120.35199374921118,0.1088681584025038,True,-38.334656428168806,0.10886815840250381,158.67587222969863
af-eu-us-apac-row-ch/pf120_k050_a030,2035,ch,af,11.805886041995656,19.99999999927485,257.79953759369687,247.2877317616086,257.7877317616086,95.5758330004046,10.5,151.72370459329227,0.5902943021211853,True,151.711898761204,0.5902943021211854,-5.395372463905257e-08
af-eu-us-apac-row-ch/pf120_k050_a030,2035,af,af,8.194113717003036,19.99999999927485,257.79953759369687,106.08917463044914,106.08917463044914,106.08917463044914,0.0,151.71036296324775,0.4097056858650066,True,0.0,0.4097056858650068,151.70216884953075
af-eu-us-apac-row-ch/pf120_k100_a030,2030,us,us,36.47869659013247,64.99999999265533,262.99696822525607,211.75090040837492,211.75090040837492,211.75090040837492,0.0,51.24606781688112,0.5612107168346827,True,0.0,0.5612107168346827,51.20958912029102
af-eu-us-apac-row-ch/pf120_k100_a030,2030,apac,us,28.521300290634297,64.99999999265533,262.99696822525607,154.53258844664597,168.24266925349193,123.55706235501908,13.71008080684597,125.72982506339105,0.4387892352901086,True,30.97552609162686,0.4387892352901086,94.72577767147351
eu-us-af-row-apac-ch/pf080_k050_a030,2035,us,eu,36.82417870941951,94.999999991526,242.42674585299835,146.15039785988498,155.54739785988497,188.3664806833128,9.397,44.66326516968555,0.3876229338179393,True,-42.21608282342783,0.3876229338179393,86.84252381440396
eu-us-af-row-apac-ch/pf080_k050_a030,2035,apac,eu,50.2782418842204,94.999999991526,242.42674585299835,163.7172823479497,180.02445586058212,109.9122079504653,16.30717351263244,116.20736438990062,0.529244651460055,True,53.80507439748439,0.529244651460055,62.35201175053201
eu-us-af-row-apac-ch/pf080_k050_a030,2035,af,eu,7.897578470323313,94.999999991526,242.42674585299835,84.87492627898388,91.07492627898388,106.08917463044914,6.2,130.13757122254924,0.0831324049581871,True,-21.21424835146526,0.08313240495818713,151.34392199554415
eu-us-af-row-apac-ch/pf100_k050_a030,2025,ch,af,9.999999969235263,9.999999999661012,357.2671874880048,346.7571875264596,357.2571875264596,163.0,10.5,183.7671874880048,0.9999999969574253,True,183.7571875264596,0.9999999969574251,-3.842398774850375e-08
eu-us-af-row-apac-ch/pf100_k050_a040,2025,eu,eu,21.59999834571469,74.99999999108935,318.3266495727938,299.25,299.25,299.25,0.0,19.076649572793823,0.2879999779770794,True,0.0,0.2879999779770794,19.055049574448113
eu-us-af-row-apac-ch/pf100_k050_a040,2025,apac,eu,53.40000055778473,74.99999999108935,318.3266495727938,205.4619030940845,221.7690766067169,187.45,16.30717351263244,114.5694760601614,0.7120000075217214,True,18.011903094084516,0.7120000075217214,96.50417296551913
eu-us-af-row-apac-ch/pf100_k050_a040,2035,ch,ch,332.99999996370485,332.99999999724145,95.90883302502486,95.5758330004046,95.5758330004046,95.5758330004046,0.0,0.3330000246202473,0.9999999998992896,True,0.0,0.9999999998992896,2.465655668526523e-08
eu-us-af-row-apac-ch/pf100_k100_a040,2040,ch,ch,315.9999999176909,315.9999999940387,86.65125730273166,86.33525719941149,86.33525719941149,86.33525719941149,0.0,0.316000103320178,0.9999999997583928,True,0.0,0.9999999997583929,1.0340248712825684e-07
eu-us-af-row-apac-ch/pf120_k050_a030,2030,apac,af,8.172060122830244,13.99999999957894,283.4940944076927,240.43126495162284,253.60388108854212,123.55706235501908,13.17261613691931,146.76441591575434,0.583718580219716,True,116.87420259660377,0.583718580219716,29.882041259027773
eu-us-af-row-apac-ch/pf120_k050_a030,2030,af,af,5.827939859746574,13.99999999957894,283.4940944076927,119.25942540354018,119.25942540354018,119.25942540354018,0.0,164.23466900415255,0.4162814185658467,True,0.0,0.4162814185658467,164.2288410642928
eu-us-af-row-apac-ch/pf120_k050_a040,2025,apac,apac,49.99999991880613,49.99999999352503,256.20596689081776,187.45,187.45,187.45,0.0,68.75596689081777,0.999999998505622,True,0.0,0.999999998505622,68.70596689089896
eu-us-af-row-apac-ch/pf120_k100_a040,2040,us,us,35.88060007770059,74.99999999374126,202.79927714720503,170.1546096644843,170.1546096644843,170.1546096644843,0.0,32.64466748272076,0.478408001075931,True,0.0,0.478408001075931,32.60878688264303
eu-us-af-row-apac-ch/pf120_k100_a040,2040,apac,us,39.11939889995836,74.99999999374126,202.79927714720503,140.11525269628356,153.82533350312954,99.2855457793232,13.71008080684597,89.80365056103588,0.5215919853763049,True,40.82970691696035,0.521591985376305,48.934824245175534
eu-us-af-row-apac-ch/pf120_k100_a040,2040,apac,af,17.100047825094528,27.999999997520163,224.69888596976816,162.57434563236623,175.74696176928555,99.2855457793232,13.17261613691931,112.24072405352564,0.6107159938074644,True,63.28879985304302,0.6107159938074644,48.93482415265751
eu-us-af-row-apac-ch/pf120_k100_a040,2040,af,af,10.8999517481916,27.999999997520163,224.69888596976816,95.83213549134676,95.83213549134676,95.83213549134676,0.0,128.8667504784214,0.38928399104132,True,0.0,0.38928399104132005,128.8558505266732
