candidate,year,region,capacity_gw,output_gw,unused_capacity_gw,domestic_gw,exports_gw,demand_gw,price_usd_per_kw,utilization
ch-af-apac-eu-row-us/pf080_k050_a040,2025,ch,931.0,408.99999526036055,522.0000047396395,323.99999993649124,84.99999532386931,323.9999999960554,163.32399999847505,0.4393125620412036
ch-af-apac-eu-row-us/pf080_k050_a040,2025,eu,22.0,21.999999994347483,5.652516676946107e-09,5.15031246159814e-09,21.99999998919717,74.99999999794885,290.63871159348855,0.9999999997430674
ch-af-apac-eu-row-us/pf080_k050_a040,2025,us,42.0,41.99999998377593,1.6224070975567884e-08,8.610060569145889e-08,41.99999989767532,44.99999999210213,397.48715945405235,0.9999999996137126
ch-af-apac-eu-row-us/pf080_k050_a040,2025,apac,110.0,72.60000001812455,37.39999998187545,8.000000122469727,64.59999989565482,49.99999999605717,187.45799966764878,0.6600000001647686
ch-af-apac-eu-row-us/pf080_k050_a040,2025,af,3.4,3.399999995249839,4.750160709221518e-09,5.9927866366858085e-09,3.3999999892570525,9.99999999840681,316.23822836567723,0.9999999986028939
ch-af-apac-eu-row-us/pf080_k050_a040,2025,row,293.0,4.726509767588585e-06,292.99999527349024,8.443624854464945e-07,3.8821472821420905e-06,44.99999999779776,351.93627443634364,1.6131432653885956e-08
ch-af-apac-eu-row-us/pf080_k050_a040,2030,ch,360.54939528399814,349.9999999941959,10.549395289802248,349.9999999878046,6.391303486452671e-09,349.999999999108,107.79092381857619,0.9707407766375736
ch-af-apac-eu-row-us/pf080_k050_a040,2030,eu,35.01769805240774,35.01769805019292,2.214818550783093e-09,4.4873848135157864e-09,35.01769804570554,89.99999999951089,261.6210509230561,0.9999999999367515
ch-af-apac-eu-row-us/pf080_k050_a040,2030,us,63.82646584949353,63.82646584583627,3.657262936940242e-09,7.105179841047953e-09,63.82646583873109,64.99999999889783,259.42258772799363,0.9999999999427
ch-af-apac-eu-row-us/pf080_k050_a040,2030,apac,172.60604968814067,172.60604966380524,2.4335435000466532e-08,84.99999998856619,87.60604967523905,84.99999999917152,140.14706274911487,0.9999999998590117
ch-af-apac-eu-row-us/pf080_k050_a040,2030,af,5.897279022067162,5.897279020002157,2.0650041676617548e-09,2.872148756227035e-08,5.89727899128067,13.999999999596195,261.5250698352833,0.9999999996498378
ch-af-apac-eu-row-us/pf080_k050_a040,2030,row,126.7520717963373,46.65250742179131,80.09956437454599,46.65250736507224,5.671907388205e-08,69.99999999953936,232.97593868783696,0.368061103543551
ch-af-apac-eu-row-us/pf080_k050_a040,2035,ch,360.3410657890922,349.95951050213284,10.381555286959383,332.99999941071565,16.9595110914172,332.9999999777535,95.90883461387698,0.9711896415019328
ch-af-apac-eu-row-us/pf080_k050_a040,2035,eu,48.23316081072346,48.23316074312896,6.759449888704694e-08,1.2173101068208083e-07,48.23316062139795,94.99999998741745,224.96517326176973,0.9999999985985887
ch-af-apac-eu-row-us/pf080_k050_a040,2035,us,89.64592902562379,89.64592889997051,1.2565327267566317e-07,2.394692437323559e-07,89.64592866050127,69.999999973701,220.83979154160912,0.9999999985983382
