importer,year,n_profiles,market_price,manufacturing,shipping,offer_markup,delivered_offer,offer_capacity_dual,flow_term,offer_to_price_gap
af,2025,27,354.3528456599422,182.46471204172306,8.659542012464337,108.15582498126943,299.2800790354568,55.06559240351638,0.00717422096895589,55.07276662448534
af,2030,27,294.09195044040786,138.42171955200612,8.712870207507617,76.03510933506165,223.1696990945754,70.91307543226824,0.009175913564225867,70.92225134583246
af,2035,27,268.5388796878675,139.4959851163593,8.023564144904116,52.04719531457712,199.56674457584052,68.96125952430117,0.010875587725815173,68.97213511202698
af,2040,27,250.10335455847343,107.91463922153741,9.739872186068597,68.30258600406478,185.95709741167082,64.1263513671959,0.019905779606739556,64.14625714680263
apac,2025,27,255.0933905967741,193.16292603585643,0.9071318416401268,-7.659260594520328,186.41079728297623,68.63478146212452,0.047811851673355145,68.68259331379788
apac,2030,27,175.78683292971922,123.57777146876857,0.6814963890054484,2.3303262466940216,126.58959410446803,49.113904002747695,0.08333482250348495,49.197238825251176
apac,2035,27,134.74135238869155,109.88058862820317,0.030393214079513106,0.12009007600858437,110.03107191829127,24.60770775507811,0.10257271532216235,24.710280470400274
apac,2040,27,118.36920441157797,99.28554581436956,1.7859988438802614e-08,4.0758812115092905e-08,99.28554587298835,18.957658538904774,0.1259999996848342,19.083658538589606
ch,2025,27,163.323725924374,163.02068244500413,0.011193802552185142,-0.032935585807188826,162.99894066174915,0.001320891219448111,0.32346437140539447,0.3247852626248426
ch,2030,27,108.16765481532128,107.50540022366759,0.05294132004556972,-0.16609917501647378,107.39224236869669,0.427910450923664,0.3475019957009389,0.7754124466246028
ch,2035,27,95.9088331116618,95.575833018134,4.6460760027101656e-09,4.83663767588513e-10,95.57583302326374,8.862079530501954e-08,0.33299999977727696,0.33300008839807227
ch,2040,27,86.65125726868688,86.33525722093844,6.836186809092512e-09,3.0672687135046126e-09,86.33525723084189,3.815121548513658e-08,0.31599999969374687,0.31600003784496233
eu,2025,27,325.57262091018356,216.39362469052605,12.698220062818185,43.32851145192559,272.4203562052698,53.10331998540138,0.04894471951241286,53.15226470491379
eu,2030,27,274.758417483718,152.0779590172134,10.815979037436035,44.57758315763301,207.47152121228245,67.23615462076965,0.050741650665939435,67.2868962714356
eu,2035,27,247.81306015218863,147.58419537878575,9.233720910274148,34.0746093073043,190.8925255963642,56.87164631477004,0.04888824105437567,56.92053455582442
eu,2040,27,256.8098688568549,139.52313056839284,7.027335658344275,25.221921781213,171.7723880079501,84.98779392103573,0.049686927869051226,85.03748084890478
row,2025,27,334.2630858919233,220.65312591226467,12.351402171434612,75.18826216014907,308.1927902438484,26.035164492792088,0.035131155282828466,26.070295648074914
row,2030,27,234.3384635198641,167.20442819896675,9.500624072376784,35.53629635693145,212.241348628275,22.044343464021146,0.052771427567951515,22.097114891589097
row,2035,27,207.35741080417253,151.89315088565465,9.716147118963713,21.714342012411585,183.32364001702996,23.964391010635342,0.06937977650722939,24.033770787142572
row,2040,27,214.07638978415787,146.9969047461555,7.927931358088549,20.889562565903677,175.81439867014774,38.184593580927725,0.07739753308242212,38.26199111401015
us,2025,27,326.64899219376866,203.5723343996333,10.408034124907456,68.88454840908092,282.8649169336217,43.74316047489156,0.040914785255432136,43.78407526014699
us,2030,27,274.6709194262997,185.23428582854936,4.720745537340583,14.907725636352476,204.86275700224243,69.75529550716232,0.05286691689494442,69.80816242405726
us,2035,27,231.87994305699308,163.9167288049457,5.4239603264438205,14.22584648506434,183.56653561645385,48.25634087852269,0.0570665620165511,48.313407440539244
us,2040,27,211.95975969335746,148.31269100080596,4.990041106064662,10.006201249096147,163.3089333559668,48.58909095138907,0.06173538600161969,48.65082633739069
