importer,year,exporter,median_delivered_offer,active_profiles
af,2025,af,180.93,17
af,2025,apac,248.37263390615217,5
af,2025,ch,343.41057393192347,19
af,2025,eu,337.4818577408754,1
af,2025,row,466.45413557367624,2
af,2030,af,119.25942540354018,18
af,2030,apac,232.46571269894196,10
af,2030,ch,279.1704766660688,11
af,2030,eu,252.6647924180496,3
af,2030,row,285.83862339989435,5
af,2030,us,243.13228194729678,4
af,2035,af,106.08917463044914,24
af,2035,apac,238.84043447616529,7
af,2035,ch,241.8247652149045,7
af,2035,eu,206.86130693308223,2
af,2035,row,267.09890996197805,10
af,2035,us,237.2358112744603,6
af,2040,af,95.83213549134676,15
af,2040,apac,178.61092453933497,15
af,2040,ch,196.6699844741632,10
af,2040,eu,170.9321165756635,1
af,2040,row,257.92938074062204,2
af,2040,us,220.87272991198725,3
apac,2025,apac,187.45,27
apac,2025,ch,347.9817742258767,1
apac,2025,eu,166.84743343356408,1
apac,2025,us,107.50609644003552,1
apac,2030,apac,123.55706235501908,26
apac,2030,ch,214.86583881790017,2
apac,2030,us,112.545478104688,1
apac,2035,apac,109.9122079504653,27
apac,2035,ch,163.80565561083915,1
apac,2040,apac,99.2855457793232,27
ch,2025,apac,161.7476754524361,1
ch,2025,ch,163.0,27
ch,2030,apac,95.27280480763017,1
ch,2030,ch,107.44092378697312,27
ch,2035,ch,95.5758330004046,27
ch,2040,ch,86.33525719941149,27
eu,2025,af,150.94426398946217,5
eu,2025,apac,243.49214424045078,18
eu,2025,ch,291.0494979249695,15
eu,2025,eu,299.25,15
eu,2025,us,281.1332085007352,7
eu,2030,af,119.7166936791506,9
eu,2030,apac,203.55751891167236,21
eu,2030,ch,251.9504981306497,7
eu,2030,eu,197.24967143099207,22
eu,2030,row,335.9420924268139,3
eu,2030,us,223.27949703116215,7
eu,2035,af,91.07492627898388,3
eu,2035,apac,202.98239505421608,21
eu,2035,ch,208.39719212070247,6
eu,2035,eu,175.4666750022766,21
eu,2035,row,269.15333857910946,4
eu,2035,us,204.1768971986576,13
eu,2040,af,102.0467239408878,11
eu,2040,apac,170.30938459123794,17
eu,2040,ch,196.49405904678463,3
eu,2040,eu,158.50199826333673,25
eu,2040,row,262.8955169637092,9
eu,2040,us,209.51892144816733,9
row,2025,af,152.2449186103176,4
row,2025,apac,282.7899705159616,13
row,2025,ch,325.7325036917505,17
row,2025,eu,247.83697415992648,7
row,2025,row,353.38,5
row,2025,us,219.89631042514688,1
row,2030,apac,179.33574615160416,16
row,2030,ch,224.04866578739288,9
row,2030,eu,145.9009714063975,4
row,2030,row,232.92928618307093,16
row,2035,apac,160.18170332659673,12
row,2035,ch,196.81803161338004,5
row,2035,eu,92.6554105889505,2
row,2035,row,207.20606052566248,17
row,2040,af,80.80804868177928,1
row,2040,apac,162.38557533405128,13
row,2040,ch,183.66383863242268,6
row,2040,eu,166.94060439413184,1
row,2040,row,187.1727189517057,18
row,2040,us,184.50743189752689,3
us,2025,af,153.24392813481467,1
us,2025,apac,252.02731591822013,15
us,2025,ch,311.85443718486624,16
us,2025,eu,244.68142880506934,2
us,2025,row,459.5018283538932,1
us,2025,us,321.25,5
us,2030,af,130.56971816153452,2
us,2030,apac,190.96889037603853,12
us,2030,ch,222.7759567604981,5
us,2030,eu,127.20736873745304,2
us,2030,row,336.29244044732445,4
us,2030,us,211.75090040837492,21
us,2035,af,93.37140170319057,2
us,2035,apac,172.5555135797163,10
us,2035,ch,228.2116885700847,5
us,2035,eu,159.14882916798658,3
us,2035,row,237.6655160808488,3
us,2035,us,188.3664806833128,20
us,2040,af,83.22759727318518,2
us,2040,apac,160.5201473536283,14
us,2040,ch,185.40181476209176,3
us,2040,eu,123.44050867243054,3
us,2040,row,219.5563085741361,2
us,2040,us,170.1546096644843,22
