importer,year,exporter,mean_share,mean_flow_gw,active_profiles
af,2025,af,0.2140740740944468,2.1407407405600964,17
af,2025,apac,0.12222220261087788,1.2222220256791982,5
af,2025,ch,0.5903703399551026,5.903703398766732,19
af,2025,eu,0.024444452425806035,0.24444452422494362,1
af,2025,row,0.048888922479116026,0.4888892247095484,2
af,2025,us,8.434650722762563e-09,8.434650719830989e-08,0
af,2030,af,0.26764273890218987,3.7469983438320784,18
af,2030,apac,0.272572323600264,3.816012529934281,10
af,2030,ch,0.2497171614129005,3.4960402586657837,11
af,2030,eu,0.06491515034374554,0.9088121047514556,3
af,2030,row,0.11587431444220925,1.6222404020551375,5
af,2030,us,0.02927831129869077,0.4098963581015593,4
af,2035,af,0.35265292239420565,7.053058446783986,24
af,2035,apac,0.14936657148456192,2.987331429475848,7
af,2035,ch,0.12706245048835316,2.5412490092396705,7
af,2035,eu,0.03873130589565029,0.7746261177735213,2
af,2035,row,0.22044631713145132,4.4089263416885345,10
af,2035,us,0.1117404326057776,2.2348086518807313,6
af,2040,af,0.20565315379974486,5.758288305627848,15
af,2040,apac,0.38192380981327206,10.693866673454439,15
af,2040,ch,0.2491734403423807,6.976856328469966,10
af,2040,eu,0.022637046959458843,0.6338373148555986,1
af,2040,row,0.07407407938714394,2.074074222257437,2
af,2040,us,0.06653846969799956,1.8630771513151112,3
apac,2025,af,3.2722728396621497e-10,1.636136419379918e-08,0
apac,2025,apac,0.9414814804677168,47.07407401878201,27
apac,2025,ch,0.011111111031742015,0.555555551450385,1
apac,2025,eu,0.016296296411335138,0.8148148205068525,1
apac,2025,row,3.167145027256584e-10,1.583572513277451e-08,0
apac,2025,us,0.03111111144526422,1.5555555721405454,1
apac,2030,af,1.95227172437547e-10,1.659430965448216e-08,0
apac,2030,apac,0.9510848033796019,80.84220828110746,26
apac,2030,ch,0.04115914831229186,3.4985276064481194,2
apac,2030,eu,2.387707849042539e-10,2.029551671362644e-08,0
apac,2030,row,2.0744396553699967e-10,1.7632737068000297e-08,0
apac,2030,us,0.0077560476666642545,0.6592640516500844,1
apac,2035,af,1.8167771073200924e-10,1.871280420276081e-08,0
apac,2035,apac,0.9977944642323814,102.77282980925594,27
apac,2035,ch,0.0022055349249358197,0.22717009725496992,1
apac,2035,eu,2.0458532707789915e-10,2.107228868624348e-08,0
apac,2035,row,2.580842828200591e-10,2.6582681126781597e-08,0
apac,2035,us,1.9833549422221401e-10,2.0428555902213763e-08,0
apac,2040,af,1.6004055449839792e-10,2.016510986459173e-08,0
apac,2040,apac,0.9999999987809919,125.9999998384292,27
apac,2040,ch,4.860727040785076e-10,6.124516070769107e-08,0
apac,2040,eu,1.776360978461917e-10,2.2382148326027133e-08,0
apac,2040,row,1.976263774104754e-10,2.490092355096423e-08,0
apac,2040,us,1.9763242871963385e-10,2.490168601595889e-08,0
ch,2025,af,1.9150690594440682e-11,6.2048237524276155e-09,0
ch,2025,apac,0.0008459073449308021,0.2740739797496041,1
ch,2025,ch,0.9991540925739021,323.7259259901709,27
ch,2025,eu,2.029216532146325e-11,6.574661563981886e-09,0
ch,2025,row,2.2083564640748483e-11,7.155074943423098e-09,0
ch,2025,us,1.9640763765736516e-11,6.363607459934215e-09,0
ch,2030,af,3.154622888756718e-11,1.1041180110240422e-08,0
ch,2030,apac,0.004000736501891797,1.400257775657552,1
ch,2030,ch,0.9959992633511088,348.59974216729756,27
ch,2030,eu,3.6725210013399434e-11,1.2853823504209865e-08,0
ch,2030,row,4.592289392289355e-11,1.6073012872403366e-08,0
ch,2030,us,3.28050077563932e-11,1.1481752714315167e-08,0
ch,2035,af,4.245158868481299e-11,1.4136379031415476e-08,0
ch,2035,apac,1.2197775153285228e-10,4.061859125864802e-08,0
ch,2035,ch,0.9999999996755413,332.9999998853217,27
ch,2035,eu,4.603871812669998e-11,1.5330893135555565e-08,0
ch,2035,row,6.789091290272366e-11,2.2607673995642136e-08,0
ch,2035,us,4.609966908680303e-11,1.535118980526912e-08,0
ch,2040,af,5.246361984747727e-11,1.657850387100482e-08,0
ch,2040,apac,2.0837659321794195e-10,6.584700345336941e-08,0
ch,2040,ch,0.999999999528263,315.9999998428157,27
ch,2040,eu,6.084173971945781e-11,1.9225989750372845e-08,0
ch,2040,row,8.00276905716961e-11,2.5288750219348025e-08,0
ch,2040,us,7.00273130084194e-11,2.212863090952462e-08,0
eu,2025,af,0.00839506088317213,0.6296295662178892,5
eu,2025,apac,0.39585138035762085,29.68885352594412,18
eu,2025,ch,0.29945678686173033,22.45925901427338,15
eu,2025,eu,0.15111111095666171,11.33333332138344,15
eu,2025,row,4.757988735780598e-07,3.568491551656303e-05,0
eu,2025,us,0.14518518514194134,10.888888885168164,7
eu,2030,af,0.021322881167121183,1.91905930497888,9
eu,2030,apac,0.4581540149593999,41.2338613448483,21
eu,2030,ch,0.13610625185785372,12.24956266678352,7
eu,2030,eu,0.2706974875833498,24.362773881468613,22
eu,2030,row,0.03911018277511085,3.5199164496042563,3
eu,2030,us,0.07460918165716444,6.714826349090502,7
eu,2035,af,0.007729397065222841,0.7342927211673066,3
eu,2035,apac,0.3838993545252052,36.47043867869243,21
eu,2035,ch,0.06651422865926106,6.318851722417711,6
eu,2035,eu,0.34074165304864873,32.370457038655054,21
eu,2035,row,0.028642506839164007,2.72103814951258,4
eu,2035,us,0.1724728598624981,16.38492168579296,13
eu,2040,af,0.04170875203103472,4.129166450851629,11
eu,2040,apac,0.26270685284162887,26.00797843021359,17
eu,2040,ch,0.05675537453181638,5.618782078558701,3
eu,2040,eu,0.461991051048497,45.737114051523484,25
eu,2040,row,0.07208839694069426,7.1367512966799245,9
eu,2040,us,0.10474957260632874,10.370207687279981,9
row,2025,af,0.01119341542000156,0.5037036938805781,4
row,2025,apac,0.2204115980218474,9.918521910609616,13
row,2025,ch,0.4581069219894183,20.614811488721905,17
row,2025,eu,0.10897119225301813,4.903703651090564,7
row,2025,row,0.16674897023698476,7.503703660099516,5
row,2025,us,0.03456790207872981,1.5555555934761656,1
row,2030,af,6.800025535577255e-10,4.760017874434987e-08,0
row,2030,apac,0.26667080765226375,18.666956534179707,16
row,2030,ch,0.2772095585053749,19.40466909475531,9
row,2030,eu,0.04966155342053716,3.4763087393381853,4
row,2030,row,0.4064580791545095,28.4520655399682,16
row,2030,us,5.873120699099491e-10,4.111184488949856e-08,0
row,2035,af,5.787711468792591e-10,4.572292059849933e-08,0
row,2035,apac,0.3716514667715022,29.36046587404236,12
row,2035,ch,0.15870992391857294,12.538083989320652,5
row,2035,eu,0.0452649480170097,3.575930893052665,2
row,2035,row,0.4243736601457975,33.52551914940966,17
row,2035,us,5.683464973231182e-10,4.489937328393045e-08,0
row,2040,af,0.004535997238144315,0.4037037541870876,1
row,2040,apac,0.2903873678232926,25.844475735185725,13
row,2040,ch,0.1353642690436218,12.047419944483734,6
row,2040,eu,0.004175604544613769,0.37162880445341895,1
row,2040,row,0.5378802346219625,47.87134087841872,18
row,2040,us,0.02765652672836492,2.461430878744327,3
us,2025,af,0.0027983548955933003,0.12592597027959762,1
us,2025,apac,0.4047743590448929,18.21484615485927,15
us,2025,ch,0.39654249441564426,17.84441224663141,16
us,2025,eu,0.02057613172533986,0.9259259274939069,2
us,2025,row,0.002469139060778568,0.1111112576930095,1
us,2025,us,0.1728395208577511,7.777778437007631,5
us,2030,af,0.0024719353651232283,0.16067579872913948,2
us,2030,apac,0.20479559627580737,13.311713757260362,12
us,2030,ch,0.07751137423789974,5.0382393244944765,5
us,2030,eu,0.03974641767398132,2.583517148780022,2
us,2030,row,0.020554425781097254,1.3360376757298995,4
us,2030,us,0.654920250666091,42.56981628724853,21
us,2035,af,0.006984148091951046,0.4888903663493403,2
us,2035,apac,0.2504794337161829,17.53356035754735,10
us,2035,ch,0.041201153201443456,2.8840807240038906,5
us,2035,eu,0.06259339750092784,4.381537823883989,3
us,2035,row,0.021581753806419583,1.5107227660477482,3
us,2035,us,0.6171601136830751,43.20120795396597,20
us,2040,af,0.005794377279826955,0.43457829581486007,2
us,2040,apac,0.2678337149439314,20.0875286191823,14
us,2040,ch,0.025168129884882942,1.8876097408887773,3
us,2040,eu,0.044264450653533065,3.3198337981810857,3
us,2040,row,0.011471969992445551,0.8603977491820174,2
us,2040,us,0.6454673572453801,48.41005178730134,22
