importer,year,candidate,market_price_usd_per_kw,median_price_usd_per_kw,supplier_mix_distance,n_equilibria
af,2025,eu-us-af-row-apac-ch/pf100_k050_a030,357.2671874880048,357.2671874880048,0.6799999580913164,27
af,2030,eu-us-af-row-apac-ch/pf120_k050_a030,283.4940944076927,283.4940944076927,0.585924542656565,27
af,2035,af-eu-us-apac-row-ch/pf120_k050_a030,257.79953759369687,257.79953759369687,0.5955041073293126,27
af,2040,eu-us-af-row-apac-ch/pf120_k100_a040,224.69888596976816,224.69888596976816,0.2711013838644896,27
apac,2025,eu-us-af-row-apac-ch/pf120_k050_a040,256.20596689081776,256.20596689081776,7.647879985604052e-10,27
apac,2030,ch-af-apac-eu-row-us/pf100_k050_a040,165.03144166829185,165.03144166829185,1.5522050386351966e-09,27
apac,2035,ch-af-apac-eu-row-us/pf120_k050_a040,123.52392457972468,123.52392457972468,8.322468593459088e-10,27
apac,2040,af-eu-us-apac-row-ch/pf100_k050_a040,105.93406441907103,105.93406441907103,2.1171933661248666e-09,27
ch,2025,ch-af-apac-eu-row-us/pf100_k050_a040,163.32399999936524,163.32399999935828,1.3828600754596792e-11,27
ch,2030,ch-af-apac-eu-row-us/pf120_k050_a030,107.79092379883556,107.79092380674962,3.3537805949319524e-11,27
ch,2035,eu-us-af-row-apac-ch/pf100_k050_a040,95.90883302502486,95.90883302354376,6.042711892601714e-11,27
ch,2040,eu-us-af-row-apac-ch/pf100_k100_a040,86.65125730273166,86.65125722142713,2.3058659593719907e-11,27
eu,2025,eu-us-af-row-apac-ch/pf100_k050_a040,318.3266495727938,318.3266495727938,0.7013333146845033,27
eu,2030,ch-af-apac-eu-row-us/pf080_k050_a040,261.6210509230561,261.6210509230561,1.4896397595640773,27
eu,2035,eu-us-af-row-apac-ch/pf080_k050_a030,242.42674585299835,242.42674585299835,0.9636337737195937,27
eu,2040,af-eu-us-apac-row-ch/pf100_k100_a040,222.38412924055797,222.38412924055797,0.3658613599147322,27
row,2025,ch-af-apac-eu-row-us/pf080_k100_a040,330.21861105858505,330.21861105858505,0.5644444352492303,27
row,2030,af-eu-us-apac-row-ch/pf100_k100_a040,232.96395831340485,232.96395831340485,0.3054059985256323,27
row,2035,af-eu-us-apac-row-ch/pf100_k050_a040,207.2255663914782,207.2255663914782,0.753089640202475,27
row,2040,af-eu-us-apac-row-ch/pf080_k050_a030,187.26171945050572,187.26171895117164,0.2145313605505593,27
us,2025,ch-af-apac-eu-row-us/pf120_k100_a040,317.9923607561448,317.9923607561448,1.0888888982919591,27
us,2030,af-eu-us-apac-row-ch/pf120_k100_a030,262.99696822525607,262.99696822525607,0.7492470330396154,27
us,2035,ch-af-apac-eu-row-us/pf120_k100_a040,228.2403968500441,228.2403968500441,0.740939019045194,27
us,2040,eu-us-af-row-apac-ch/pf120_k100_a040,202.79927714720503,202.79927714720503,0.9290859447629759,27
