year,exporter,importer,active_profiles,median_flow_gw,median_offer_usd_per_kw,median_delivered_usd_per_kw,median_offer_minus_cost,median_operating_margin,below_cost_profiles
2025,apac,af,5,6.5999994872503,235.20001776923286,248.37263390615217,47.75001776923287,121.323357812229,0
2025,apac,ch,1,7.399996496115494,148.51478250215087,161.7476754524361,-38.93521749784912,-37.36629295533504,1
2025,apac,eu,18,52.999998398537514,227.18497072781838,243.4921442404508,39.73497072781839,124.53743866796512,3
2025,apac,row,13,15.000000727021186,263.90755579940367,282.7899705159616,76.45755579940368,140.19225498929677,0
2025,apac,us,15,44.999913546239476,238.31723511137417,252.02731591822015,50.867235111374185,117.46022880627628,0
2025,ch,af,19,9.999997435645946,332.91057393192347,343.41057393192347,169.91057393192347,169.92057376297169,0
2025,ch,apac,1,14.999998863717373,334.201352646995,347.9817742258767,171.20135264699502,171.21635255141808,0
2025,ch,eu,15,37.99999955767455,274.9314979249695,291.0494979249695,111.9314979249695,111.953097905525,0
2025,ch,row,17,37.599913824211676,311.1360513821446,325.7325036917505,148.13605138214461,148.15565133640953,0
2025,ch,us,16,41.49999185723178,300.7214371848663,311.85443718486624,137.7214371848663,137.76643711165457,0
2030,apac,af,10,8.291616740014756,219.29309656202264,232.46571269894196,95.73603420700354,139.67119873654164,0
2030,apac,ch,1,37.806959402496666,82.0399118573449,95.27280480763015,-41.51715049767418,-29.036838475418918,1
2030,apac,eu,21,56.885564790837385,187.2503453990399,203.55751891167233,63.693283044020816,121.75681505540459,0
2030,apac,row,16,25.607109679568964,160.45333143504624,179.33574615160418,36.89626908002715,90.52960979969362,5
2030,apac,us,12,26.11438001523329,177.25880956919258,190.96889037603856,53.701747214173494,109.63771853627365,0
2030,ch,af,11,8.100018671578033,268.6704766660688,279.1704766660688,161.22955287909565,161.23130246726282,0
2030,ch,apac,2,47.23012214535444,201.0854172390185,214.86583881790017,93.64449345204538,93.69172348045157,0
2030,ch,eu,7,54.007416070625986,235.8324981306497,251.9504981306497,128.39157434367655,128.45195904325573,0
2030,ch,row,9,69.99999851293069,209.45221347778698,224.04866578739288,102.01128969081385,103.21433693798845,0
2030,ch,us,5,34.54444817514084,211.6429567604981,222.7759567604981,104.20203297352496,104.24553524098329,0
2035,apac,af,7,11.620316331481282,225.66781833924597,238.84043447616529,115.75561038878067,131.51834220112147,0
2035,apac,eu,21,50.148924021130455,186.67522154158365,202.98239505421608,76.76301359111835,115.72498163798431,0
2035,apac,row,12,71.04192210317177,141.2992886100388,160.18170332659673,31.3870806595735,78.19208979300167,1
2035,apac,us,10,46.98183906096237,158.8454327728703,172.5555135797163,48.93322482240501,90.56065551087254,0
2035,ch,af,7,11.600021976481903,231.32476521490452,241.82476521490452,135.74893221449992,135.7605381632564,0
2035,ch,apac,1,6.133591588729083,150.0252340319575,163.80565561083915,54.44940103155288,54.45553400442259,0
2035,ch,eu,6,28.144973334290434,192.27919212070245,208.39719212070244,96.70335912029783,96.75268407329985,0
2035,ch,row,5,78.9999994049301,182.22157930377415,196.81803161338004,86.64574630336953,86.72474630191188,0
2035,ch,us,5,10.786831634993602,217.0786885700847,228.2116885700847,121.50285556968008,121.53156384963954,0
2040,apac,af,15,17.40882951200384,165.43830840241566,178.61092453933497,66.15276262309244,101.368151966461,0
2040,apac,eu,17,45.29738752424225,154.0022110786055,170.30938459123794,54.7166652992823,86.9598996397614,0
2040,apac,row,13,61.91344520519471,143.50316061749334,162.38557533405128,44.21761483817012,68.83828452158366,0
2040,apac,us,14,39.30546509067652,146.8100665467823,160.5201473536283,47.524520767459094,88.66564901790129,0
2040,ch,af,10,17.48110836702005,186.1699844741632,196.6699844741632,99.8347272747517,99.85155125797245,0
2040,ch,eu,3,48.19400949853849,180.37605904678463,196.49405904678463,94.04080184737315,94.04531340405335,0
2040,ch,row,6,51.76495713795113,169.0673863228168,183.66383863242268,82.7321291234053,82.81287579975269,0
2040,ch,us,3,5.2280660986051615,174.26881476209175,185.40181476209176,87.93355756268026,87.97833737959829,0
