candidate,year,exporter,importer,flow_gw,demand_gw,market_price_usd_per_kw,offer_usd_per_kw,delivered_offer_usd_per_kw,manufacturing_cost_usd_per_kw,shipping_usd_per_kw,operating_margin_usd_per_kw,share_of_market,active,offer_minus_cost_usd_per_kw,gw_per_1gw_demand,flow_term,offer_capacity_dual,region,capacity_gw,output_gw,unused_capacity_gw
eu-us-af-row-apac-ch/pf080_k050_a040,2025,ch,ch,316.6000034273289,323.9999999905708,163.3165999949502,163.0,163.0,163.0,0.0,0.3165999949501952,0.9771605044337738,True,0.0,0.9771605044337738,0.3166000034273289,-8.477133717210705e-09,ch,931.0,371.6000023648784,559.3999976351215
eu-us-af-row-apac-ch/pf080_k050_a040,2025,ch,us,44.99999859749031,44.99999998771806,293.9342815286641,282.75628161763143,293.8892816176314,163.0,11.133,119.80128152866408,0.99999996910605,True,119.75628161763144,0.9999999691060499,0.044999998597490314,-8.756481455901577e-08,ch,931.0,371.6000023648784,559.3999976351215
eu-us-af-row-apac-ch/pf080_k050_a040,2025,ch,af,9.99999938872799,9.999999996061826,319.6987224668909,309.1887229856782,319.6887229856782,163.0,10.5,146.1987224668909,0.9999999392666165,True,146.18872298567825,0.9999999392666163,0.00999999938872799,-5.181760541900227e-07,ch,931.0,371.6000023648784,559.3999976351215
eu-us-af-row-apac-ch/pf080_k050_a040,2025,eu,row,21.999999856796688,44.99999999461053,350.8302397744465,193.365440011186,201.8017281768487,299.25,8.436288165662685,43.14395160878382,0.4888888857651453,True,-105.88455998881398,0.4888888857651453,0.02199999985679669,149.006511597741,eu,22.0,21.99999997866696,2.1333040223225908e-08
eu-us-af-row-apac-ch/pf080_k050_a040,2025,us,eu,41.99999987289704,74.99999999452122,355.99228317752187,213.00864555069097,222.40564555069096,321.25,9.397,25.34528317752187,0.5599999983462021,True,-108.24135444930904,0.5599999983462022,0.04199999987289704,133.544637626958,us,42.0,41.999999974494266,2.5505734413400205e-08
eu-us-af-row-apac-ch/pf080_k050_a040,2025,apac,ch,7.399996496115494,323.9999999905708,163.3165999949502,148.5147825021509,161.7476754524361,187.45,13.23289295028525,-37.36629295533504,0.0228394953590458,True,-38.93521749784912,0.02283949535904584,0.007399996496115494,1.561524546017967,apac,110.0,109.99999539015496,4.609845035474791e-06
eu-us-af-row-apac-ch/pf080_k050_a040,2025,apac,eu,29.600000389031315,74.99999999452122,355.99228317752187,338.0939849806132,354.40115849324565,187.45,16.30717351263244,152.23510966488945,0.3946666718825814,True,150.6439849806132,0.3946666718825814,0.029600000389031315,1.5615246838871926,apac,110.0,109.99999539015496,4.609845035474791e-06
eu-us-af-row-apac-ch/pf080_k050_a040,2025,apac,apac,49.99999987862997,49.99999999029525,189.0615247636592,187.45,187.45,187.45,0.0,1.6115247636592187,0.9999999977666943,True,0.0,0.9999999977666945,0.04999999987862997,1.5615247637805887,apac,110.0,109.99999539015496,4.609845035474791e-06
eu-us-af-row-apac-ch/pf080_k050_a040,2025,apac,row,22.999998451654093,44.99999999461053,350.8302397744465,330.36330039379897,349.2457151103569,187.45,18.88241471655794,144.49782505788858,0.511111076764638,True,142.91330039379898,0.511111076764638,0.022999998451654093,1.5615246656379453,apac,110.0,109.99999539015496,4.609845035474791e-06
eu-us-af-row-apac-ch/pf080_k050_a040,2025,af,eu,3.3999992922949565,74.99999999452122,355.99228317752187,144.74426398946218,150.94426398946217,180.93,6.2,168.86228317752187,0.0453333239005777,True,-36.18573601053782,0.045333323900577704,0.0033999992922949564,205.0446191887674,af,3.4,3.399999986129805,1.387019477050444e-08
eu-us-af-row-apac-ch/pf080_k050_a040,2030,ch,ch,349.9999998671054,349.9999999919946,107.79092387918828,107.44092378697312,107.44092378697312,107.44092378697312,0.0,0.35000009221514,0.9999999996431737,True,0.0,0.9999999996431735,0.3499999998671054,9.234806308544563e-08,ch,396.8346908210684,364.3214870918136,32.51320372925488
eu-us-af-row-apac-ch/pf080_k050_a040,2030,ch,eu,6.134429795525071,89.99999999531893,262.92222791677204,246.7980939602033,262.91609396020334,107.44092378697312,16.118,139.3633041297989,0.0681603310649348,True,139.3571701732302,0.06816033106493483,0.006134429795525071,-4.732268215458871e-07,ch,396.8346908210684,364.3214870918136,32.51320372925488
eu-us-af-row-apac-ch/pf080_k050_a040,2030,ch,af,8.187057255501603,13.999999995778015,358.13097453929845,347.6227878057863,358.1227878057863,107.44092378697312,10.5,240.1900507523253,0.5847898041407554,True,240.18186401881317,0.5847898041407554,0.008187057255501604,-3.237433401220846e-07,ch,396.8346908210684,364.3214870918136,32.51320372925488
eu-us-af-row-apac-ch/pf080_k050_a040,2030,eu,row,34.45421236332438,69.99999999553219,232.9648319181143,157.81386224795165,166.25015041361434,197.24967143099207,8.436288165662685,27.27887232145955,0.4922030337931921,True,-39.43580918304042,0.49220303379319214,0.03445421236332438,66.68022729213664,eu,34.4542156696485,34.45421562020531,4.9443187322140154e-08
eu-us-af-row-apac-ch/pf080_k050_a040,2030,us,us,64.86949898874771,64.99999998271421,375.9767603906702,211.75090040837492,211.75090040837492,211.75090040837492,0.0,164.22585998229528,0.9979922923999812,True,0.0,0.9979922923999813,0.0648694989887477,164.16099048330656,us,64.8694991133358,64.86949909181453,2.1521273652069798e-08
