year,importer,exporter,mean_flow_gw,median_flow_gw,mean_share,median_share,active_profiles
2025,af,af,2.1407407405600964,3.3999995187824488,0.2140740740944468,0.3399999519360462,17
2025,af,apac,1.2222220256791982,2.176243889448264e-08,0.12222220261087788,2.1762438900818153e-09,5
2025,af,ch,5.903703398766732,6.599999992866801,0.5903703399551026,0.6599999993026425,19
2025,af,eu,0.24444452422494362,1.9437290355254542e-08,0.024444452425806035,1.9437290356040546e-09,1
2025,af,row,0.4888892247095484,6.070595524694114e-08,0.048888922479116026,6.070595525624816e-09,2
2025,af,us,8.434650719830989e-08,1.3524936545192333e-08,8.434650722762563e-09,1.3524936549147648e-09,0
2025,apac,af,1.636136419379918e-08,5.08456101027476e-09,3.2722728396621497e-10,1.0169122021297145e-10,0
2025,apac,apac,47.07407401878201,49.999999908832095,0.9414814804677168,0.9999999982957928,27
2025,apac,ch,0.5555555514503852,2.162983237067734e-08,0.011111111031742015,4.3259664742118224e-10,1
2025,apac,eu,0.8148148205068525,4.999473543612648e-09,0.016296296411335138,9.998947087663633e-11,1
2025,apac,row,1.583572513277451e-08,9.720725495509493e-09,3.1671450272565847e-10,1.9441450993536642e-10,0
2025,apac,us,1.5555555721405454,6.637121464412018e-09,0.03111111144526422,1.3274242929799947e-10,1
2025,ch,af,6.2048237524276155e-09,2.8000222759525447e-09,1.9150690594440682e-11,8.642044061633332e-12,0
2025,ch,apac,0.2740739797496041,6.155821426358208e-09,0.0008459073449308036,1.8999448846818007e-11,1
2025,ch,ch,323.7259259901709,323.9999999751501,0.9991540925739021,0.9999999999312763,27
2025,ch,eu,6.574661563981886e-09,3.257826389514211e-09,2.029216532146325e-11,1.0055019720803047e-11,0
2025,ch,row,7.155074943423098e-09,4.238397730358181e-09,2.2083564640748483e-11,1.3081474476518444e-11,0
2025,ch,us,6.363607459934215e-09,3.1029238626102165e-09,1.9640763765736516e-11,9.576925501940348e-12,0
2025,eu,af,0.6296295662178892,8.348505333782966e-09,0.008395060883172135,1.1131340445348383e-10,5
2025,eu,apac,29.68885352594412,15.000000446733726,0.39585138035762085,0.2000000059577275,18
2025,eu,ch,22.45925901427338,7.599999445271301,0.29945678686173033,0.10133332593849971,15
2025,eu,eu,11.33333332138344,15.000000063691015,0.15111111095666171,0.20000000085016262,15
2025,eu,row,3.568491551656498e-05,5.440179322586629e-08,4.757988735780598e-07,7.253572430451246e-10,0
2025,eu,us,10.888888885168164,2.3046124563377554e-08,0.14518518514194134,3.072816608534378e-10,7
2025,row,af,0.5037036938805781,1.6318186662160007e-08,0.011193415420001565,3.6262637027371833e-10,4
2025,row,apac,9.918521910609616,1.3572542834817155e-06,0.2204115980218474,3.0161206304640615e-08,13
2025,row,ch,20.614811488721905,19.60000138790654,0.4581069219894183,0.43555558639947084,17
2025,row,eu,4.903703651090564,1.2116088122378246e-08,0.10897119225301813,2.692464027221123e-10,7
2025,row,row,7.503703660099516,6.711715174080821e-08,0.16674897023698476,1.491492261042442e-09,5
2025,row,us,1.5555555934761653,5.173423504767505e-09,0.03456790207872981,1.1496496677385178e-10,1
2025,us,af,0.12592597027959762,1.0937592880137527e-08,0.0027983548955933034,2.430576196505445e-10,1
2025,us,apac,18.21484615485927,6.9999998989587295,0.4047743590448929,0.1555555533257609,15
2025,us,ch,17.84441224663141,2.999999401637036,0.39654249441564426,0.06666665338726699,16
2025,us,eu,0.9259259274939069,1.1944294009987629e-08,0.020576131725339866,2.654287558536603e-10,2
2025,us,row,0.1111112576930095,5.034291856445638e-08,0.0024691390607785688,1.1187315237351257e-09,1
2025,us,us,7.777778437007631,6.085089955754809e-08,0.1728395208577511,1.3522422124191005e-09,5
2030,af,af,3.7469983438320784,5.797056805290152,0.26764273890218987,0.41407548632185687,18
2030,af,apac,3.816012529934281,2.2500071144705065e-07,0.272572323600264,1.6071479392188053e-08,10
2030,af,ch,3.4960402586657837,4.424323120194383e-07,0.2497171614129005,3.160230800597258e-08,11
2030,af,eu,0.9088121047514556,4.028304405149487e-08,0.06491515034374554,2.877360289949828e-09,3
2030,af,row,1.6222404020551375,1.5712747889684914e-07,0.11587431444220926,1.122339135315958e-08,5
2030,af,us,0.4098963581015593,2.4860024010945787e-08,0.029278311298690782,1.7757160010394218e-09,4
2030,apac,af,1.659430965448216e-08,7.34278592790224e-09,1.9522717243754706e-10,8.638571680201346e-11,0
2030,apac,apac,80.84220828110746,84.99999994156303,0.9510848033796019,0.9999999993556805,26
2030,apac,ch,3.4985276064481194,9.425677883289786e-09,0.04115914831229186,1.1089032803926003e-10,2
2030,apac,eu,2.029551671362644e-08,6.490047910694516e-09,2.387707849042539e-10,7.635350483449637e-11,0
2030,apac,row,1.7632737068000297e-08,8.43310347009619e-09,2.0744396553699967e-10,9.921298200407609e-11,0
2030,apac,us,0.6592640516500844,7.157960436295576e-09,0.007756047666664255,8.421129925362013e-11,1
2030,ch,af,1.1041180110240422e-08,6.914832324766554e-09,3.154622888756718e-11,1.975666378528509e-11,0
2030,ch,apac,1.400257775657552,1.372520071901868e-08,0.004000736501891797,3.921485919766823e-11,1
2030,ch,ch,348.59974216729756,349.9999999444384,0.9959992633511088,0.9999999998505952,27
2030,ch,eu,1.2853823504209865e-08,5.3295080671090886e-09,3.6725210013399434e-11,1.522716590611652e-11,0
2030,ch,row,1.6073012872403362e-08,7.2136742620197884e-09,4.592289392289355e-11,2.0610497891677665e-11,0
2030,ch,us,1.1481752714315167e-08,7.37028880371657e-09,3.2805007756393204e-11,2.105796801081551e-11,0
2030,eu,af,1.91905930497888,7.856794826139242e-08,0.021322881167121204,8.729772029919084e-10,9
2030,eu,apac,41.2338613448483,54.41956042830733,0.4581540149593999,0.6046617825578984,21
2030,eu,ch,12.24956266678352,7.266103618549958e-08,0.13610625185785372,8.07344846591168e-10,7
2030,eu,eu,24.362773881468613,30.200528405544627,0.2706974875833498,0.33556142673001715,22
2030,eu,row,3.5199164496042563,1.0856041826905184e-07,0.03911018277511086,1.206226869698324e-09,3
2030,eu,us,6.714826349090502,4.575999932191815e-08,0.07460918165716446,5.084444369390802e-10,7
2030,row,af,4.760017874434987e-08,1.028789080540458e-08,6.800025535577255e-10,1.4696986865546755e-10,0
2030,row,apac,18.666956534179707,13.949404010398801,0.2666708076522638,0.19927720016203646,16
2030,row,ch,19.40466909475531,4.389541385247736e-08,0.2772095585053749,6.270773408349013e-10,9
2030,row,eu,3.4763087393381853,2.509730844606478e-08,0.049661553420537165,3.5853297781037024e-10,4
2030,row,row,28.4520655399682,34.67217602000657,0.4064580791545096,0.49531680030882885,16
2030,row,us,4.111184488949856e-08,7.264913334302511e-09,5.873120699099491e-10,1.0378447620506443e-10,0
2030,us,af,0.16067579872913948,2.3553525950413773e-08,0.002471935365123231,3.6236193771047515e-10,2
2030,us,apac,13.311713757260362,5.147483918346487e-07,0.20479559627580737,7.919206030143182e-09,12
