sequence,branch,status,selected_sweep,max_relative_gain,max_gain_percent,max_gain_player,all_six_solves_successful,local_one_percent_equilibrium,profile,audit
af-eu-us-apac-row-ch,pf080_k050_a030,no_pass_within_schedule,14,0.017866573835583266,1.7866573835583266,ch,True,False,outputs\pf080_low_start_20260920_171507\continued_anchors\basin_search\af-eu-us-apac-row-ch\pf080_k050_a030\sweep_014.json,outputs\pf080_low_start_20260920_171507\continued_anchors\basin_search\af-eu-us-apac-row-ch\pf080_k050_a030\audits\audit_sweep_014_one_start.json
af-eu-us-apac-row-ch,pf080_k050_a040,no_pass_within_schedule,1,0.02460607276532828,2.460607276532828,apac,True,False,outputs\pf080_low_start_20260920_171507\continued_anchors\basin_search\af-eu-us-apac-row-ch\pf080_k050_a040\sweep_001.json,outputs\pf080_low_start_20260920_171507\continued_anchors\basin_search\af-eu-us-apac-row-ch\pf080_k050_a040\audits\audit_sweep_001_one_start.json
af-eu-us-apac-row-ch,pf080_k100_a030,no_pass_within_schedule,10,0.012369752874120026,1.2369752874120026,apac,True,False,outputs\pf080_low_start_20260920_171507\continued_anchors\basin_search\af-eu-us-apac-row-ch\pf080_k100_a030\sweep_010.json,outputs\pf080_low_start_20260920_171507\continued_anchors\basin_search\af-eu-us-apac-row-ch\pf080_k100_a030\audits\audit_sweep_010_one_start.json
af-eu-us-apac-row-ch,pf080_k100_a040,no_pass_within_schedule,15,0.022848517316813862,2.2848517316813862,apac,True,False,outputs\pf080_low_start_20260920_171507\continued_anchors\basin_search\af-eu-us-apac-row-ch\pf080_k100_a040\sweep_015.json,outputs\pf080_low_start_20260920_171507\continued_anchors\basin_search\af-eu-us-apac-row-ch\pf080_k100_a040\audits\audit_sweep_015_one_start.json
ch-af-apac-eu-row-us,pf080_k050_a030,no_pass_within_schedule,12,0.018501648684550433,1.8501648684550433,apac,True,False,outputs\pf080_low_start_20260920_171507\ch_first_anchor\ch-af-apac-eu-row-us\pf080_k050_a030\sweep_012.json,outputs\pf080_low_start_20260920_171507\ch_first_anchor\ch-af-apac-eu-row-us\pf080_k050_a030\audits\audit_sweep_012_one_start.json
ch-af-apac-eu-row-us,pf080_k050_a040,no_pass_within_schedule,10,0.028936575501139934,2.8936575501139934,apac,True,False,outputs\pf080_low_start_20260920_171507\ch_first_anchor\ch-af-apac-eu-row-us\pf080_k050_a040\sweep_010.json,outputs\pf080_low_start_20260920_171507\ch_first_anchor\ch-af-apac-eu-row-us\pf080_k050_a040\audits\audit_sweep_010_one_start.json
ch-af-apac-eu-row-us,pf080_k100_a030,accepted,13,0.009271650270746641,0.9271650270746641,apac,True,True,outputs\pf080_low_start_20260920_171507\ch_first_anchor\ch-af-apac-eu-row-us\pf080_k100_a030\sweep_013.json,outputs\pf080_low_start_20260920_171507\ch_first_anchor\ch-af-apac-eu-row-us\pf080_k100_a030\audits\audit_sweep_013_one_start.json
ch-af-apac-eu-row-us,pf080_k100_a040,accepted,12,0.006054652145727381,0.6054652145727381,ch,True,True,outputs\pf080_low_start_20260920_171507\ch_first_anchor\ch-af-apac-eu-row-us\pf080_k100_a040\sweep_012.json,outputs\pf080_low_start_20260920_171507\ch_first_anchor\ch-af-apac-eu-row-us\pf080_k100_a040\audits\audit_sweep_012_one_start.json
eu-us-af-row-apac-ch,pf080_k050_a030,no_pass_within_schedule,15,0.019421104484677966,1.9421104484677966,apac,True,False,outputs\pf080_low_start_20260920_171507\continued_anchors\basin_search\eu-us-af-row-apac-ch\pf080_k050_a030\sweep_015.json,outputs\pf080_low_start_20260920_171507\continued_anchors\basin_search\eu-us-af-row-apac-ch\pf080_k050_a030\audits\audit_sweep_015_one_start.json
eu-us-af-row-apac-ch,pf080_k050_a040,no_pass_within_schedule,1,0.02560571121034757,2.560571121034757,ch,True,False,outputs\pf080_low_start_20260920_171507\continued_anchors\basin_search\eu-us-af-row-apac-ch\pf080_k050_a040\sweep_001.json,outputs\pf080_low_start_20260920_171507\continued_anchors\basin_search\eu-us-af-row-apac-ch\pf080_k050_a040\audits\audit_sweep_001_one_start.json
eu-us-af-row-apac-ch,pf080_k100_a030,no_pass_within_schedule,1,0.050175333293119004,5.0175333293119004,apac,True,False,outputs\pf080_low_start_20260920_171507\continued_anchors\basin_search\eu-us-af-row-apac-ch\pf080_k100_a030\sweep_001.json,outputs\pf080_low_start_20260920_171507\continued_anchors\basin_search\eu-us-af-row-apac-ch\pf080_k100_a030\audits\audit_sweep_001_one_start.json
eu-us-af-row-apac-ch,pf080_k100_a040,no_pass_within_schedule,11,0.024932219610776605,2.4932219610776605,apac,True,False,outputs\pf080_low_start_20260920_171507\continued_anchors\basin_search\eu-us-af-row-apac-ch\pf080_k100_a040\sweep_011.json,outputs\pf080_low_start_20260920_171507\continued_anchors\basin_search\eu-us-af-row-apac-ch\pf080_k100_a040\audits\audit_sweep_011_one_start.json
