candidate,candidate_code,sequence,order,branch,origin,price_factor,capacity_weight,damping,selected_sweep,max_gain_percent,limiting_player,multistart_status,year,total_capacity_gw,total_demand_gw,capacity_demand_ratio,mean_price_usd_per_kw,demand_weighted_price_usd_per_kw,price_dispersion_usd_per_kw,cross_border_trade_gw,cross_border_share,china_capacity_share,apac_capacity_share
ch-af-apac-eu-row-us/pf100_k050_a030,CH-pf100_k050_a030,ch-af-apac-eu-row-us,CH-first,pf100_k050_a030,older_ch_first,1,0.5,0.3,14,0.5181402831,apac,fails_1_percent,2035,805.5800216,700,1.150828602,171.8602147,140.2381839,48.02071992,256.378152,0.3662545029,0.6586395012,0.2914200647
ch-af-apac-eu-row-us/pf100_k050_a030,CH-pf100_k050_a030,ch-af-apac-eu-row-us,CH-first,pf100_k050_a030,older_ch_first,1,0.5,0.3,14,0.5181402831,apac,fails_1_percent,2040,863.8673907,732.9999999,1.178536686,155.8421781,128.9793242,44.21352796,283.4028423,0.3866341642,0.6145800115,0.3388847229
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,ch-af-apac-eu-row-us,CH-first,pf100_k050_a040,older_ch_first,1,0.5,0.4,10,0.5336679649,apac,fails_1_percent,2025,1401.4,549,2.552641166,250.4705059,207.9742132,54.54168687,174.9999998,0.3187613839,0.6643356643,0.07849293564
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,ch-af-apac-eu-row-us,CH-first,pf100_k050_a040,older_ch_first,1,0.5,0.4,10,0.5336679649,apac,fails_1_percent,2030,716.2397741,674,1.062670288,184.6141887,150.3469991,47.62620125,234.4140977,0.3477953972,0.7299008549,0.2409834445
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,ch-af-apac-eu-row-us,CH-first,pf100_k050_a040,older_ch_first,1,0.5,0.4,10,0.5336679649,apac,fails_1_percent,2035,758.1985996,700,1.083140857,174.2318945,141.3884173,49.73492213,256.3487682,0.366212526,0.6621469824,0.3104413711
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,ch-af-apac-eu-row-us,CH-first,pf100_k050_a040,older_ch_first,1,0.5,0.4,10,0.5336679649,apac,fails_1_percent,2040,815.3488993,733,1.11234502,156.2084602,129.6825343,44.57677225,283.3145192,0.3865136688,0.6122951659,0.3621813408
ch-af-apac-eu-row-us/pf100_k100_a040,CH-pf100_k100_a040,ch-af-apac-eu-row-us,CH-first,pf100_k100_a040,older_ch_first,1,1,0.4,10,0.9607367771,apac,fails_1_percent,2025,1401.4,549,2.552641166,253.1588792,208.3394573,55.16935991,174.9999988,0.3187613822,0.6643356643,0.07849293564
ch-af-apac-eu-row-us/pf100_k100_a040,CH-pf100_k100_a040,ch-af-apac-eu-row-us,CH-first,pf100_k100_a040,older_ch_first,1,1,0.4,10,0.9607367771,apac,fails_1_percent,2030,708.6428693,673.9999999,1.051398916,194.3704045,155.7177283,51.32978817,236.3704613,0.3506980139,0.7227743977,0.2445790905
ch-af-apac-eu-row-us/pf100_k100_a040,CH-pf100_k100_a040,ch-af-apac-eu-row-us,CH-first,pf100_k100_a040,older_ch_first,1,1,0.4,10,0.9607367771,apac,fails_1_percent,2035,745.8250473,700,1.065464353,173.634708,141.0948753,49.47744708,245.3656407,0.3505223439,0.6530757685,0.3164838931
ch-af-apac-eu-row-us/pf100_k100_a040,CH-pf100_k100_a040,ch-af-apac-eu-row-us,CH-first,pf100_k100_a040,older_ch_first,1,1,0.4,10,0.9607367771,apac,fails_1_percent,2040,795.1828817,732.9999999,1.084833399,157.4526325,129.9130081,45.42919824,288.6499694,0.3937925914,0.6117049817,0.3597846984
ch-af-apac-eu-row-us/pf120_k050_a030,CH-pf120_k050_a030,ch-af-apac-eu-row-us,CH-first,pf120_k050_a030,older_ch_first,1.2,0.5,0.3,13,0.7902826148,apac,fails_1_percent,2025,1401.4,549,2.552641166,251.6918829,207.6019361,53.91524786,174.9999991,0.3187613827,0.6643356643,0.07849293564
