candidate,candidate_code,sequence,order,branch,origin,price_factor,capacity_weight,damping,selected_sweep,max_gain_percent,limiting_player,multistart_status,region,region_label,year,price_usd_per_kw
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,ch,China,2025,163.324
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,af,Africa,2025,248.5090571
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,eu,EU,2025,294.1733321
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,us,US,2025,293.7491228
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,apac,APAC,2025,194.534241
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,row,ROW,2025,293.5978116
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,ch,China,2030,107.7909239
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,af,Africa,2030,229.717223
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,eu,EU,2030,255.5057732
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,us,US,2030,248.9109143
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,apac,APAC,2030,136.9022271
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,row,ROW,2030,252.7077959
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,ch,China,2035,95.908833
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,af,Africa,2035,189.8925819
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,eu,EU,2035,205.1420616
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,us,US,2035,206.3403643
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,apac,APAC,2035,112.1078515
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,row,ROW,2035,205.4820897
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,ch,China,2040,86.65125723
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,af,Africa,2040,248.0473843
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,eu,EU,2040,263.374174
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,us,US,2040,264.0194964
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,apac,APAC,2040,110.2384394
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,row,ROW,2040,262.6043112
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,ch,China,2025,163.324
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,af,Africa,2025,265.8118586
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,eu,EU,2025,286.9743891
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,us,US,2025,282.7344765
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,apac,APAC,2025,196.6829843
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,row,ROW,2025,293.4566154
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,ch,China,2030,107.7909238
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,low_price_reinitialization,0.8,1,0.4,12,0.6054652146,ch,not_yet_audited,af,Africa,2030,233.6756354
