candidate,candidate_code,figure_code,order,branch,family,pc1_score,pc2_score
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,C01,CH-first,pf080_k100_a030,Family 1,-2.1561995,0.9172829179
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,C02,CH-first,pf080_k100_a040,Family 1,-2.202206149,2.698264447
ch-af-apac-eu-row-us/pf100_k050_a030,CH-pf100_k050_a030,C03,CH-first,pf100_k050_a030,Family 1,-0.7831267281,-3.379376058
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,C04,CH-first,pf100_k050_a040,Family 1,-0.4400920898,-1.672220288
ch-af-apac-eu-row-us/pf100_k100_a040,CH-pf100_k100_a040,C05,CH-first,pf100_k100_a040,Family 1,-0.7726654846,1.594116904
ch-af-apac-eu-row-us/pf120_k050_a030,CH-pf120_k050_a030,C06,CH-first,pf120_k050_a030,Family 1,-0.8918306392,0.4575108319
ch-af-apac-eu-row-us/pf120_k050_a040,CH-pf120_k050_a040,C07,CH-first,pf120_k050_a040,Family 1,-2.687575185,1.811820969
ch-af-apac-eu-row-us/pf120_k100_a040,CH-pf120_k100_a040,C08,CH-first,pf120_k100_a040,Family 1,3.252367778,1.164709182
af-eu-us-apac-row-ch/pf100_k050_a040,AF-pf100_k050_a040,C09,AF-first,pf100_k050_a040,Family 1,-4.83594404,-7.513529129
af-eu-us-apac-row-ch/pf100_k100_a040,AF-pf100_k100_a040,C10,AF-first,pf100_k100_a040,Family 1,-2.42093603,2.14062175
af-eu-us-apac-row-ch/pf120_k050_a030,AF-pf120_k050_a030,C11,AF-first,pf120_k050_a030,Family 1,-1.242117777,0.2721035412
af-eu-us-apac-row-ch/pf120_k050_a040,AF-pf120_k050_a040,C12,AF-first,pf120_k050_a040,Family 1,-0.3707974881,1.519168377
eu-us-af-row-apac-ch/pf100_k050_a030,EU-pf100_k050_a030,C13,EU-first,pf100_k050_a030,Family 1,-0.9353540888,-0.9845144516
eu-us-af-row-apac-ch/pf120_k050_a030,EU-pf120_k050_a030,C14,EU-first,pf120_k050_a030,Family 1,-0.127750415,1.578696146
eu-us-af-row-apac-ch/pf120_k050_a040,EU-pf120_k050_a040,C15,EU-first,pf120_k050_a040,Family 1,0.1342876985,0.8410374207
eu-us-af-row-apac-ch/pf120_k100_a040,EU-pf120_k100_a040,C16,EU-first,pf120_k100_a040,Family 2,16.47993454,-1.445690724
