sequence,order_label,sweep,movement_percent,raw_best_response_move_percent,all_solves_acceptable,stable_count,final_status,solve_quality
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,4,81.0452846,63.31662899,True,0,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,5,24.31358545,16.07748706,True,0,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,6,6.483622801,7.70736127,True,0,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,7,4.993054122,6.608453985,True,0,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,8,4.113024554,5.783940778,True,0,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,9,3.428282195,5.142423293,True,0,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,10,10.41724202,26.37416199,True,0,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,11,6.18905706,12.27178019,True,0,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,12,4.851182268,7.033986492,True,0,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,13,3.445225268,4.608613179,True,0,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,14,2.215293615,4.605845042,True,0,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,15,1.842504188,4.60626047,True,0,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,16,1.84271557,4.606788926,True,0,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,17,1.842932478,4.607331194,True,0,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,18,1.843150406,4.607876015,True,0,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,19,1.84336922,4.60842305,True,0,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,20,1.843592559,4.608981398,True,0,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,21,1.84398991,4.609974776,True,0,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,22,1.850431544,4.626078861,True,0,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,23,1.175433694,2.938584236,True,0,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,24,0.7052777131,1.763194283,True,1,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,25,0.5979585434,1.177593296,True,2,converged,no_saved_solve_failure_flag
ch-af-apac-eu-row-us,CH–AF–APAC–EU–ROW–US,26,0.4976758184,0.8681293275,True,3,converged,no_saved_solve_failure_flag
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,1,79.9974622,99.99682776,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,2,36.06934477,36.75052888,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,3,202.613193,316.5831141,True,0,not_converged,solve_quality_caveat
ch-af-eu-us-row-apac,CH–AF–EU–US–ROW–APAC,4,81.04527721,63.31662283,True,0,not_converged,solve_quality_caveat
