year,region,region_label,metric,n,mean,std,min,q1,median,q3,max,iqr,range,cv_percent,range_percent_of_median
2025,ch,China,capacity_gw,16,931,0,931,931,931,931,931,0,0,0,0
2025,af,Africa,capacity_gw,16,3.4,0,3.4,3.4,3.4,3.4,3.4,0,0,0,0
2025,eu,EU,capacity_gw,16,22,0,22,22,22,22,22,0,0,0,0
2025,us,US,capacity_gw,16,42,0,42,42,42,42,42,0,0,0,0
2025,apac,APAC,capacity_gw,16,110,0,110,110,110,110,110,0,0,0,0
2025,row,ROW,capacity_gw,16,293,0,293,293,293,293,293,0,0,0,0
2030,ch,China,capacity_gw,16,553.3819595,82.38342715,501.2703787,517.4365426,525.2184804,559.2072319,845.5801578,41.77068926,344.3097792,14.8872629,65.55553394
2030,af,Africa,capacity_gw,16,2.306121616,1.243127232,0.3610633965,1.101366963,3.046164824,3.256470633,3.540501477,2.15510367,3.17943808,53.90553662,104.3751164
2030,eu,EU,capacity_gw,16,0.9969411849,1.800680854,2.10489123e-07,0.001145386662,0.1081026794,0.5916400784,5.41786392,0.5904946917,5.41786371,180.6205703,5011.775603
2030,us,US,capacity_gw,16,0.4410688345,0.4526996123,0.0003269494154,0.02013574901,0.4079119359,0.6153835123,1.65518412,0.5952477633,1.654857171,102.636953,405.6898133
2030,apac,APAC,capacity_gw,16,172.1248749,2.483524857,163.0076062,172.4810792,172.8072306,172.9942807,173.3192285,0.5132014746,10.3116222,1.442862258,5.967124273
2030,row,ROW,capacity_gw,16,21.76959279,35.47520917,3.97400153,7.786493232,12.2154416,16.44476788,152.0517438,8.65827465,148.0777422,162.9576148,1212.217676
2035,ch,China,capacity_gw,16,537.76245,86.91656993,482.8292011,497.3913049,511.0255469,538.2045798,845.3369083,40.81327496,362.5077072,16.16263276,70.93729646
2035,af,Africa,capacity_gw,16,2.379526672,1.398328372,0.2482990496,1.226991359,3.042898751,3.37465943,5.039979217,2.147668072,4.791680168,58.76497997,157.4709039
2035,eu,EU,capacity_gw,16,0.9889911871,1.796485484,2.08998069e-07,0.0005113183653,0.09692298285,0.5832883241,5.396166115,0.5827770057,5.396165906,181.6482803,5567.478164
2035,us,US,capacity_gw,16,0.4361761061,0.4531143194,0.0003269401362,0.01226949828,0.4022809077,0.6092801511,1.653869068,0.5970106528,1.653542128,103.8833428,411.0416617
2035,apac,APAC,capacity_gw,16,233.4948779,7.441767169,205.7868407,234.7522851,235.4890555,235.9065379,236.6423137,1.154252791,30.85547296,3.187122234,13.10272059
2035,row,ROW,capacity_gw,16,21.74248762,35.4824777,3.94668866,7.75652386,12.20442107,16.40390716,152.0512479,8.647383305,148.1045593,163.1941952,1213.532034
2040,ch,China,capacity_gw,16,537.4040798,86.64744684,482.5117927,498.1592773,510.2217048,538.4547863,843.7689032,40.29550901,361.2571106,16.12333254,70.80394801
2040,af,Africa,capacity_gw,16,2.541162298,1.627348826,0.2570487028,1.215203516,3.057777194,3.42724046,6.53997128,2.212036944,6.282922577,64.0395471,205.4735247
2040,eu,EU,capacity_gw,16,0.9867528036,1.79486227,2.08455834e-07,0.0002514632717,0.09390855137,0.5765622049,5.389891385,0.5763107416,5.389891176,181.8958368,5739.51051
2040,us,US,capacity_gw,16,0.4347411767,0.4532831131,0.0003269309001,0.006848362973,0.400224738,0.6073249888,1.65386977,0.6004766258,1.653542839,104.2650518,413.1535815
2040,apac,APAC,capacity_gw,16,289.9995557,13.50103425,243.8221868,292.6487693,294.3489794,295.4471967,298.4203759,2.798427438,54.59818912,4.655536183,18.54879512
2040,row,ROW,capacity_gw,16,21.72393802,35.48527537,3.903254156,7.729925461,12.2004908,16.39707099,152.0363689,8.667145526,148.1331147,163.3464215,1214.157013
