year,region,region_label,metric,n,mean,std,min,q1,median,q3,max,iqr,range,cv_percent,range_percent_of_median
2025,ch,China,price_usd_per_kw,16,163.324,2.092224154e-09,163.324,163.324,163.324,163.324,163.324,9.738982953e-10,8.34663183e-09,1.281026766e-09,5.11047478e-09
2025,af,Africa,price_usd_per_kw,16,259.5332692,11.91807893,221.2951624,255.4638215,263.0172131,265.9024881,269.8323677,10.43866654,48.53720526,4.59211991,18.45400333
2025,eu,EU,price_usd_per_kw,16,292.5485575,17.56936991,227.7347128,295.7140994,297.2377839,298.5617903,300.3370164,2.847690883,72.60230358,6.005625206,24.4256644
2025,us,US,price_usd_per_kw,16,288.5471837,18.26366941,222.4155329,290.2600717,293.2024528,294.674739,301.8605153,4.414667396,79.44498241,6.329526138,27.09560635
2025,apac,APAC,price_usd_per_kw,16,194.2793175,5.107563158,187.5,191.2320568,194.3371117,196.3149192,209.1546211,5.08286238,21.65462107,2.62897936,11.14281306
2025,row,ROW,price_usd_per_kw,16,293.4738826,18.05862719,228.6449146,293.1607952,298.466564,300.6091951,309.8372502,7.448399852,81.19233556,6.153401807,27.20315953
2030,ch,China,price_usd_per_kw,16,107.790924,4.493710163e-07,107.7909238,107.7909238,107.7909238,107.7909239,107.7909255,1.142466033e-07,1.749524486e-06,4.168913297e-07,1.62307217e-06
2030,af,Africa,price_usd_per_kw,16,214.8352235,24.91000825,152.7635798,213.6392034,220.7108649,225.366139,247.5309163,11.72693557,94.76733644,11.59493673,42.93732276
2030,eu,EU,price_usd_per_kw,16,232.9168456,29.82085895,158.2597693,237.103471,238.7351132,240.7861317,271.3763951,3.682660767,113.1166258,12.8032212,47.38164582
2030,us,US,price_usd_per_kw,16,227.1910332,29.65932848,153.0995734,227.7891164,232.9916756,237.649263,266.8241543,9.860146565,113.7245809,13.05479713,48.81057688
2030,apac,APAC,price_usd_per_kw,16,130.1880779,4.609857908,124.8157629,126.360369,128.544686,133.8857688,138.3990669,7.52539984,13.58330405,3.540921704,10.56698995
2030,row,ROW,price_usd_per_kw,16,227.4873159,28.01057517,157.6109231,229.1981463,232.1445009,233.0420241,262.534951,3.843877822,104.924028,12.31302724,45.19772279
2035,ch,China,price_usd_per_kw,16,95.90883302,3.951500323e-08,95.908833,95.908833,95.90883301,95.90883302,95.90883316,2.144702194e-08,1.645243373e-07,4.120058808e-08,1.715424243e-07
2035,af,Africa,price_usd_per_kw,16,200.821929,23.84464154,133.1776097,200.4985128,205.1577579,208.5413566,235.1861836,8.042843862,102.0085739,11.8735248,49.72201637
2035,eu,EU,price_usd_per_kw,16,209.7503892,24.81745149,141.2746679,209.3566885,211.9831183,213.7284325,250.572158,4.371744026,109.2974902,11.83189771,51.5595256
2035,us,US,price_usd_per_kw,16,205.2490832,24.95424963,137.9590403,205.113839,206.4794408,210.5338453,245.1171804,5.420006279,107.1581401,12.1580322,51.89772873
2035,apac,APAC,price_usd_per_kw,16,114.183075,3.282849829,110.0152081,112.1827036,112.8120607,114.7015263,121.6520926,2.518822658,11.63688453,2.875075687,10.31528408
2035,row,ROW,price_usd_per_kw,16,206.8089042,24.07100897,142.9514292,206.4814004,206.825152,208.4340225,243.8279871,1.952622178,100.8765579,11.63925174,48.77383477
2040,ch,China,price_usd_per_kw,16,87.5548196,3.614249462,86.6512572,86.65125722,86.65125723,86.65125725,101.1082551,3.434274731e-08,14.45699788,4.127984591,16.68411786
2040,af,Africa,price_usd_per_kw,16,195.0610235,29.00314577,128.4264724,185.004056,190.1290257,198.9306819,253.9510605,13.92662585,125.5245881,14.86875505,66.02073913
2040,eu,EU,price_usd_per_kw,16,200.9313117,30.75784687,131.5469718,189.6225123,194.5447182,202.3455493,264.7332321,12.723037,133.1862603,15.3076425,68.46048638
2040,us,US,price_usd_per_kw,16,197.8756536,33.11248367,128.7895774,186.4820094,190.4828756,200.3073978,264.3186015,13.82538836,135.529024,16.73398575,71.15024048
2040,apac,APAC,price_usd_per_kw,16,101.56745,2.541059317,99.41154583,100.4594722,100.8992505,101.9192116,110.2384394,1.459739421,10.82689352,2.501844161,10.73040034
2040,row,ROW,price_usd_per_kw,16,196.0197402,29.83449213,132.9345674,186.0961457,187.15413,208.8085232,262.6043112,22.7123775,129.6697438,15.22014675,69.28500261
