contrast,metric,n_pairs,mean_percent_difference,median_percent_difference,min_percent_difference,max_percent_difference
PF 1.20 minus PF 1.00,total_capacity_2040_gw,5,0.7453867708,-1.293935641,-8.209476728,9.18779252
PF 1.20 minus PF 1.00,demand_weighted_price_2040_usd_per_kw,5,-3.576490037,-0.3297278176,-17.25977989,2.160673201
PF 1.20 minus PF 1.00,cross_border_trade_2040_gw,5,-0.8882700437,-0.3238115663,-2.751149303,0.8141216827
PF 0.80 minus PF 1.00,total_capacity_2040_gw,1,3.745029742,3.745029742,3.745029742,3.745029742
PF 0.80 minus PF 1.00,demand_weighted_price_2040_usd_per_kw,1,3.825007461,3.825007461,3.825007461,3.825007461
PF 0.80 minus PF 1.00,cross_border_trade_2040_gw,1,-3.417401701,-3.417401701,-3.417401701,-3.417401701
Capacity weight 1.00 minus 0.50,total_capacity_2040_gw,4,9.701785677,0.3881110254,-2.473299176,40.50421983
Capacity weight 1.00 minus 0.50,demand_weighted_price_2040_usd_per_kw,4,-7.427769593,-6.4914662,-16.90586746,0.177721491
Capacity weight 1.00 minus 0.50,cross_border_trade_2040_gw,4,-0.1676740293,-0.06436499647,-3.493577404,2.951611279
Damping 0.40 minus 0.30,total_capacity_2040_gw,5,3.206641282,1.818018984,-5.616428165,10.37070779
Damping 0.40 minus 0.30,demand_weighted_price_2040_usd_per_kw,5,-5.223286684,-0.918111776,-15.83101101,0.5452115148
Damping 0.40 minus 0.30,cross_border_trade_2040_gw,5,1.001809908,1.042590496,-0.03116521226,2.558358122
AF-first minus CH-first,total_capacity_2040_gw,4,-2.078940947,-1.193362451,-8.99499798,3.065959091
AF-first minus CH-first,demand_weighted_price_2040_usd_per_kw,4,10.13415647,9.507574567,-0.0690793965,21.59055615
AF-first minus CH-first,cross_border_trade_2040_gw,4,-0.9170001115,-0.1352365771,-4.584784105,1.187256813
EU-first minus CH-first,total_capacity_2040_gw,4,11.16605241,1.921591814,-2.707039924,43.52806593
EU-first minus CH-first,demand_weighted_price_2040_usd_per_kw,4,-4.39649028,-1.613343455,-15.10934253,0.7500683182
EU-first minus CH-first,cross_border_trade_2040_gw,4,1.573045162,2.176663376,-2.247389744,4.186243642
