year,metric,n,mean,std,min,q1,median,q3,max,iqr,range,cv_percent,range_percent_of_median
2025,total_capacity_gw,16,1401.4,0,1401.4,1401.4,1401.4,1401.4,1401.4,0,0,0,0
2030,total_capacity_gw,16,751.0205588,113.4731898,684.2587932,707.024746,714.7197081,752.5865119,1164.196828,45.56176587,479.9380351,15.10919888,67.15052484
2035,total_capacity_gw,16,796.8045095,113.673067,734.1389321,745.4028599,762.4687836,807.0223432,1208.219221,61.61948327,474.0802888,14.26611743,62.1770096
2040,total_capacity_gw,16,853.0902297,109.5145167,782.2388376,804.2906715,820.872456,864.9612018,1246.171862,60.67053026,463.933024,12.83738963,56.51706555
2025,mean_price_usd_per_kw,16,248.6177017,10.88902252,208.4857204,249.9888006,250.7271375,252.319567,255.1158846,2.330766449,46.63016416,4.379825912,18.59797253
2030,mean_price_usd_per_kw,16,190.0682367,19.03638574,142.4345742,191.6618461,193.724423,195.9579563,214.3877779,4.296110146,71.95320365,10.0155534,37.14204049
2035,mean_price_usd_per_kw,16,172.1203689,16.41446939,126.8811314,171.7321891,173.2919695,174.7890356,197.4477818,3.056846537,70.56665042,9.536622246,40.72124671
2040,mean_price_usd_per_kw,16,163.1683331,20.54916241,118.3474483,156.1168897,158.0203422,166.9299758,205.8225104,10.81308617,87.47506209,12.59384221,55.35683626
2025,demand_weighted_price_usd_per_kw,16,206.481538,5.661035268,185.5787818,207.2352717,207.7437073,208.3619941,209.7581993,1.126722332,24.17941746,2.741666554,11.63906131
2030,demand_weighted_price_usd_per_kw,16,153.4933954,10.54040852,127.1886603,154.1996306,155.4204117,156.3895613,166.7804764,2.189930678,39.59181613,6.867011109,25.47401315
2035,demand_weighted_price_usd_per_kw,16,140.4950899,9.452330997,114.7202131,140.3119814,140.8930862,141.6003546,155.9083967,1.288373154,41.18818357,6.727872841,29.23364422
2040,demand_weighted_price_usd_per_kw,16,133.8406018,12.60400972,106.8349247,129.383546,130.2064776,136.8851868,160.251646,7.501640717,53.41672131,9.417179505,41.02462667
2025,price_dispersion_usd_per_kw,16,51.58317184,7.503943187,24.54594246,51.53530696,53.92960081,54.89752347,55.81744176,3.362216508,31.27149929,14.54726981,57.98577929
2030,price_dispersion_usd_per_kw,16,51.04293517,12.70375497,19.15924413,52.00635739,53.88499288,54.93181851,68.133077,2.925461124,48.97383287,24.88837079,90.88584828
2035,price_dispersion_usd_per_kw,16,47.87668122,11.03081616,17.66133586,47.73829843,49.28628961,50.15400382,63.89108298,2.41570539,46.22974712,23.04006018,93.79839199
2040,price_dispersion_usd_per_kw,16,48.83676918,14.0464897,17.69289021,44.21383503,45.75237762,50.36573017,77.86919203,6.151895141,60.17630182,28.76211907,131.5260648
2025,capacity_demand_ratio,16,2.552641166,1.235005098e-10,2.552641166,2.552641166,2.552641166,2.552641166,2.552641166,9.749978602e-11,4.54553728e-10,4.838146131e-09,1.780719257e-08
2030,capacity_demand_ratio,16,1.114273826,0.1683578484,1.015220761,1.04899814,1.060414997,1.116597199,1.727294997,0.06759905916,0.712074236,15.10919887,67.15052483
2035,capacity_demand_ratio,16,1.138292156,0.1623900958,1.048769903,1.064861228,1.089241119,1.152889062,1.726027458,0.08802783321,0.6772575554,14.26611743,62.1770096
2040,capacity_demand_ratio,16,1.163833874,0.1494058891,1.067174403,1.097258761,1.119880568,1.180028925,1.700098038,0.08277016418,0.6329236344,12.83738963,56.51706554
2025,cross_border_trade_gw,16,173.4124988,5.509005456,153.0000073,174.9999984,174.9999992,174.9999999,175,1.479190274e-06,21.99999272,3.176821449,12.57142447
2030,cross_border_trade_gw,16,234.206281,4.243289095,223.8504106,233.2062381,234.9552468,236.830129,238.9997217,3.623890988,15.14931109,1.811774252,6.447743259
2035,cross_border_trade_gw,16,257.1633284,5.065010922,245.3656407,253.8443405,257.6690866,260.4372302,263.9971763,6.592889725,18.63153556,1.969569671,7.230799709
2040,cross_border_trade_gw,16,283.050725,5.212937692,275.4159915,278.8550287,283.3586808,287.3767521,290.9999314,8.521723406,15.58393991,1.841697346,5.499722071
2025,cross_border_share,16,0.3158697609,0.01003461831,0.2786885379,0.3187613814,0.3187613829,0.3187613841,0.3187613843,2.69104744e-09,0.04007284644,3.176821446,12.57142446
2030,cross_border_share,16,0.3474870638,0.006295681147,0.332122271,0.3460033206,0.3485982891,0.3513800134,0.3545989937,0.005376692858,0.02247672267,1.811774251,6.447743255
2035,cross_border_share,16,0.3673761834,0.007235729888,0.3505223439,0.3626347722,0.3680986951,0.3720531861,0.3771388232,0.009418413878,0.02661647937,1.969569671,7.230799708
2040,cross_border_share,16,0.3861537859,0.007111784031,0.3757380512,0.38042978,0.3865739165,0.3920555964,0.3969985422,0.0116258164,0.02126049103,1.841697347,5.499722076
