candidate,candidate_code,sequence,order,branch,origin,price_factor,capacity_weight,damping,selected_sweep,max_gain_percent,limiting_player,multistart_status,region,region_label,year,capacity_gw
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,ch,China,2025,931
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,af,Africa,2025,3.4
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,eu,EU,2025,22
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,us,US,2025,42
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,apac,APAC,2025,110
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,row,ROW,2025,293
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,ch,China,2030,525.0738867
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,af,Africa,2030,0.6431990234
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,eu,EU,2030,0.001273964878
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,us,US,2030,0.003666073881
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,apac,APAC,2030,172.3329595
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,row,ROW,2030,15.1446568
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,ch,China,2035,515.9525201
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,af,Africa,2035,0.61129037
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,eu,EU,2035,0.0004289972023
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,us,US,2035,0.002394713744
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,apac,APAC,2035,235.0765271
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,row,ROW,2035,15.09580637
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,ch,China,2040,514.0976569
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,af,Africa,2040,0.6527350313
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,eu,EU,2040,0.0001023386862
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,us,US,2040,0.001727768915
ch-af-apac-eu-row-us/pf080_k100_a030,CH-pf080_k100_a030,ch-af-apac-eu-row-us,CH-first,pf080_k100_a030,low_price_reinitialization,0.8,1,0.3,13,0.9271650271,apac,not_yet_audited,apac,APAC,2040,292.340693
