component,feature,loading,absolute_loading
PC1,capacity_China_2030,0.2071863028,0.2071863028
PC1,capacity_Africa_2030,0.06993073366,0.06993073366
PC1,capacity_EU_2030,-0.04731341437,0.04731341437
PC1,capacity_US_2030,-0.08631900096,0.08631900096
PC1,capacity_APAC_2030,-0.1992301979,0.1992301979
PC1,capacity_ROW_2030,0.2042116105,0.2042116105
PC1,capacity_China_2035,0.2008636778,0.2008636778
PC1,capacity_Africa_2035,0.1201731537,0.1201731537
PC1,capacity_EU_2035,-0.04726282176,0.04726282176
PC1,capacity_US_2035,-0.0873247897,0.0873247897
PC1,capacity_APAC_2035,-0.2022222112,0.2022222112
PC1,capacity_ROW_2035,0.2042068316,0.2042068316
PC1,capacity_China_2040,0.2004451283,0.2004451283
PC1,capacity_Africa_2040,0.1507624256,0.1507624256
PC1,capacity_EU_2040,-0.04723369381,0.04723369381
PC1,capacity_US_2040,-0.08738976534,0.08738976534
PC1,capacity_APAC_2040,-0.1919596398,0.1919596398
PC1,capacity_ROW_2040,0.2042026264,0.2042026264
PC1,price_China_2025,0.04748582754,0.04748582754
PC1,price_Africa_2025,-0.187500181,0.187500181
PC1,price_EU_2025,-0.2009399628,0.2009399628
PC1,price_US_2025,-0.2047441852,0.2047441852
PC1,price_APAC_2025,-0.02227233294,0.02227233294
PC1,price_ROW_2025,-0.2035260826,0.2035260826
PC1,price_China_2030,-0.07515601016,0.07515601016
PC1,price_Africa_2030,-0.1814662471,0.1814662471
PC1,price_EU_2030,-0.1797302624,0.1797302624
PC1,price_US_2030,-0.1786850887,0.1786850887
PC1,price_APAC_2030,-0.06843462015,0.06843462015
PC1,price_ROW_2030,-0.1791644957,0.1791644957
PC1,price_China_2035,-0.07699049511,0.07699049511
PC1,price_Africa_2035,-0.1932880074,0.1932880074
PC1,price_EU_2035,-0.1877954969,0.1877954969
PC1,price_US_2035,-0.1888133218,0.1888133218
PC1,price_APAC_2035,-0.06664679225,0.06664679225
PC1,price_ROW_2035,-0.1825118777,0.1825118777
PC1,price_China_2040,-0.01541315314,0.01541315314
PC1,price_Africa_2040,-0.1709564131,0.1709564131
PC1,price_EU_2040,-0.1647898049,0.1647898049
PC1,price_US_2040,-0.163532002,0.163532002
PC1,price_APAC_2040,0.004685515968,0.004685515968
PC1,price_ROW_2040,-0.1611606884,0.1611606884
PC2,capacity_China_2030,-0.02059682476,0.02059682476
PC2,capacity_Africa_2030,0.1511499661,0.1511499661
PC2,capacity_EU_2030,-0.3226300682,0.3226300682
PC2,capacity_US_2030,-0.3190076912,0.3190076912
PC2,capacity_APAC_2030,0.0684241272,0.0684241272
PC2,capacity_ROW_2030,-0.06868104483,0.06868104483
PC2,capacity_China_2035,-0.037495158,0.037495158
PC2,capacity_Africa_2035,0.1228548377,0.1228548377
PC2,capacity_EU_2035,-0.3230206158,0.3230206158
PC2,capacity_US_2035,-0.3194580569,0.3194580569
PC2,capacity_APAC_2035,0.06036762704,0.06036762704
PC2,capacity_ROW_2035,-0.06865454924,0.06865454924
PC2,capacity_China_2040,-0.03935000434,0.03935000434
PC2,capacity_Africa_2040,0.1004109312,0.1004109312
PC2,capacity_EU_2040,-0.3230741355,0.3230741355
PC2,capacity_US_2040,-0.3197456285,0.3197456285
PC2,capacity_APAC_2040,0.04291120968,0.04291120968
PC2,capacity_ROW_2040,-0.06861311431,0.06861311431
PC2,price_China_2025,-0.02494748904,0.02494748904
PC2,price_Africa_2025,0.07444324741,0.07444324741
PC2,price_EU_2025,0.04232599314,0.04232599314
PC2,price_US_2025,0.05860414269,0.05860414269
PC2,price_APAC_2025,0.1250587649,0.1250587649
PC2,price_ROW_2025,0.03028339452,0.03028339452
PC2,price_China_2030,-0.2534314718,0.2534314718
PC2,price_Africa_2030,0.03781550513,0.03781550513
PC2,price_EU_2030,0.07687713553,0.07687713553
PC2,price_US_2030,0.07698068694,0.07698068694
PC2,price_APAC_2030,0.1476631646,0.1476631646
PC2,price_ROW_2030,0.06867095826,0.06867095826
PC2,price_China_2035,-0.2760895518,0.2760895518
PC2,price_Africa_2035,0.04064618629,0.04064618629
PC2,price_EU_2035,0.087815146,0.087815146
PC2,price_US_2035,0.07649195171,0.07649195171
PC2,price_APAC_2035,0.188625017,0.188625017
PC2,price_ROW_2035,0.1100585568,0.1100585568
PC2,price_China_2040,0.01130842883,0.01130842883
PC2,price_Africa_2040,-0.08551057186,0.08551057186
PC2,price_EU_2040,-0.1008982457,0.1008982457
PC2,price_US_2040,-0.09098953551,0.09098953551
PC2,price_APAC_2040,0.04832247979,0.04832247979
PC2,price_ROW_2040,-0.07810350389,0.07810350389
