group,sequence,branch,max_gain_percent,max_gain_player,total_capacity_2025,total_capacity_2040,total_capacity_2045,total_output_2040,cross_border_trade_2040,mean_price_2040,sum_regional_objectives,capacity_2045_ch,output_2040_ch,price_2040_ch,import_share_2040_ch,objective_ch,capacity_2045_af,output_2040_af,price_2040_af,import_share_2040_af,objective_af,capacity_2045_eu,output_2040_eu,price_2040_eu,import_share_2040_eu,objective_eu,capacity_2045_us,output_2040_us,price_2040_us,import_share_2040_us,objective_us,capacity_2045_apac,output_2040_apac,price_2040_apac,import_share_2040_apac,objective_apac,capacity_2045_row,output_2040_row,price_2040_row,import_share_2040_row,objective_row
old_ch_first,ch-af-apac-eu-row-us,pf100_k050_a030,0.5181402830734663,apac,1401.4,863.8673907428035,861.2750348318659,732.9999999199069,283.40284231972373,155.8421780825597,9998818.188342495,528.7711397346075,432.65137823145267,86.65125724590756,1.6568865596577991e-09,4161749.4809919004,1.3584186965038945,1.356263194532329,186.19449158607307,0.9515620787775935,466083.1001129625,5.389668745712238,5.389891268378329,189.41386058602123,0.9455566630479588,1957332.8045863176,0.8510140486735936,0.8510035190561075,185.9879674248145,0.9886533294041486,702113.2885357321,292.30163179551784,292.75145540459613,100.53629954520882,4.306021229578765e-09,1186786.5883944312,32.603161810850956,8.301891353073127e-06,186.26919210733308,0.9999999297192312,1524752.9257211518
old_ch_first,ch-af-apac-eu-row-us,pf100_k050_a040,0.5336679648591456,apac,1401.4,815.3488992978238,814.3525322361994,732.9999999698559,283.31451922236465,156.20846018729148,10003735.1573319,498.5012154812308,430.0103251131991,86.65125723102422,6.175586483578591e-10,4155136.7400342985,3.128117761128551,3.1299767136057537,181.4327493341838,0.8882162620699845,466968.81924465636,3.9597274208811424,3.959913765789213,194.33811869146803,0.9600008753491371,1958822.1202032536,0.5954994984582185,0.5956223780395346,187.71543292673866,0.9920584041259872,703162.5439703051,295.04386558571406,295.30415544325984,100.6534357773994,1.916838603131865e-09,1191182.3000963838,13.124106488786666,6.5559624643228794e-06,186.45976716293472,0.9999999606248924,1528462.6337830026
old_ch_first,ch-af-apac-eu-row-us,pf100_k100_a040,0.9607367770955935,apac,1401.4,795.1828816859886,795.0944562278821,732.9999999455962,288.6499694417478,157.4526325381753,9991367.501339816,485.95361364304733,444.5553325893031,86.65125729711208,1.2264483622240473e-09,4164730.5567106768,2.1918999447948444,2.1900664199652082,187.64282246752802,0.9217835003269209,464756.0186473151,2.0841423755505104e-07,1.786724397282503e-07,191.36154436930445,0.9999999996990157,1954896.330472437,0.15996770127820253,0.1599677701113323,193.444468940144,0.9978671075560054,697859.4229658952,286.4698959038483,286.09462832280747,100.4733251139476,3.0895421172576597e-09,1182897.2262091269,20.319078826499247,4.664736678470745e-06,185.14237704101564,0.9999999735960078,1526227.9463343646
old_ch_first,ch-af-apac-eu-row-us,pf120_k050_a030,0.7902826148267192,apac,1401.4,792.9483983353816,794.0305438147725,732.9999999926391,275.6060069984273,160.18744274232432,9999492.810217163,482.3460111317836,422.56339485413645,86.65125720796755,1.3958983226129006e-10,4164007.635339613,3.504731569763887,3.5024853421355364,191.91010249838797,0.8749113157892722,464364.2935846315,0.11297939475034213,0.11008679501702928,199.50935905611126,0.998888013662734,1952447.0548051517,0.5957941830829455,0.5961744126819019,190.33048453900253,0.9920510252563782,696821.22078706,296.2868591576921,295.0426080532541,101.37039416641055,5.582537185204564e-10,1196727.3452597822,11.184168377699612,11.18525053541406,191.353058986066,0.8743230314506698,1525125.260440925
old_ch_first,ch-af-apac-eu-row-us,pf120_k050_a040,0.8025287399844905,ch,1401.4,875.18275967463,874.669702391465,732.9999998825906,282.6569956641557,158.7071229578187,9950475.584358623,568.301932504358,426.2367706308033,86.65125723963571,2.319742806330566e-09,4171598.3025350375,2.9957614384235014,3.0089958667684518,190.96820785252905,0.8925360412917154,460804.43729495734,0.06682893378797157,0.0668228281170702,194.98089579952452,0.9993250339652491,1928920.4166206077,0.590687437916061,0.5907969057571988,192.97636575210285,0.9921227388994467,677388.3926960113,298.0430171394209,298.42020253066084,99.44087275612311,1.952053568339438e-08,1208039.2200022293,4.6714749375585845,4.676411120483757,187.22513834699708,0.9474561752942013,1503724.8152097804
old_ch_first,ch-af-apac-eu-row-us,pf120_k100_a040,0.626524931238978,apac,1401.4,868.2426350130113,868.8371928479701,732.999999934394,290.99993143021214,150.15574855608034,10021779.5672483,561.5316761513413,438.0183545573985,86.65125722956124,1.2889047034758355e-09,4113489.809735445,1.8096455784852334,1.8081166430043578,179.1571855165515,0.9999998452759256,474196.84477904177,9.72376529851369e-09,6.431278190721246e-05,189.69206287332884,0.999999353263935,2001788.4099411934,0.0076984548558072866,0.007875517889344645,169.1627179694211,0.9999999901970931,738924.7557842418,293.30047642886495,293.16558702349516,102.56806798979873,4.812209287228854e-09,1129727.3364441905,12.18769622469893,1.879824846126461e-06,173.7031997578207,0.9999999949255515,1563652.410564187
new_af_first,af-eu-us-apac-row-ch,pf100_k050_a040,0.9745364141534953,ch,1401.4,806.900866019727,806.7616921951696,732.9999999971237,285.3861785721436,203.58802626543448,9969867.773112908,499.9227236849489,426.1648654356729,86.65125720218279,4.4598544245210726e-11,4179893.3225481967,0.25718729498823784,0.2570487013570507,253.9510604524964,0.9999999985915524,457412.3105966862,3.9597045185695867,3.9599468664293003,264.7332321387256,0.9600005369998271,1927672.5791530053,1.653882156062289,1.653869767237183,264.3186014738056,0.9779484034956337,675747.9152825746,297.06384355804335,297.061015073647,101.05400739450978,1.1079024878528819e-10,1225741.8215256203,3.9043509825573155,3.9032541527802405,250.8199989308867,0.9999999456195051,1503399.824006825
new_af_first,af-eu-us-apac-row-ch,pf100_k100_a040,0.8041774942935046,apac,1401.4,819.5628635375984,818.1193500188517,732.9999999726347,275.4159915237928,179.99066793989113,9963370.347039284,506.616384367801,419.7829009118212,86.65125721945782,4.429987995298113e-10,4177944.711164472,3.7058703702030265,3.7053883616637244,224.49962873616937,0.8676647555404395,459669.9051615723,1.948834099470378e-05,1.9478449217060257e-05,222.44782155504728,0.9999998211028878,1927750.257893475,0.00032692165405653407,0.0003268937852466644,232.77698303398986,0.9999956451408798,674574.5049185554,295.9944512758103,297.6330808482155,99.60691589135394,1.8407092353767764e-09,1217659.171501408,11.802297595042296,11.878283478699757,213.9614012033284,0.8665362060397807,1505771.796399801
new_af_first,af-eu-us-apac-row-ch,pf120_k050_a030,0.9517448122863666,apac,1401.4,782.2388375596389,782.2604881619185,732.9999999515543,278.87815809427724,172.06611526862662,9948724.773152,493.8069262320591,494.9345399942705,101.1082550817742,8.859612979147508e-10,4156419.4765498424,3.4023565930631734,3.4021587898217036,203.79651346072197,0.8784946131393409,463899.492353495,0.1523683553403372,0.15243253317116603,210.8541200385584,0.998460281129543,1947938.241632528,0.8473971610979336,0.8475999956825306,206.47842194671296,0.9886986815588419,694570.5677283149,276.3336840542216,225.94360713457792,99.41154583335114,2.1072937485240455e-09,1170956.9382579774,7.717755766136416,7.719661504030499,210.74783525064106,0.9132622411146191,1514940.0566298417
new_af_first,af-eu-us-apac-row-ch,pf120_k050_a040,0.7860138940569583,apac,1401.4,796.4600881237191,799.7932966201322,732.9999999720607,279.8256329826326,158.34521927753696,9999100.814770069,491.4063993880249,427.0965873761676,86.65125723002896,5.820375233692832e-10,4162846.5194710596,3.229038985446517,3.228843473744726,190.27689507393322,0.8846842176809798,465444.28617987345,0.07907271054766729,0.07933450392354804,194.75131779942825,0.999198646013248,1953067.2289274242,0.2125233484885381,0.2122420756572257,190.18773622953594,0.9971701095890344,697556.2184034677,297.2155913948525,294.7290411081828,100.74449354319832,1.8217905551152828e-09,1194167.783760538,7.650670792772081,7.65395143438478,187.459615789097,0.9140005653426002,1526018.7780277056
